Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.619343,9.736994,-0.554537,9.886295,93.215492,99.442345
0.0023489,-1.518844,9.669994,-0.592822,9.806483,93.465759,98.926392
0.0046979,-1.456631,9.540782,-0.597607,9.669820,93.543213,98.680550
0.0070470,-1.389632,9.425926,-0.578465,9.545354,93.474350,98.386505
0.0093959,-1.423131,9.325428,-0.559322,9.449961,93.393196,98.676826
0.0117446,-1.461416,9.344570,-0.573679,9.475539,93.470993,98.888603
0.0140936,-1.466202,9.492926,-0.588036,9.623470,93.503204,98.780075
0.0164428,-1.432703,9.622138,-0.540180,9.743201,93.178207,98.468918
0.0187917,-1.327418,9.808778,-0.487538,9.910190,92.819839,97.706993
0.0211406,-1.250848,9.923634,-0.463609,10.012895,92.653816,97.184097
0.0234897,-1.116850,9.947562,-0.387039,10.017542,92.214241,96.405983
0.0258393,-0.930210,9.981061,-0.353540,10.030546,92.019882,95.324440
0.0281890,-0.805783,9.952348,-0.372682,9.991867,92.137543,94.628807
0.0305381,-0.652642,9.904491,-0.396610,9.933891,92.288139,93.769974
0.0328873,-0.547358,9.784850,-0.420539,9.809166,92.457138,93.201752
0.0352367,-0.566501,9.646067,-0.420539,9.671834,92.492050,93.361046
0.0375856,-0.537787,9.512068,-0.477966,9.539240,92.872025,93.235909
0.0399352,-0.547358,9.425926,-0.482752,9.454138,92.926941,93.323402
0.0422844,-0.676571,9.382855,-0.487538,9.419842,92.966751,94.124298
0.0446335,-0.743570,9.430713,-0.511466,9.473797,93.094757,94.508186
0.0469827,-0.786640,9.540782,-0.516252,9.587067,93.086800,94.713394
0.0493318,-0.887139,9.579067,-0.497109,9.632895,92.958084,95.291199
0.0516813,-0.963709,9.669994,-0.525823,9.732113,93.097183,95.691292
0.0540304,-1.021137,9.760921,-0.492323,9.826530,92.871803,95.972267
0.0563795,-1.112064,9.770494,-0.492323,9.845893,92.866150,96.493385
0.0587280,-1.164706,9.784850,-0.511466,9.867189,92.971260,96.788071
0.0610769,-1.179063,9.760921,-0.535394,9.846442,93.116959,96.887634
0.0634263,-1.159921,9.756136,-0.544965,9.839949,93.174835,96.780151
0.0657755,-1.097707,9.684352,-0.521037,9.760283,93.060097,96.466797
0.0681245,-1.049851,9.717851,-0.492323,9.786787,92.883476,96.165932
0.0704736,-0.963709,9.693923,-0.458824,9.752507,92.696579,95.677338
0.0728229,-0.863211,9.689137,-0.458824,9.738328,92.700508,95.091072
0.0751722,-0.848854,9.703494,-0.468395,9.751807,92.753067,94.999458
0.0775213,-0.815354,9.736994,-0.430110,9.780535,92.520462,94.786652
0.0798701,-0.791426,9.775279,-0.449252,9.817549,92.622780,94.628685
0.0822195,-0.767498,9.775279,-0.473181,9.816773,92.762802,94.489319
0.0845690,-0.848854,9.732208,-0.497109,9.781796,92.913017,94.984787
0.0869185,-0.844068,9.756136,-0.501895,9.805434,92.933983,94.944725
0.0892680,-0.891925,9.751350,-0.501895,9.804911,92.934143,95.226120
0.0916171,-0.930210,9.693923,-0.511466,9.751873,93.006424,95.481209
0.0939669,-0.920639,9.693923,-0.511466,9.750965,93.006706,95.425148
0.0963159,-0.920639,9.684352,-0.501895,9.740952,92.953423,95.430481
0.0986653,-0.958924,9.727423,-0.516252,9.788197,93.023308,95.629997
0.1010142,-0.987638,9.698709,-0.564108,9.765172,93.311668,95.814491
0.1033638,-1.016351,9.736994,-0.554537,9.805587,93.241989,95.958977
0.1057129,-1.016351,9.736994,-0.506680,9.802997,92.962723,95.958977
0.1080621,-1.040280,9.780065,-0.492323,9.847549,92.865669,96.071571
0.1104116,-1.054637,9.780065,-0.492323,9.849076,92.865227,96.154724
0.1127608,-1.040280,9.765707,-0.468395,9.832121,92.730560,96.080429
0.1151100,-1.068994,9.775279,-0.482752,9.845399,92.810524,96.240883
0.1174592,-1.083350,9.717851,-0.482752,9.789960,92.826454,96.361092
0.1198081,-1.068994,9.713065,-0.497109,9.784349,92.912254,96.280540
0.1221571,-1.092922,9.674780,-0.482752,9.748277,92.838547,96.445152
0.1245059,-1.155135,9.626924,-0.501895,9.708960,92.963165,96.842209
0.1268549,-1.183849,9.535996,-0.473181,9.620843,92.819107,97.076790
0.1292040,-1.246062,9.483355,-0.458824,9.575866,92.746353,97.485481
0.1315530,-1.279562,9.449855,-0.482752,9.548303,92.898048,97.711258
0.1339020,-1.360918,9.397213,-0.535394,9.510328,93.227234,98.240364
0.1362508,-1.509273,9.406784,-0.583251,9.544930,93.503288,99.115143
0.1385999,-1.624128,9.435498,-0.655035,9.596640,93.913864,99.766594
0.1409493,-1.643271,9.488140,-0.640678,9.650680,93.806488,99.825706
0.1432982,-1.667199,9.492926,-0.597607,9.656724,93.548019,99.961014
0.1456478,-1.657628,9.555139,-0.511466,9.711334,93.018990,99.841736
0.1479969,-1.399203,9.976275,-0.583251,10.090789,93.313560,97.983833
0.1503466,-1.351347,9.727423,-0.607179,9.839591,93.537842,97.908989
0.1526958,-1.360918,9.473783,-0.621536,9.591192,93.715530,98.174667
0.1550452,-1.336990,9.320642,-0.626321,9.436853,93.805504,98.163048
0.1573945,-1.332204,9.220144,-0.588036,9.334432,93.611824,98.221680
0.1597437,-1.308276,9.172287,-0.540180,9.280853,93.336708,98.117546
0.1620927,-1.284348,9.167501,-0.540180,9.272779,93.339622,97.975113
0.1644417,-1.231705,9.282357,-0.516252,9.377940,93.155701,97.558601
0.1667904,-1.250848,9.406784,-0.540180,9.504946,93.257957,97.574356
0.1691394,-1.236491,9.574282,-0.477966,9.665621,92.834442,97.358856
0.1714890,-1.212563,9.679565,-0.487538,9.767394,92.861099,97.140266
0.1738383,-1.241277,9.780065,-0.434896,9.868109,92.525887,97.233253
0.1761875,-1.279562,9.751350,-0.439681,9.844767,92.559761,97.475578
0.1785370,-1.298705,9.746565,-0.473181,9.844088,92.755127,97.589806
0.1808867,-1.332204,9.698709,-0.473181,9.801205,92.767189,97.821144
0.1832358,-1.365704,9.646067,-0.477966,9.753983,92.808739,98.058456
0.1855852,-1.384846,9.612567,-0.487538,9.724039,92.873863,98.197983
0.1879344,-1.317847,9.598209,-0.554537,9.704115,93.275925,97.817902
0.1902841,-1.274776,9.579067,-0.616750,9.683179,93.651810,97.580345
0.1926334,-1.183849,9.588638,-0.592822,9.679614,93.511238,97.038330
0.1949826,-1.121636,9.588638,-0.544965,9.669387,93.230896,96.671883
0.1973318,-1.030708,9.574282,-0.501895,9.642673,92.983551,96.144447
0.1996808,-1.011566,9.555139,-0.487538,9.620895,92.904701,96.043175
0.2020299,-1.064208,9.593424,-0.477966,9.664097,92.834885,96.329994
0.2043794,-1.092922,9.617352,-0.458824,9.690123,92.713951,96.483315
0.2067290,-1.155135,9.646067,-0.516252,9.728692,93.041817,96.828758
0.2090784,-1.150349,9.646067,-0.477966,9.726169,92.816780,96.800735
0.2114275,-1.202992,9.665209,-0.482752,9.751743,92.837540,97.094902
0.2137769,-1.222134,9.665209,-0.477966,9.753888,92.808769,97.206619
0.2161264,-1.265205,9.713065,-0.516252,9.808716,93.016983,97.421448
0.2184759,-1.317847,9.770494,-0.544965,9.874019,93.163864,97.681709
0.2208247,-1.159921,9.736994,-0.631107,9.826126,93.682495,96.793358
0.2231749,-1.112064,9.646067,-0.602393,9.728626,93.550003,96.576416
0.2255247,-1.054637,9.550353,-0.583251,9.626094,93.473709,96.301590
0.2278743,-1.025923,9.464211,-0.521037,9.533902,93.132828,96.186722
0.2302241,-1.025923,9.382855,-0.492323,9.451608,92.985825,96.239937
0.2325737,-1.078565,9.392427,-0.492323,9.466962,92.980972,96.550781
0.2349231,-1.135993,9.421141,-0.511466,9.503156,93.085182,96.875481
0.2372723,-1.188635,9.464211,-0.501895,9.551756,93.011978,97.158440
0.2396212,-1.255634,9.540782,-0.501895,9.636131,92.985580,97.497437
0.2419707,-1.332204,9.593424,-0.497109,9.698230,92.938141,97.905899
0.2443203,-1.322633,9.646067,-0.506680,9.749496,92.978996,97.807495
0.2466699,-1.317847,9.689137,-0.516252,9.791967,93.022148,97.745430
0.2490188,-1.265205,9.703494,-0.564108,9.801875,93.299255,97.428688
0.2513687,-1.279562,9.689137,-0.568894,9.789806,93.331383,97.523033
0.2537178,-1.236491,9.646067,-0.597607,9.743339,93.516441,97.304688
0.2560666,-1.236491,9.631709,-0.588036,9.728541,93.465324,97.315453
0.2584160,-1.250848,9.612567,-0.588036,9.711429,93.471436,97.414032
0.2607657,-1.183849,9.583853,-0.564108,9.673156,93.343208,97.041809
0.2631153,-1.188635,9.569496,-0.554537,9.658965,93.291252,97.080490
0.2654643,-1.183849,9.550353,-0.573679,9.640532,93.411514,97.066261
0.2678133,-1.207777,9.579067,-0.564108,9.671373,93.343826,97.186218
0.2701630,-1.226920,9.593424,-0.535394,9.686370,93.168518,97.288094
0.2725126,-1.193420,9.617352,-0.506680,9.704352,92.992867,97.073692
0.2748616,-1.202992,9.631709,-0.535394,9.721299,93.157127,97.119324
0.2772110,-1.164706,9.588638,-0.511466,9.672648,93.031075,96.925636
0.2795608,-1.183849,9.593424,-0.521037,9.680225,93.085434,97.034859
0.2819101,-1.198206,9.607781,-0.530608,9.696737,93.136810,97.108772
0.2842593,-1.183849,9.598209,-0.530608,9.685488,93.140457,97.031387
0.2866083,-1.145564,9.598209,-0.521037,9.680363,93.085388,96.806160
0.2889578,-1.116850,9.622138,-0.506680,9.699980,92.994217,96.620743
0.2913068,-1.140778,9.598209,-0.506680,9.679035,93.000702,96.777992
0.2936560,-1.116850,9.598209,-0.521037,9.677007,93.086456,96.637100
0.2960050,-1.135993,9.617352,-0.516252,9.697962,93.051468,96.736511
0.2983539,-1.174278,9.583853,-0.516252,9.669316,93.060516,96.985443
0.3007032,-1.155135,9.622138,-0.516252,9.704967,93.049263,96.845581
0.3030526,-1.116850,9.631709,-0.492323,9.708736,92.906677,96.614227
0.3054013,-1.121636,9.626924,-0.497109,9.704784,92.936150,96.645584
0.3077502,-1.145564,9.622138,-0.506680,9.703328,92.993187,96.789391
0.3100994,-1.140778,9.607781,-0.506680,9.688527,92.997757,96.771301
0.3124483,-1.097707,9.612567,-0.487538,9.687317,92.884766,96.514671
0.3147977,-1.159921,9.588638,-0.492323,9.671080,92.918007,96.897453
0.3171473,-1.174278,9.593424,-0.521037,9.679059,93.085800,96.978546
0.3194967,-1.150349,9.598209,-0.477966,9.678708,92.830605,96.834328
0.3218459,-1.193420,9.602996,-0.487538,9.689142,92.884224,97.084160
0.3241948,-1.183849,9.598209,-0.511466,9.684458,93.027374,97.031387
0.3265443,-1.174278,9.602996,-0.501895,9.687536,92.969727,96.971657
0.3288933,-1.150349,9.598209,-0.511466,9.680420,93.028641,96.834328
0.3312423,-1.169492,9.598209,-0.506680,9.682462,92.999641,96.946953
0.3335911,-1.145564,9.564711,-0.521037,9.647149,93.096016,96.829773
0.3359406,-1.159921,9.593424,-0.530608,9.677848,93.142937,96.894051
0.3382903,-1.140778,9.622138,-0.501895,9.702516,92.965134,96.761292
0.3406392,-1.155135,9.607781,-0.525823,9.691248,93.110252,96.855713
0.3429887,-1.174278,9.612567,-0.506680,9.697272,92.995056,96.964783
0.3453376,-1.145564,9.612567,-0.497109,9.693342,92.939621,96.796089
0.3476866,-1.164706,9.612567,-0.521037,9.696879,93.080124,96.908562
0.3500357,-1.140778,9.598209,-0.525823,9.680057,93.113853,96.777992
0.3523850,-1.150349,9.598209,-0.535394,9.681713,93.170044,96.834328
0.3547344,-1.183849,9.593424,-0.554537,9.682086,93.283386,97.034859
