Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.215096,9.396609,0.151189,9.476053,89.085815,82.631844
0.0049625,1.266619,9.252153,0.112058,9.339123,89.312500,82.204674
0.0099266,1.377490,9.308972,0.119049,9.411090,89.275192,81.582771
0.0148891,1.348845,9.298887,0.107260,9.396818,89.345978,81.746552
0.0198531,1.324329,9.529776,0.279978,9.625427,88.333183,82.088417
0.0248156,1.481436,9.652358,0.343568,9.771423,87.985039,81.274376
0.0297781,1.393569,9.659245,0.353729,9.765662,87.924194,81.790405
0.0347422,1.291777,9.645405,0.226884,9.734166,88.664429,82.371956
0.0397047,1.251765,9.579661,0.248796,9.664302,88.524826,82.555397
0.0446687,1.261553,9.609406,0.301899,9.696564,88.215828,82.520805
0.0496312,1.432413,9.690435,0.254331,9.799032,88.512733,81.591591
0.0545953,1.469839,9.806037,0.221128,9.918048,88.722450,81.475334
0.0595578,1.595889,9.818344,0.289373,9.951406,88.333687,80.767799
0.0645219,1.723298,9.836415,0.253431,9.989447,88.546257,80.062874
0.0695141,1.768932,9.784154,0.262184,9.946232,88.489502,79.751877
0.0744469,1.799396,9.731214,0.261772,9.899640,88.484772,79.523788
0.0794109,1.722657,9.638443,0.236605,9.794034,88.615715,79.866653
0.0843734,1.718443,9.553200,0.239133,9.709473,88.588730,79.802605
0.0893375,1.685595,9.578962,0.307272,9.730989,88.190491,80.019928
0.0943000,1.638850,9.599340,0.343645,9.744294,87.978973,80.311569
0.0992625,1.598628,9.600529,0.313315,9.737758,88.156174,80.546158
0.1042266,1.500235,9.603851,0.292227,9.724714,88.278008,81.121475
0.1091891,1.476705,9.577898,0.274596,9.694957,88.376961,81.235237
0.1141531,1.494959,9.653268,0.381741,9.775797,87.762054,81.196793
0.1191156,1.546664,9.624547,0.404850,9.756433,87.621788,80.870628
0.1240797,1.612782,9.534228,0.299821,9.674320,88.224037,80.398903
0.1290422,1.701703,9.595798,0.381291,9.752975,87.759460,79.943810
0.1340047,1.692212,9.533175,0.330840,9.687851,88.042969,79.934402
0.1389688,1.612476,9.486143,0.329605,9.627857,88.038124,80.352943
0.1439312,1.568106,9.492876,0.353940,9.628028,87.893250,80.620148
0.1488953,1.517541,9.547137,0.326569,9.672507,88.065178,80.968254
0.1538578,1.567379,9.628272,0.224576,9.757599,88.681190,80.753975
0.1588219,1.547842,9.737419,0.205968,9.861823,88.803268,80.967941
0.1637844,1.497142,9.816332,-0.006895,9.929847,90.039787,81.328331
0.1687469,1.519475,9.721128,0.005258,9.839166,89.969383,81.116180
0.1737109,2.356182,10.957055,-0.050901,11.207642,90.260216,77.864044
0.1786734,2.032208,10.425388,0.358058,10.627643,88.069275,78.969727
0.1836375,1.004588,9.002266,0.302129,9.063182,88.089638,83.632545
0.1886000,0.369818,8.604167,-0.028376,8.612158,90.188782,87.538872
0.1935641,0.201496,8.341495,0.121760,8.344816,89.163963,88.616241
0.1985266,0.742068,8.870287,0.060525,8.901479,89.610413,85.217896
0.2034891,1.119423,9.409739,0.197253,9.478144,88.807510,83.215729
0.2084531,1.328092,9.949421,0.513959,10.050818,87.068848,82.396851
0.2134156,1.470030,9.985430,0.733555,10.119678,85.843102,81.625214
0.2183797,1.644606,9.872510,0.412387,10.017048,87.640549,80.542267
0.2233422,1.594165,9.741288,0.446940,9.880982,87.407494,80.705910
0.2283062,1.503702,9.654006,0.375516,9.777626,87.798973,81.146782
0.2332688,1.465529,9.568743,0.286452,9.684558,88.305046,81.292358
0.2382312,1.446270,9.613640,0.296057,9.726326,88.255714,81.444611
0.2431953,1.425096,9.544821,0.280112,9.654686,88.337440,81.508148
0.2481578,1.467014,9.615191,0.243624,9.729510,88.565178,81.325142
0.2531219,1.455742,9.605221,0.199696,9.716961,88.822418,81.381989
0.2580844,1.496357,9.621454,0.144543,9.738191,89.149536,81.160011
0.2630484,1.509458,9.683215,0.161829,9.801496,89.053970,81.139816
0.2680109,1.452553,9.650185,0.152673,9.760086,89.103706,81.440056
0.2729734,1.388350,9.631193,0.134286,9.731671,89.209358,81.797241
0.2779375,1.306439,9.614051,0.178291,9.704048,88.947250,82.261559
0.2829000,1.225515,9.697455,0.129287,9.775441,89.242203,82.797432
0.2878641,1.320153,9.641259,0.146046,9.732318,89.140167,82.203117
0.2928266,1.350837,9.691220,0.145788,9.785998,89.146400,82.064796
0.2977906,1.416266,9.718324,0.233090,9.823744,88.640404,81.708565
0.3027531,1.533352,9.625074,0.235475,9.749291,88.615997,80.948380
0.3077156,1.521132,9.629432,0.267624,9.752508,88.427521,81.023338
0.3126797,1.522109,9.581432,0.261811,9.705112,88.454170,80.973404
0.3176422,1.542594,9.523062,0.191958,9.649101,88.860092,80.798859
0.3226062,1.526706,9.540722,0.244017,9.665183,88.553299,80.908607
0.3275687,1.522032,9.590760,0.173896,9.712337,88.974083,80.982491
0.3325312,1.506537,9.588059,0.277153,9.709653,88.364326,81.070328
0.3374953,1.463327,9.626262,0.241671,9.739848,88.578201,81.356415
0.3424578,1.371504,9.630619,0.209713,9.730047,88.764999,81.894958
0.3474219,1.412981,9.622996,0.262117,9.729711,88.456268,81.646736
0.3523844,1.412675,9.597043,0.236336,9.703337,88.604355,81.626251
0.3573484,1.381043,9.583184,0.209598,9.684453,88.759865,81.799507
0.3623109,1.373707,9.576941,0.281319,9.679049,88.334480,81.837227
0.3672734,1.364532,9.603019,0.263918,9.703070,88.441399,81.912750
0.3722375,1.365279,9.555173,0.290168,9.656579,88.278076,81.868401
0.3772000,1.419934,9.602913,0.308057,9.712212,88.182358,81.588913
0.3821641,1.409400,9.529776,0.323926,9.638877,88.074142,81.587265
0.3871265,1.440946,9.592877,0.339230,9.706426,87.997162,81.457474
