Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.820738,9.906884,0.361316,9.947388,87.918404,85.264130
0.0025165,0.679562,10.405190,0.313460,10.432068,88.278137,86.263329
0.0050329,0.801596,10.881959,0.725324,10.935524,86.196930,85.787041
0.0075493,0.667598,10.817054,0.557827,10.851982,87.053513,86.468346
0.0100658,0.662812,10.500902,0.541077,10.535703,87.056190,86.388306
0.0125798,0.650848,10.455439,0.476172,10.486493,87.397415,86.437950
0.0150962,0.562014,10.287642,0.646361,10.323236,86.410233,86.873039
0.0176126,0.588335,9.952348,0.797408,10.001561,85.427048,86.616882
0.0201290,0.655633,9.650553,0.852443,9.710288,84.963654,86.113449
0.0226454,0.720240,9.461221,0.938585,9.534904,84.350845,85.646729
0.0251618,0.746561,9.324830,1.029811,9.411180,83.717873,85.422569
0.0276782,0.753739,9.125926,1.096810,9.222453,83.169746,85.278481
0.0301946,0.775275,8.994321,1.075275,9.091484,83.207573,85.073509
0.0327130,0.808774,8.946166,1.092024,9.048786,83.068542,84.834244
0.0352294,0.835095,8.948559,1.056132,9.049282,83.297798,84.668503
0.0377459,0.806381,8.987143,0.960120,9.074183,83.926285,84.872803
0.0402623,0.808774,8.953344,0.940978,9.038912,84.024513,84.838364
0.0427788,0.839881,9.118748,0.905085,9.201963,84.355385,84.737625
0.0452953,0.888036,9.214461,0.857229,9.296760,84.709396,84.495163
0.0478117,0.959821,9.288938,0.859622,9.377876,84.740608,84.100594
0.0503281,0.998106,9.389436,0.845265,9.480095,84.884598,83.932190
0.0527981,1.038784,9.499506,0.835693,9.592605,85.002144,83.759422
0.0552505,1.057927,9.605089,0.857229,9.701123,84.930511,83.714645
0.0577642,1.084248,9.743873,0.859622,9.841626,84.989090,83.650543
0.0602779,1.074677,9.856635,0.828515,9.949604,85.223381,83.777573
0.0627917,1.060320,9.971490,0.809372,10.060316,85.385452,83.930252
0.0653054,1.012463,10.084252,0.787837,10.165525,85.555069,84.266693
0.0678191,1.022034,10.141680,0.809372,10.225131,85.459991,84.245407
0.0703329,0.990928,10.201500,0.763909,10.277943,85.737556,84.451950
0.0728663,0.952643,10.220643,0.771087,10.293864,85.704094,84.674980
0.0753805,0.959821,10.287642,0.806979,10.363785,85.534126,84.669823
0.0778947,0.957428,10.280463,0.771087,10.353703,85.728973,84.679344
0.0804090,0.943071,10.278070,0.759123,10.349125,85.793495,84.757469
0.0829232,0.957428,10.299606,0.773480,10.372890,85.723633,84.689178
0.0854374,0.940678,10.261321,0.780658,10.333877,85.667542,84.762207
0.0879517,0.909572,10.223036,0.792623,10.293981,85.583931,84.915627
0.0904659,0.933500,10.172787,0.799801,10.246789,85.523293,84.756973
0.0930084,0.986142,10.103395,0.766301,10.180288,85.683090,84.425301
