X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-1.077000,9.487050,2.143950,9.785733,77.344444,96.476669,0.078365,9.712767,1.302892,9.800076,82.360069,89.537735,-0.001000,9.805000,0.994000,9.855256,84.211311,90.005844,-3.234000,9.294001,1.801950,10.004210,79.623299,109.186180,-0.228972,9.687620,-0.109166,9.690941,90.645439,91.353966,-1.805983,9.617352,-0.439681,9.795323,92.572693,100.635361
-0.979050,9.457951,2.214000,9.762846,76.892540,95.909988,0.121436,9.655338,1.281057,9.740709,82.442802,89.279427,0.000000,9.806000,0.995000,9.856351,84.206116,90.000000,-3.133950,9.306001,1.795050,9.982259,79.640488,108.611809,-0.451470,9.784863,-0.123598,9.796053,90.722931,92.641731,-1.762912,9.607781,-0.449252,9.778504,92.633263,100.397430
-0.904950,9.453000,2.226000,9.753626,76.807533,95.468346,0.159721,9.648160,1.324427,9.739949,82.184776,89.051582,0.000000,9.807000,0.996000,9.857448,84.200920,90.000000,-3.064050,9.343950,1.759050,9.989598,79.858009,108.155251,-0.514686,9.841146,-0.148517,9.855714,90.863434,92.993813,-1.719841,9.579067,-0.425324,9.741524,92.502380,100.178535
-0.852000,9.463051,2.197050,9.752039,76.979988,95.144722,0.162114,9.617053,1.329213,9.709830,82.131874,89.034264,0.000000,9.808000,0.997000,9.858542,84.195724,90.000000,-3.022950,9.402000,1.699050,10.021109,80.238510,107.823738,-0.486894,9.778360,-0.101572,9.791001,90.594398,92.850578,-1.609771,9.535996,-0.396610,9.679044,92.348419,99.581764
-0.804000,9.444000,2.175000,9.724515,77.075813,94.866051,0.078365,9.696016,1.295713,9.782522,82.388702,89.536934,0.001000,9.809000,0.998000,9.859639,84.190529,89.994156,-3.004050,9.438001,1.702050,10.049734,80.249229,107.655914,-0.353375,9.735705,-0.099742,9.742627,90.586586,92.078735,-1.547558,9.521640,-0.358325,9.653235,92.127289,99.231598
-0.826050,9.468000,2.187000,9.752351,77.041008,94.986229,0.104686,9.724730,1.326820,9.815385,82.231110,89.383240,-0.001000,9.805000,0.994000,9.855256,84.211311,90.005844,-3.022950,9.475950,1.702050,10.091027,80.289520,107.693352,-0.291240,9.747552,-0.109654,9.752519,90.644234,91.711388,-1.475773,9.550353,-0.315254,9.668844,91.868469,98.784187
-0.838050,9.489000,2.187000,9.773763,77.069893,95.047157,0.152542,9.741480,1.300499,9.829089,82.396828,89.102875,0.000000,9.806000,0.995000,9.856351,84.206116,90.000000,-3.073950,9.469050,1.666050,10.093949,80.499611,107.985054,-0.239593,9.755366,-0.197560,9.760308,91.159813,91.406906,-1.466202,9.579067,-0.286541,9.694864,91.693672,98.702332
-0.850050,9.480000,2.223000,9.774186,76.853844,95.123878,0.181256,9.755837,1.290928,9.842546,82.463493,88.935608,0.000000,9.807000,0.996000,9.857448,84.200920,90.000000,-3.094950,9.462001,1.651950,10.091437,80.578384,108.112534,-0.113954,9.793922,-0.154876,9.795810,90.905907,90.666618,-1.403989,9.626924,-0.291326,9.733125,91.715202,98.297508
-0.811950,9.453000,2.215950,9.743146,76.853790,94.909279,0.205185,9.796814,1.310070,9.886149,82.385010,88.800171,0.000000,9.808000,0.997000,9.858542,84.195724,90.000000,-3.094950,9.445050,1.680000,10.080183,80.406105,108.142914,-0.073320,9.791634,-0.209225,9.794144,91.224060,90.429024,-1.375275,9.607781,-0.372682,9.712865,92.198975,98.146080
-0.816000,9.460051,2.203950,9.747605,76.932327,94.929985,0.209970,9.787243,1.281057,9.872959,82.544617,88.770996,0.001000,9.809000,0.998000,9.859639,84.190529,89.994156,-3.073950,9.427951,1.702050,10.061432,80.260681,108.058372,-0.038987,9.812521,-0.354016,9.818982,92.066208,90.227646,-1.403989,9.617352,-0.415753,9.728181,92.449394,98.305649
-0.787950,9.456000,2.187000,9.737544,77.020958,94.763344,0.265005,9.753445,1.290928,9.842073,82.463127,88.443634,-0.001000,9.805000,0.994000,9.855256,84.211311,90.005844,-3.061950,9.403951,1.702050,10.035278,80.235046,108.035378,-0.152721,9.834557,-0.373419,9.842829,92.174217,90.889679,-1.418346,9.622138,-0.348754,9.732362,92.053604,98.385269
-0.771000,9.444000,2.167950,9.720267,77.112701,94.667229,0.274576,9.717552,1.290928,9.806768,82.435837,88.381500,0.000000,9.806000,0.995000,9.856351,84.206116,90.000000,-3.070950,9.390000,1.728000,10.029398,80.078804,108.110062,-0.332162,9.906690,-0.358364,9.918733,92.070549,91.920357,-1.485345,9.617352,-0.248255,9.734544,91.461342,98.779633
-0.766050,9.433950,2.143950,9.704781,77.237106,94.642311,0.207577,9.777672,1.230808,9.857020,82.826973,88.783806,0.000000,9.807000,0.996000,9.857448,84.200920,90.000000,-3.082950,9.379951,1.716000,10.021612,80.140663,108.194374,-0.534999,9.878362,-0.272326,9.896586,91.576820,93.100037,-1.480559,9.588638,-0.171685,9.703789,91.013763,98.777588
-0.751950,9.429001,2.167950,9.704200,77.090996,94.559608,0.236291,9.832706,1.269093,9.917084,82.647675,88.623383,0.000000,9.808000,0.997000,9.858542,84.195724,90.000000,-3.126000,9.390000,1.738050,10.048124,80.039307,108.412979,-0.602860,9.770747,-0.107500,9.789918,90.629158,93.530701,-1.485345,9.583853,-0.181256,9.699965,91.070709,98.809845
-0.790050,9.393001,2.163000,9.671153,77.076210,94.807861,0.279362,9.748658,1.269093,9.834886,82.585884,88.358559,0.001000,9.809000,0.998000,9.859639,84.190529,89.994156,-3.174000,9.430950,1.755000,10.104312,79.997673,108.600739,-0.554478,9.709752,-0.073904,9.725852,90.435379,93.268341,-1.427917,9.593424,-0.195613,9.701082,91.155396,98.465942
-0.771000,9.388950,2.137050,9.659908,77.218781,94.694473,0.221934,9.763016,1.218844,9.841307,82.885658,88.697769,-0.001000,9.805000,0.994000,9.855256,84.211311,90.005844,-3.222000,9.439950,1.752000,10.127361,80.037903,108.845566,-0.451795,9.693328,-0.280543,9.707906,91.655991,92.668564,-1.413560,9.574282,-0.200399,9.680144,91.186226,98.398552
-0.759000,9.343050,2.130000,9.612782,77.198151,94.644333,0.131007,9.825528,1.223630,9.902294,82.901802,89.236099,0.000000,9.806000,0.995000,9.856351,84.206116,90.000000,-3.313050,9.246000,1.771050,9.980052,79.778214,109.713745,-0.369971,9.618964,-0.443167,9.636272,92.635933,92.202667,-1.394417,9.555139,-0.190828,9.658235,91.132126,98.302780
-0.745050,9.322050,2.113050,9.587528,77.267723,94.569557,0.166899,9.803992,1.199701,9.878532,83.024475,89.024712,0.000000,9.807000,0.996000,9.857448,84.200920,90.000000,-3.328050,9.174001,1.780950,9.920181,79.657730,109.939240,-0.320842,9.670277,-0.380755,9.683086,92.253548,91.900276,-1.470988,9.588638,-0.224327,9.703407,91.324707,98.721718
-0.709050,9.298051,2.095950,9.557693,77.332397,94.360817,0.181256,9.849456,1.216451,9.925945,82.960548,88.945724,0.000000,9.808000,0.997000,9.858542,84.195724,90.000000,-3.250950,9.214951,1.780950,9.932562,79.670769,109.432373,-0.284594,9.768563,-0.252837,9.775978,91.482010,91.668762,-1.523630,9.559925,-0.248255,9.683762,91.469009,99.055458
-0.711000,9.252001,2.062950,9.505830,77.465965,94.394440,0.164507,9.866206,1.206880,9.941109,83.026924,89.044754,0.001000,9.809000,0.998000,9.859639,84.190529,89.994156,-3.157950,9.265051,1.768950,9.947010,79.756180,108.821442,-0.202253,9.745436,-0.109875,9.748154,90.645813,91.188919,-1.581058,9.564711,-0.324826,9.699945,91.919044,99.386177
-0.709050,9.274051,2.038950,9.521979,77.635452,94.372055,0.071186,9.784850,1.190130,9.857220,83.065369,89.583168,-0.001000,9.805000,0.994000,9.855256,84.211311,90.005844,-3.165000,9.331950,1.719000,10.002874,80.104568,108.734749,-0.193902,9.686893,-0.093307,9.689282,90.551758,91.146729,-1.710270,9.602996,-0.367896,9.761040,92.160004,100.098358
-0.700950,9.250051,2.056050,9.501690,77.503036,94.333473,0.157328,9.724730,1.230808,9.803572,82.787659,89.073143,0.000000,9.806000,0.995000,9.856351,84.206116,90.000000,-3.178950,9.388050,1.716000,10.059118,80.177788,108.706955,-0.128147,9.643078,-0.165640,9.645351,90.983994,90.761360,-1.719841,9.617352,-0.367896,9.776844,92.156509,100.138855
-0.718050,9.310050,2.086950,9.568071,77.401596,94.410286,0.221934,9.693624,1.317249,9.785231,82.263580,88.688446,0.000000,9.807000,0.996000,9.857448,84.200920,90.000000,-3.214950,9.378000,1.743000,10.065825,80.028389,108.922653,-0.181279,9.747169,-0.228493,9.751532,91.342651,91.065475,-1.829911,9.612567,-0.382253,9.792657,92.237091,100.778236
-0.661050,9.286051,2.137050,9.551686,77.071472,94.071869,0.219541,9.643374,1.384248,9.744691,81.833427,88.695824,0.000000,9.808000,0.997000,9.858542,84.195724,90.000000,-3.268050,9.370951,1.776000,10.082115,79.854210,109.225845,-0.197426,9.755653,-0.026786,9.757688,90.157288,91.159340,-1.815554,9.612567,-0.406182,9.790948,92.377625,100.695633
-0.663000,9.331051,2.131950,9.594440,77.161316,94.064209,0.200399,9.648160,1.396212,9.750721,81.767487,88.810097,0.001000,9.809000,0.998000,9.859639,84.190529,89.994156,-3.301050,9.364051,1.798050,10.090361,79.735367,109.418762,-0.138165,9.746958,-0.111014,9.748569,90.652481,90.812119,-1.839482,9.607781,-0.401396,9.790520,92.349693,100.838547
-0.688950,9.343050,2.131950,9.607937,77.179657,94.217316,0.166899,9.602696,1.403391,9.706140,81.686584,89.004272,-0.001000,9.805000,0.994000,9.855256,84.211311,90.005844,-3.427950,9.505051,1.824000,10.267610,79.767319,109.831589,-0.111905,9.910913,-0.139151,9.912521,90.804337,90.646904,-1.772483,9.579067,-0.410967,9.750340,92.415680,100.483276
