X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
0.041874,9.530014,1.521237,9.650756,80.930710,89.748245,-0.415155,9.250652,3.209672,9.800455,70.882751,92.569618,1.339000,9.806000,2.795000,10.284094,74.229851,82.224403,-4.134000,9.499950,0.082950,10.360786,89.541275,113.516754,0.000057,9.767731,-0.551222,9.783272,93.229942,89.999664,-1.277020,10.693674,-0.826571,10.801327,94.388847,96.809914
0.027517,9.549157,1.504487,9.666987,81.046577,89.834892,-0.419940,9.267402,3.224029,9.821174,70.835991,92.594513,1.340000,9.807000,2.796000,10.285450,74.226196,82.219452,-4.117950,9.355950,0.105000,10.222639,89.411484,113.756325,0.046428,9.833198,-0.539126,9.848075,93.138191,89.729477,-1.304537,10.641032,-0.818196,10.751876,94.364311,96.989296
0.070588,9.592228,1.583450,9.722301,80.626602,89.578377,-0.446261,9.272188,3.188137,9.815133,71.045418,92.755463,1.341000,9.808000,2.797000,10.286804,74.222534,82.214500,-3.997950,9.105000,0.130950,9.944938,89.245537,113.705986,-0.036277,9.856775,-0.418918,9.865740,92.433624,90.210869,-1.261466,10.547563,-0.838535,10.655773,94.513443,96.820061
0.075374,9.654441,1.432703,9.760458,81.559258,89.552689,-0.477667,9.327223,3.192923,9.870157,71.125725,92.931679,1.342000,9.809000,2.798000,10.288160,74.218880,82.209549,-3.706050,8.896951,0.079050,9.638298,89.530075,112.614311,-0.165439,9.834231,-0.569514,9.852098,93.313904,90.963783,-1.297359,10.484003,-0.948754,10.606488,95.131989,97.054291
0.027517,9.714262,1.368096,9.810164,81.983574,89.837700,-0.470489,9.291330,3.166602,9.827388,71.202637,92.898834,1.338000,9.805000,2.794000,10.282739,74.233505,82.229355,-3.411000,8.827050,0.025950,9.463214,89.842880,111.127823,-0.371159,9.798595,-0.490936,9.817904,92.866219,92.169258,-1.425524,10.512866,-1.066152,10.662512,95.738632,97.722099
0.017946,9.735797,1.430310,9.840318,81.642334,89.894386,-0.482453,9.293723,3.139982,9.821687,71.355286,92.971657,1.339000,9.806000,2.776000,10.278946,74.331772,82.224403,-3.138000,8.968950,0.019050,9.502078,89.885132,109.283600,-0.498377,9.826235,-0.624120,9.858641,93.629646,92.903496,-1.552493,10.571490,-0.971486,10.728952,95.195137,98.354546
0.037089,9.721440,1.490130,9.835052,81.285431,89.781410,-0.472882,9.348758,3.132803,9.871036,71.495857,92.895683,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-2.997000,9.160050,0.031050,9.637919,89.815414,108.117149,-0.614266,9.796308,-0.797001,9.847851,94.642105,93.587967,-1.558475,10.558330,-0.947558,10.714711,95.073593,98.396584
0.063410,9.702297,1.533201,9.822897,81.020309,89.625549,-0.470489,9.351151,3.113661,9.867130,71.605446,92.880318,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-2.973000,9.256050,0.033000,9.721846,89.805511,107.806778,-0.719822,9.702675,-0.983691,9.778941,95.773308,94.242882,-1.566850,10.578669,-0.903291,10.732156,94.828110,98.425064
0.106481,9.680762,1.535594,9.802374,80.987190,89.369820,-0.458226,9.320045,3.108875,9.835563,71.573669,92.814713,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-3.058950,9.273001,0.010950,9.764520,89.935745,108.256538,-0.759039,9.586230,-1.100184,9.678965,96.526772,94.527237,-1.536940,10.499705,-0.852892,10.645817,94.595184,98.327774
0.120838,9.652048,1.559522,9.777972,80.822510,89.282730,-0.434297,9.322437,3.130410,9.843573,71.457039,92.667267,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-3.201000,9.285001,-0.025950,9.821320,90.151390,109.021614,-0.701003,9.670180,-0.905726,9.737768,95.336891,94.146187,-1.448256,10.473235,-0.796660,10.602866,94.309052,97.873024
0.156730,9.647263,1.588236,9.778380,80.652428,89.069252,-0.384048,9.300901,3.137589,9.823376,71.373344,92.364487,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-3.402000,9.354000,-0.061950,9.953630,90.356606,109.986061,-0.510214,9.707032,-0.992828,9.771003,95.831863,93.008774,-1.350001,10.518848,-0.737887,10.630764,93.980125,97.313423
0.218943,9.597013,1.590629,9.730401,80.591637,88.693100,-0.386441,9.329616,3.118446,9.844581,71.532433,92.371887,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-3.639000,9.403951,-0.094950,10.083929,90.539505,111.154694,-0.526495,9.748558,-1.137705,9.828833,96.646996,93.091393,-1.342822,10.521241,-0.717548,10.630831,93.870224,97.273315
0.226122,9.582657,1.643271,9.725163,80.272003,88.648247,-0.427119,9.286545,3.089732,9.796367,71.615295,92.633369,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-3.840000,9.364051,-0.121950,10.121557,90.690346,112.297501,-0.545734,9.794948,-1.044447,9.865582,96.077164,93.188988,-1.302144,10.541580,-0.741476,10.647549,93.993210,97.041763
0.254836,9.565907,1.607379,9.703359,80.464897,88.473999,-0.386441,9.267402,3.080161,9.773508,71.629883,92.387787,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-3.976050,9.292050,-0.079050,10.107296,90.448120,113.165985,-0.433073,9.788703,-1.016942,9.850910,95.925392,92.533234,-1.298555,10.526027,-0.795464,10.635612,94.289299,97.032822
0.278764,9.575478,1.604986,9.713057,80.488823,88.332458,-0.376870,9.296116,3.106482,9.808671,71.536064,92.321533,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-4.075050,9.268050,-0.028050,10.124405,90.158737,113.734512,-0.488590,9.789307,-0.921432,9.844708,95.370560,92.857292,-1.311715,10.542776,-0.771536,10.652041,94.153618,97.092201
0.285942,9.594621,1.624128,9.735312,80.396523,88.292953,-0.321835,9.257831,3.106482,9.770427,71.461159,91.990997,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-4.105950,9.282001,-0.022950,10.149625,90.129555,113.862495,-0.437038,9.693241,-0.851043,9.740338,95.012497,92.581535,-1.315305,10.533205,-0.836142,10.647890,94.503876,97.117805
0.273978,9.630513,1.607379,9.767575,80.528168,88.370430,-0.321835,9.279366,3.101696,9.789318,71.527771,91.986382,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-4.102950,9.364051,-0.055050,10.223633,90.308517,113.661095,-0.464284,9.689142,-0.586972,9.718002,93.462799,92.743393,-1.314108,10.524831,-0.820589,10.638247,94.423943,97.116997
0.300299,9.659226,1.628914,9.800214,80.432343,88.219284,-0.355334,9.300901,3.072983,9.801849,71.729080,92.187881,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-4.084050,9.430950,-0.034950,10.277329,90.194847,113.414909,-0.358173,9.685945,-0.543254,9.707777,93.207985,92.117752,-1.293769,10.522438,-0.807428,10.632379,94.355263,97.009529
0.307478,9.702297,1.631307,9.843287,80.460480,88.184837,-0.364905,9.260223,3.051447,9.756855,71.775017,92.256615,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-4.020000,9.469050,-0.009000,10.287050,90.050125,113.003212,-0.249275,9.754284,-0.594164,9.775542,93.484627,91.463898,-1.310519,10.529616,-0.815803,10.642172,94.396469,97.094566
0.340977,9.754940,1.626521,9.895488,80.539360,87.998077,-0.376870,9.272188,3.087339,9.779937,71.598076,92.327515,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-3.925950,9.454950,0.010950,10.237641,89.938721,112.549545,-0.221157,9.835113,-0.461200,9.848404,92.684135,91.288162,-1.288984,10.564312,-0.873231,10.678422,94.690613,96.956444
0.357727,9.833903,1.590629,9.968136,80.817986,87.916672,-0.391227,9.228818,3.111268,9.747006,71.385307,92.427422,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-3.756000,9.478050,0.021000,10.195167,89.881981,111.617638,-0.313075,9.876513,-0.453874,9.891891,92.629845,91.815613,-1.291376,10.565509,-0.791875,10.673552,94.254707,96.968452
0.321835,9.915258,1.530808,10.037893,81.227997,88.140915,-0.374477,9.248260,3.106482,9.763236,71.447006,92.318733,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-3.589050,9.547951,-0.037950,10.200298,90.213165,110.601112,-0.379854,9.801909,-0.542411,9.824252,93.164993,92.219276,-1.285394,10.522438,-0.758375,10.627750,94.091988,96.964600
