X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
1.09095,9.549001,1.00005,9.663006,84.059669,83.482353,1.173081,9.332008,2.11017,9.639259,77.354736,82.835205,0.0,9.806,1.358,9.899586,82.115448,90.0,-4.008,9.459001,-0.45,10.28296,92.508163,112.963509,1.215096,9.396609,0.151189,9.476053,89.085815,82.631844,-1.619343,9.736994,-0.554537,9.886295,93.215492,99.442345
1.098,9.55095,0.954,9.661075,84.332993,83.441933,1.228116,9.437292,2.076372,9.740743,77.692184,82.585518,0.0,9.807,1.359,9.900714,82.110512,90.0,-4.161,9.411,-0.43005,10.298824,92.393204,113.852242,1.266619,9.252153,0.112058,9.339123,89.3125,82.204674,-1.518844,9.669994,-0.592822,9.806483,93.465759,98.926392
1.09605,9.53205,0.921,9.63896,84.517036,83.440605,1.208974,9.492328,2.076372,9.791692,77.757225,82.741699,0.0,9.808,1.36,9.901841,82.105576,90.0,-4.254,9.42105,-0.39195,10.344386,92.171463,114.301178,1.37749,9.308972,0.119049,9.41109,89.275192,81.582771,-1.456631,9.540782,-0.597607,9.66982,93.543213,98.68055
1.086,9.56595,0.945,9.673667,84.393959,83.523071,1.185045,9.562018,2.081157,9.85737,77.811592,82.935211,0.001,9.809,1.361,9.902969,82.100639,89.994156,-4.27605,9.483001,-0.339,10.408018,91.866516,114.271446,1.348845,9.298887,0.10726,9.396818,89.345978,81.746552,-1.389632,9.425926,-0.578465,9.545354,93.47435,98.386505
1.04505,9.56595,0.96405,9.671036,84.279015,83.765343,1.141975,9.662517,2.026123,9.938486,78.236855,83.259705,-0.001,9.805,1.357,9.898458,82.120392,90.005844,-4.161,9.522,-0.35595,10.397553,91.961845,113.604752,1.324329,9.529776,0.279978,9.625427,88.333183,82.088417,-1.423131,9.325428,-0.559322,9.449961,93.393196,98.676826
0.99705,9.583051,1.005,9.687053,84.045036,84.060143,1.141975,9.74148,1.983052,10.006649,78.569832,83.313843,0.0,9.806,1.358,9.899586,82.115448,90.0,-3.95505,9.507001,-0.39495,10.30444,92.196579,112.58802,1.481436,9.652358,0.343568,9.771423,87.985039,81.274376,-1.461416,9.34457,-0.573679,9.475539,93.470993,98.888603
0.966,9.597,1.005,9.697711,84.051605,84.252167,1.06032,9.813564,1.999802,10.071222,78.54689,83.833321,0.0,9.807,1.34,9.898124,82.219452,90.0,-3.708,9.49995,-0.411,10.206236,92.307899,111.321587,1.393569,9.659245,0.353729,9.765662,87.924194,81.790405,-1.466202,9.492926,-0.588036,9.62347,93.503204,98.780075
0.97605,9.646951,0.99705,9.74733,84.128975,84.222641,0.943071,9.870992,1.968695,10.109482,78.770615,84.542542,0.0,9.808,1.322,9.896693,82.323486,90.0,-3.52095,9.462001,-0.402,10.103868,92.280212,110.410973,1.291777,9.645405,0.226884,9.734166,88.664429,82.371956,-1.432703,9.622138,-0.54018,9.743201,93.178207,98.468918
1.002,9.669001,0.954,9.767482,84.394928,84.083549,0.878465,9.921241,1.985445,10.156018,78.726395,84.94001,0.001,9.809,1.304,9.895297,82.427551,89.994156,-3.33705,9.438001,-0.378,10.017716,92.16246,109.472366,1.251765,9.579661,0.248796,9.664302,88.524826,82.555397,-1.327418,9.808778,-0.487538,9.91019,92.819839,97.706993
1.06695,9.642,0.897,9.742236,84.717102,83.685539,0.854238,9.942777,2.004587,10.178747,78.642014,85.08947,-0.001,9.805,1.281,9.888326,82.556602,90.005844,-3.249,9.42105,-0.33495,9.971177,91.925034,109.027573,1.261553,9.609406,0.301899,9.696564,88.215828,82.520805,-1.250848,9.923634,-0.463609,10.012895,92.653816,97.184097
