Keuwl Accelerometer Data File,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-03-20 15-29-31,,,,,,
,,,,,,
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0,0.804,9.385,0.147,9.420523,89.105904,85.103508
0.0097263,0.842,9.308,0.263,9.349705,88.3881,84.8311
0.0204959,0.842,9.385,0.263,9.426365,88.401215,84.873283
0.0299536,0.804,9.423,0.184,9.459028,88.885391,85.123154
0.0397465,0.842,9.462,0.184,9.501172,88.890335,84.914787
0.0497065,0.842,9.615,0.06,9.651983,89.643829,84.995293
0.0597118,0.766,9.615,0.06,9.645651,89.643593,85.44503
0.0697056,0.842,9.538,0.096,9.575575,89.425568,84.955093
0.0797125,0.842,9.423,0.096,9.461032,89.418617,84.893852
0.0897265,0.766,9.347,0.223,9.380985,88.637863,85.315002
0.0997457,0.689,9.308,0.223,9.336129,88.631317,85.766556
0.1097106,0.727,9.347,0.241,9.378327,88.527473,85.552551
0.1197615,0.727,9.347,0.241,9.378327,88.527473,85.552551
0.1297128,0.804,9.5,0.138,9.53496,89.170723,85.162498
0.1398571,0.766,9.538,0.138,9.569705,89.173737,85.408409
0.1497138,0.804,9.5,0.208,9.53623,88.750191,85.162498
0.1597685,0.804,9.423,0.208,9.459525,88.740051,85.123154
0.1697041,0.804,9.538,0.2,9.573915,88.803001,85.181679
0.1797123,0.881,9.5,0.2,9.542859,88.799103,84.701721
0.1897624,0.881,9.462,0.236,9.505856,88.577385,84.680565
0.1997873,0.919,9.423,0.236,9.470649,88.57209,84.42971
0.2097465,0.842,9.462,0.228,9.502126,88.625076,84.914787
0.2198235,0.766,9.423,0.228,9.456832,88.618492,85.352615
0.2297476,0.804,9.423,0.27,9.461092,88.364677,85.123154
0.2397828,0.919,9.5,0.27,9.548165,88.379593,84.474579
0.2497425,0.766,9.347,0.308,9.383391,88.118988,85.315002
0.2598132,0.842,9.423,0.308,9.465557,88.135323,84.893852
0.270204,0.766,9.5,0.267,9.534571,88.395317,85.390121
0.2797541,0.842,9.423,0.267,9.464312,88.3834,84.893852
0.2909292,0.881,9.385,0.26,9.429846,88.420036,84.637177
0.2998122,0.842,9.462,0.26,9.502947,88.432198,84.914787
0.3097304,0.881,9.423,0.228,9.466842,88.619949,84.658676
0.3198141,0.842,9.423,0.228,9.463291,88.619431,84.893852
0.3298948,0.881,9.423,0.265,9.467805,88.396103,84.658676
0.3398312,0.842,9.462,0.265,9.503085,88.402061,84.914787
0.3497969,0.842,9.385,0.233,9.425576,88.583504,84.873283
0.3601154,0.689,9.423,0.233,9.451029,88.587318,85.818031
0.3697476,0.804,9.462,0.267,9.49985,88.38945,85.143158
0.3799399,0.689,9.538,0.267,9.566581,88.400688,85.868279
0.3902048,0.842,9.5,0.225,9.539895,88.648544,84.93502
0.3997749,0.842,9.308,0.225,9.348714,88.620903,84.8311
0.4101082,0.727,9.308,0.225,9.339058,88.619476,85.533989
0.4197762,0.766,9.462,0.326,9.498551,88.033165,85.371689
0.4297345,0.804,9.462,0.245,9.499257,88.522095,85.143158
0.4397834,0.881,9.462,0.245,9.506083,88.523155,84.680565
0.4502101,0.689,9.538,0.205,9.565051,88.771935,85.868279
0.4597874,0.842,9.385,0.205,9.424925,88.75367,84.873283
0.4698025,0.842,9.462,0.205,9.501601,88.763733,84.914787
0.479767,0.727,9.423,0.229,9.453777,88.611984,85.588272
0.4897331,0.842,9.423,0.229,9.463316,88.61338,84.893852
0.5002954,0.919,9.5,0.265,9.548025,88.409584,84.474579
0.5097509,0.842,9.423,0.265,9.464255,88.3955,84.893852
0.5197781,0.766,9.462,0.267,9.496709,88.388916,85.371689
0.5298345,0.881,9.385,0.267,9.430041,88.377525,84.637177
0.5397873,0.881,9.385,0.294,9.430844,88.213554,84.637177
0.5497332,0.842,9.538,0.294,9.579606,88.241302,84.955093
0.5598186,0.881,9.347,0.211,9.390798,88.712524,84.615501
0.5698068,0.804,9.462,0.211,9.498441,88.727119,85.143158
0.5798365,0.804,9.462,0.238,9.499079,88.564301,85.143158
0.5897784,0.766,9.5,0.238,9.533803,88.569534,85.390121
0.5997968,0.881,9.423,0.208,9.466381,88.740967,84.658676
0.6097407,0.881,9.462,0.208,9.505202,88.746109,84.680565
0.6199074,0.842,9.462,0.23,9.502173,88.613022,84.914787
0.6297998,0.804,9.5,0.23,9.536736,88.61805,85.162498
0.6398015,0.804,9.385,0.28,9.423537,88.297333,85.103508
0.6497471,0.881,9.423,0.28,9.468236,88.305367,84.658676
0.6601953,0.804,9.423,0.265,9.460951,88.394943,85.123154
0.6697676,0.766,9.423,0.265,9.457797,88.394409,85.352615
0.6799154,0.881,9.5,0.22,9.5433,88.679054,84.701721
0.6897728,0.727,9.423,0.22,9.453564,88.666512,85.588272
0.6999974,0.881,9.423,0.262,9.467721,88.414253,84.658676
0.7097408,0.919,9.385,0.262,9.433527,88.408501,84.407303
0.7198964,0.881,9.423,0.281,9.468266,88.299324,84.658676
0.7297429,0.842,9.5,0.281,9.54138,88.312355,84.93502
0.7398818,0.881,9.423,0.229,9.466866,88.613899,84.658676
0.7497489,0.842,9.538,0.229,9.577831,88.629967,84.955093
0.7597684,0.842,9.423,0.183,9.462314,88.891838,84.893852
0.7698824,0.804,9.462,0.183,9.49786,88.895988,85.143158
0.779763,0.842,9.462,0.211,9.501733,88.727554,84.914787
0.7897588,0.881,9.423,0.211,9.466447,88.722816,84.658676
0.7998035,0.804,9.308,0.304,9.347603,88.136314,85.063202
0.809795,0.766,9.385,0.304,9.421115,88.150864,85.333885
0.819795,0.842,9.423,0.278,9.464628,88.316833,84.893852
0.8297104,0.842,9.423,0.278,9.464628,88.316833,84.893852
0.8397095,0.766,9.423,0.265,9.457797,88.394409,85.352615
0.8497284,0.881,9.385,0.265,9.429985,88.389671,84.637177
0.8597043,0.881,9.423,0.271,9.467975,88.35981,84.658676
0.8697596,0.881,9.5,0.271,9.544611,88.372986,84.701721
0.8797139,0.919,9.385,0.281,9.434074,88.293159,84.407303
0.8897294,0.842,9.462,0.281,9.503545,88.305634,84.914787
0.8997286,0.804,9.462,0.252,9.49944,88.479889,85.143158
0.9097081,0.881,9.385,0.252,9.429628,88.468628,84.637177
0.9203457,0.804,9.423,0.281,9.461412,88.298088,85.123154
0.9297069,0.804,9.5,0.281,9.538101,88.311775,85.162498
0.9397875,0.842,9.423,0.234,9.463438,88.583115,84.893852
0.9497321,0.881,9.423,0.234,9.466988,88.583649,84.658676
0.9597436,0.804,9.462,0.245,9.499257,88.522095,85.143158
0.9697335,0.842,9.462,0.245,9.502548,88.522606,84.914787
0.9797414,0.881,9.5,0.244,9.543883,88.535011,84.701721
0.9897511,0.881,9.423,0.244,9.46724,88.523148,84.658676
1.0001241,0.842,9.462,0.246,9.502574,88.516579,84.914787
1.0097163,0.804,9.462,0.246,9.499283,88.51606,85.143158
