Keuwl Accelerometer Data File,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-03-20 15-41-22,,,,,,
,,,,,,
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0,-2.813876,9.429765,0.038508,9.840724,89.775795,106.615295
0.004,-2.904799,9.532659,0.060037,9.965593,89.654823,106.947067
0.008,-2.895231,9.417803,0.076787,9.853085,89.553482,107.088531
0.012,-2.919154,9.424985,0.074393,9.866982,89.568008,107.209068
0.016,-2.876087,9.432159,0.052864,9.86105,89.692841,106.957695
0.02,-2.835405,9.47762,0.040903,9.892749,89.763107,106.655525
0.0240219,-2.758839,9.503946,0.083969,9.896627,89.513863,106.187141
0.028,-2.811482,9.575734,0.026537,9.979971,89.847649,106.362495
0.032,-2.713377,9.547013,0.045681,9.925219,89.73629,105.865799
0.036,-2.699012,9.575734,0.01697,9.948852,89.902267,105.740997
0.04,-2.646378,9.527869,0.019364,9.888578,89.887802,105.522705
0.0440016,-2.677484,9.53984,0.040903,9.908538,89.763481,105.677483
0.048,-2.62484,9.535051,0.105508,9.890305,89.388771,105.391335
0.052,-2.627234,9.468053,0.055258,9.825957,89.677788,105.508492
0.056,-2.75405,9.582908,0.03372,9.97086,89.806236,106.034225
0.06,-2.768406,9.537446,0.112681,9.931749,89.349937,106.186272
0.064,-2.57459,9.434553,0.060037,9.779719,89.648262,105.263771
0.068,-2.651157,9.44412,0.069614,9.809429,89.593391,105.680511
0.072,-2.694233,9.465658,0.062431,9.841823,89.636543,105.888069
0.076,-2.718156,9.487196,0.139007,9.869883,89.193024,105.987427
0.08,-2.663128,9.525484,0.076787,9.891056,89.555191,105.619888
0.084,-2.65834,9.525484,0.107892,9.890059,89.374939,105.59317
0.088,-2.722945,9.547013,0.088758,9.92813,89.48777,105.918907
0.092,-2.622446,9.561369,0.038508,9.914558,89.777458,105.337631
0.096,-2.663128,9.503946,0.110287,9.870633,89.35981,105.653557
0.1,-2.675089,9.532659,0.158142,9.902156,89.084923,105.675377
0.104,-2.691839,9.496763,0.129431,9.871741,89.248764,105.825279
0.108,-2.622446,9.532659,0.17968,9.888433,88.958839,105.381645
0.112,-2.634407,9.597262,0.107892,9.952848,89.378883,105.349388
0.116,-2.629628,9.561369,0.055258,9.91654,89.680725,105.377655
0.12,-2.560235,9.60684,0.100719,9.942652,89.419586,104.922569
0.124,-2.469303,9.592475,0.055258,9.905356,89.680367,104.435707
0.128,-2.536302,9.54462,0.057652,9.876027,89.665527,104.881363
0.132,-2.426236,9.609224,-0.006962,9.910795,90.040253,104.170456
0.136,-2.474091,9.53984,0.074393,9.85572,89.56752,104.538956
0.14,-2.447774,9.561369,-0.023712,9.869749,90.137657,104.359695
0.144,-2.447774,9.602051,-0.030885,9.909184,90.178581,104.301361
0.148,-2.509985,9.578119,0.00022,9.901535,89.998726,104.684402
0.152,-2.541091,9.532659,-0.131384,9.866406,90.762993,104.926079
0.156,-2.423842,9.733655,-0.073962,10.031178,90.422455,103.9832
0.16,-2.459736,9.582908,0.005009,9.893556,89.970993,104.395866
0.164,-2.555446,9.46087,0.002614,9.799917,89.984711,105.115288
0.168,-2.689445,9.350803,-0.006962,9.729886,90.041,106.046104
0.172,-2.8043,9.424985,0.081575,9.833672,89.524696,106.569786
0.176,-2.909587,9.487196,0.048076,9.923452,89.72242,107.050026
0.18,-2.919154,9.491985,-0.002174,9.930723,90.012543,107.094696
0.184,-3.02923,9.585301,0.00022,10.052574,89.998741,107.538033
0.188,-2.849761,9.520697,-0.061991,9.938242,90.357391,106.663635
0.192,-2.768406,9.496763,-0.076346,9.892342,90.4422,106.251953
0.196,-2.651157,9.472841,-0.083529,9.837191,90.486511,105.6353
0.2,-2.60809,9.448908,-0.076346,9.802542,90.446251,105.430588
0.204,-2.639195,9.511119,-0.018924,9.870517,90.109848,105.508553
0.208,-2.62484,9.525484,-0.081135,9.880851,90.470482,105.406059
0.212,-2.62484,9.604445,-0.073962,9.956939,90.425606,105.285355
0.216,-2.598513,9.60684,-0.11224,9.952701,90.646156,105.135513
0.22,-2.603302,9.585301,-0.109846,9.93314,90.633621,105.194618
0.224,-2.746877,9.688194,-0.047635,10.070189,90.271027,105.829536
0.228,-2.818655,9.872442,-0.038068,10.267005,90.21244,105.934433
0.232,-2.49563,9.652301,-0.227095,9.972294,91.304886,104.496521
0.236,-2.457342,9.530264,-0.231883,9.844706,91.349678,104.458565
0.24,-2.476485,9.59487,-0.119423,9.910033,90.690468,104.472481
0.244,-2.632013,9.769549,0.05047,10.118011,89.714203,105.078056
0.248,-2.442986,9.570946,-0.126596,9.878624,90.734276,104.319008
0.252,-2.395131,9.448908,-0.088317,9.748144,90.519104,104.223869
0.256,-2.474091,9.374737,-0.071567,9.695975,90.422913,104.783882
0.26,-2.483659,9.31491,-0.035674,9.640404,90.212021,104.929596
0.2640015,-2.610484,9.305343,0.014576,9.664587,89.913589,105.670723
0.268,-2.801906,9.322093,-0.021318,9.734093,90.125481,106.728996
0.272,-2.904799,9.391486,-0.047635,9.830571,90.277634,107.186905
0.276,-2.983759,9.408237,-0.105067,9.870602,90.609894,107.596077
0.28,-3.038797,9.480014,-0.20796,9.957319,91.196716,107.77314
0.284,-3.04598,9.511119,-0.186422,9.9887,91.069389,107.757904
0.288,-3.038797,9.441735,-0.17924,9.920321,91.035271,107.840637
0.292,-3.103403,9.52309,-0.184028,10.017695,91.052597,108.04985
0.296,-3.074691,9.468053,-0.155317,9.955997,90.893867,107.990883
0.3,-3.105797,9.511119,-0.188816,10.007148,91.081131,108.084129
0.304,-3.089047,9.429765,-0.236672,9.925658,91.366318,108.138008
0.3080015,-3.069903,9.451303,-0.181634,9.939034,91.047127,107.994453
0.312,-3.031615,9.422592,-0.186422,9.900034,91.078972,107.835007
0.316,-3.010086,9.415409,-0.155317,9.886085,90.900192,107.728966
0.32,-3.017259,9.436947,-0.09549,9.908024,90.552208,107.730553
0.324,-3.022048,9.451303,-0.078741,9.923008,90.454659,107.731644
0.328,-2.990942,9.403447,-0.114634,9.868318,90.665588,107.644241
0.332,-2.990942,9.381909,-0.109846,9.847742,90.639114,107.68222
0.336,-3.031615,9.44412,-0.054818,9.918927,90.31665,107.796913
0.34,-3.005298,9.470448,-0.143346,9.936888,90.826553,107.606018
0.344,-3.055547,9.472841,-0.069173,9.953687,90.398178,107.877556
0.348,-3.04598,9.465658,-0.028491,9.943716,90.164169,107.837799
0.352,-3.014865,9.472841,-0.061991,9.941226,90.357285,107.654404
0.356,-3.01248,9.453697,-0.01653,9.922081,90.095451,107.674805
0.36,-2.986154,9.456091,-0.097885,9.916872,90.565544,107.525681
0.364,-2.955048,9.480014,-0.073962,9.930178,90.42675,107.312958
0.368,-2.974192,9.508735,-0.028491,9.963065,90.163849,107.368912
0.372,-2.777983,9.47762,-0.052423,9.876498,90.304123,106.336372
0.376,-2.818655,9.496763,-0.085923,9.9066,90.496948,106.530975
0.38,-2.823444,9.44412,-0.042847,9.857235,90.249046,106.64473
0.384,-2.847376,9.472841,-0.105067,9.892083,90.608566,106.729889
0.388,-2.833011,9.515908,-0.131384,9.929538,90.758141,106.578964
0.392,-2.749262,9.491985,-0.081135,9.88245,90.470406,106.153145
0.396,-2.773194,9.508735,-0.126596,9.905689,90.732269,106.259171
0.4,-2.775588,9.46087,-0.11224,9.86025,90.652214,106.350403
0.404,-2.7708,9.535051,-0.088317,9.929871,90.509598,106.203392
0.408,-2.734906,9.561369,-0.150528,9.945961,90.86718,105.962494
0.412,-2.696628,9.551802,-0.073962,9.925431,90.426956,105.765228
0.416,-2.675089,9.484803,-0.124211,9.855609,90.722122,105.750549
0.42,-2.696628,9.52309,-0.114634,9.89819,90.663574,105.810387
0.424,-2.646378,9.496763,-0.050029,9.858719,90.290756,105.571083
0.428,-2.646378,9.515908,-0.081135,9.877369,90.470642,105.541275
0.432,-2.579379,9.570946,-0.047635,9.912541,90.275337,105.082924
0.436,-2.620052,9.597262,-0.059596,9.948651,90.343224,105.269653
0.44,-2.567408,9.616407,0.024153,9.953263,89.860962,104.94828
0.444,-2.636801,9.535051,-0.011741,9.89293,90.068001,105.45813
0.448,-2.59134,9.59487,-0.018924,9.938658,90.109093,105.113609
0.452,-2.629628,9.573339,0.002614,9.927929,89.984909,105.359337
0.456,-2.565014,9.537446,0.007403,9.876347,89.957054,105.053024
0.46,-2.612878,9.618801,0.031326,9.96742,89.819931,105.197273
0.464,-2.672695,9.53984,0.009787,9.907166,89.943398,105.650826
0.468,-2.682262,9.554196,-0.01653,9.923582,90.095436,105.681648
0.472,-2.701406,9.542234,0.03372,9.917307,89.805191,105.806816
0.476,-2.691839,9.54462,-0.026097,9.916978,90.150772,105.749878
0.48,-2.749262,9.554196,0.06722,9.942114,89.612617,106.053406
0.484,-2.694233,9.54462,-0.023712,9.917622,90.136986,105.763191
0.488,-2.627234,9.535051,-0.030885,9.890426,90.178917,105.404709
0.492,-2.691839,9.568552,0.055258,9.940133,89.681488,105.712433
0.496,-2.670301,9.513514,0.028932,9.881209,89.832245,105.678635
0.5,-2.639195,9.532659,-0.021318,9.891278,90.123489,105.475189
0.504,-2.682262,9.570946,-0.028491,9.939735,90.16423,105.655556
0.508,-2.679878,9.547013,-0.011741,9.916015,90.067841,105.679604
0.512,-2.557841,9.54462,-0.023712,9.881441,90.137489,105.00206
0.516,-2.57459,9.561369,0.05047,9.902062,89.70797,105.070587
0.52,-2.57459,9.55659,-0.014135,9.897329,90.081833,105.077782
0.524,-2.581764,9.566157,0.00022,9.908424,89.998726,105.103439
0.528,-2.52913,9.537446,0.040903,9.86717,89.762489,104.851807
0.532,-2.622446,9.515908,0.014576,9.870661,89.91539,105.407433
0.536,-2.612878,9.518302,-0.038068,9.870494,90.220978,105.350197
0.54,-2.610484,9.501553,0.019364,9.853655,89.887405,105.362556
0.544,-2.622446,9.566157,0.012182,9.919109,89.929634,105.330315
0.548,-2.655945,9.525484,-0.011741,9.888834,90.068031,105.579811
0.552,-2.663128,9.537446,0.012182,9.902286,89.929512,105.601257
0.556,-2.689445,9.53984,-0.047635,9.911807,90.27536,105.744057
0.56,-2.675089,9.496763,-0.006962,9.86634,90.040428,105.731697
0.564,-2.744483,9.525484,-0.040462,9.913055,90.233864,106.072754
0.568,-2.699012,9.527869,-0.061991,9.902969,90.358665,105.816132
0.572,-2.718156,9.508735,-0.052423,9.88975,90.303711,105.953056
0.576,-2.732512,9.515908,0.028932,9.900504,89.832565,106.021523
0.58,-2.670301,9.501553,-0.028491,9.869692,90.165398,105.697403
0.584,-2.739695,9.508735,-0.040462,9.895636,90.234276,106.07296
0.588,-2.742089,9.499158,-0.085923,9.887388,90.497917,106.101662
0.592,-2.706195,9.59487,-0.035674,9.969267,90.205025,105.750893
0.596,-2.749262,9.484803,-0.026097,9.875253,90.151413,106.164742
0.6,-2.818655,9.563764,-0.004568,9.970477,90.026253,106.421425
0.604,-2.768406,9.484803,-0.040462,9.880648,90.234634,106.271362
0.608,-2.780377,9.532659,-0.047635,9.929972,90.274857,106.260307
0.612,-2.739695,9.436947,-0.030885,9.82664,90.180084,106.188843
0.616,-2.701406,9.475235,0.052864,9.852942,89.692589,105.912949
0.62,-2.78755,9.530264,0.01697,9.929585,89.902077,106.303909
0.624,-2.742089,9.46087,-0.018924,9.850252,90.110077,106.163422
0.628,-2.78755,9.511119,0.040903,9.911281,89.76355,106.334976
0.632,-2.727733,9.456091,-0.004568,9.841657,90.026596,106.090897
0.636,-2.699012,9.520697,0.009787,9.89588,89.943329,105.827446
0.64,-2.739695,9.515908,0.014576,9.902457,89.915665,106.06147
0.644,-2.744483,9.535051,0.031326,9.922216,89.819107,106.057457
0.648,-2.703801,9.513514,0.060037,9.890454,89.652199,105.865486
0.652,-2.7708,9.511119,0.03372,9.906556,89.804977,106.242012
0.656,-2.742089,9.535051,0.069614,9.921749,89.597992,106.044167
0.66,-2.768406,9.463264,0.014576,9.859901,89.915298,106.306435
0.664,-2.780377,9.513514,0.012182,9.911488,89.929581,106.29129
0.668,-2.65834,9.501553,0.069614,9.866667,89.595749,105.630531
0.672,-2.663128,9.52309,0.06722,9.888681,89.610519,105.623627
0.676,-2.706195,9.470448,0.014576,9.849522,89.915207,105.947365
0.68,-2.600908,9.520697,0.060037,9.869751,89.651474,105.279503
0.684,-2.627234,9.578119,0.038508,9.931979,89.777855,105.338715
0.688,-2.670301,9.527869,0.062431,9.895185,89.638504,105.656174
0.692,-2.588946,9.508735,0.05047,9.85501,89.706573,105.230743
0.696,-2.519552,9.554196,0.036114,9.880897,89.790588,104.773232
0.7,-2.584158,9.549407,0.05047,9.893007,89.707703,105.142105
0.704,-2.598513,9.592475,0.117469,9.938896,89.3228,105.157135
0.708,-2.622446,9.47762,0.069614,9.833989,89.594406,105.466698
0.712,-2.586552,9.549407,0.122258,9.894259,89.292015,105.155487
0.716,-2.600908,9.515908,0.100719,9.865464,89.415039,105.286835
0.72,-2.581764,9.499158,0.129431,9.844605,89.246689,105.205055
0.724,-2.648763,9.547013,0.189257,9.909451,88.905663,105.506363
0.728,-2.612878,9.59487,0.105508,9.944838,89.39212,105.233414
0.732,-2.572196,9.549407,0.095931,9.890226,89.444244,105.075211
0.736,-2.57459,9.616407,0.100719,9.955599,89.420334,104.988228
0.7399999,-2.560235,9.599657,0.136613,9.93614,89.212212,104.933235
0.744,-2.486053,9.602051,0.136613,9.919601,89.210892,104.515625
0.748,-2.447774,9.570946,0.143786,9.880045,89.166138,104.345924
0.752,-2.447774,9.630763,0.117469,9.937655,89.322716,104.26046
0.756,-2.507591,9.585301,0.215574,9.910221,88.753563,104.660477
0.76,-2.450159,9.59487,0.206007,9.90491,88.80825,104.324989
0.764,-2.419054,9.637945,0.241891,9.939835,88.605537,104.08976
0.768,-2.42863,9.640339,0.150969,9.942695,89.129997,104.139938
0.772,-2.426236,9.618801,0.246679,9.923145,88.575539,104.156914
0.776,-2.419054,9.637945,0.227535,9.939496,88.688271,104.08976
0.78,-2.414275,9.515908,0.256256,9.820738,88.504791,104.236092
0.784,-2.368804,9.604445,0.198824,9.894247,88.848572,103.854706
0.788,-2.347275,9.614013,0.251468,9.899605,88.544426,103.720428
0.792,-2.36641,9.642724,0.277785,9.932734,88.397423,103.788399
0.796,-2.387948,9.62359,0.270612,9.919123,88.436676,103.935623
0.8,-2.320949,9.568552,0.232324,9.848755,88.648315,103.634346
0.804,-2.344881,9.575734,0.284967,9.862777,88.344307,103.759674
0.808,-2.378381,9.585301,0.234718,9.878755,88.638535,103.935249
0.812,-2.395131,9.532659,0.249074,9.832104,88.548386,104.103912
0.816,-2.373593,9.578119,0.282573,9.871887,88.359741,103.918304
0.82,-2.371198,9.649906,0.256256,9.940269,88.522774,103.805344
0.824,-2.426236,9.645118,0.206007,9.947731,88.813385,104.119835
0.8279999,-2.356843,9.573339,0.270612,9.862899,88.427757,103.830505
0.832,-2.404698,9.602051,0.294535,9.902965,88.295654,104.059746
0.836,-2.414275,9.59009,0.253862,9.892572,88.529518,104.130402
0.84,-2.442986,9.573339,0.306506,9.884885,88.223114,104.315575
0.844,-2.404698,9.60684,0.282573,9.90726,88.365601,104.053017
0.848,-2.457342,9.599657,0.222757,9.911688,88.712219,104.358383
0.852,-2.452553,9.640339,0.184468,9.949129,88.937607,104.273552
0.8559999,-2.440592,9.618801,0.220362,9.926045,88.727905,104.237282
0.86,-2.431024,9.645118,0.222757,9.949262,88.717087,104.146584
0.864,-2.318554,9.602051,0.19643,9.879962,88.860794,103.575043
0.868,-2.297026,9.630763,0.227535,9.90352,88.683502,103.41494
0.872,-2.318554,9.59487,0.217968,9.873435,88.735023,103.584831
0.876,-2.275488,9.563764,0.210786,9.832998,88.771683,103.38343
0.88,-2.232421,9.551802,0.215574,9.81158,88.741028,103.154884
0.884,-2.292238,9.547013,0.174892,9.819899,88.979515,103.501152
0.8880015,-2.184556,9.62359,0.186863,9.870192,88.915207,102.789413
0.8920015,-2.222844,9.625975,0.222757,9.881804,88.708321,103.002899
0.896,-2.201306,9.59487,0.210786,9.846406,88.773354,102.921486
0.9,-2.191739,9.671444,0.273006,9.920438,88.42305,102.768677
0.904,-2.270699,9.616407,0.167719,9.882281,89.02755,103.285759
0.908,-2.347275,9.669051,0.194036,9.951778,88.882797,103.645256
0.912,-2.385554,9.633156,0.184468,9.925855,88.93512,103.908905
0.9159999,-2.416659,9.681012,0.150969,9.97923,89.133179,104.016228
