X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
-1.873,9.581,-1.316,97.677391
-1.905,9.584,-1.452,98.452049
-1.878,9.644,-1.282,97.434036
-1.584,9.642,-1.311,97.641693
-1.52,9.567,-1.328,97.806076
-1.664,9.576,-1.321,97.739777
-1.754,9.573,-1.492,98.715759
-1.844,9.57,-1.528,98.910393
-1.877,9.569,-1.47,98.572693
-1.736,9.61,-1.43,98.330803
-1.587,9.695,-1.47,98.510208
-1.414,9.785,-1.542,98.864891
-1.31,9.85,-1.42,98.132744
-1.148,9.892,-1.358,97.765381
-1.218,9.905,-1.322,97.546043
-1.469,9.949,-1.456,98.237854
-1.469,9.949,-1.456,98.237854
-1.525,10.066,-1.456,98.138878
-1.385,10.109,-1.504,98.385094
-1.16,10.142,-1.613,98.979149
-0.757,10.239,-1.679,99.287628
-0.243,10.461,-2.261,102.192894
0.297,11.128,-2.402,102.176315
-0.009,11.552,-2.246,101.00248
-0.05,11.833,-2.405,101.488503
-0.502,12.136,-2.265,100.562935
-0.969,12.737,-1.61,97.183632
-1.218,13.574,-1.033,94.334549
-2.033,14.831,-0.662,92.532127
-1.717,16.09,-0.645,92.282639
-1.13,16.242001,-0.863,93.034164
-1.035,15.639,0.147,89.462639
-1.391,15.693,0.017,89.938171
-1.757,15.854,-0.358,91.285713
-1.352,14.951,-0.58,92.212563
-0.274,13.239,-0.613,92.650482
0.99,11.682,-0.487,92.378654
1.369,10.349,-0.416,92.282028
1.467,9.01,-0.443,92.778305
1.074,7.488,-0.66,94.986328
0.212,6.04,-1.292,102.066811
-0.224,5.194,-2.033,111.357971
0.688,5.355,-2.648,116.126091
1.384,5.635,-2.248,111.177414
1.25,5.322,-1.451,104.864662
1.189,4.737,-1.074,102.402191
1.008,4.527,-1.092,103.249153
0.746,4.864,-1.006,101.55407
0.627,5.38,-0.742,97.800453
0.557,5.781,-0.487,94.793221
0.391,6.257,-0.352,93.213638
0.131,6.886,-0.187,91.55529
-0.089,7.524,0.028,89.786797
-0.404,8.066,0.127,89.099075
-0.788,8.687,0.164,88.922874
-1.077,9.5,0.126,89.244957
-1.367,10.368,0.05,89.726059
-1.783,11.137,-0.125,90.634964
-2.315,11.555,-0.371,91.803177
-2.914,11.644,-0.715,93.408966
-3.516,11.508,-1.143,95.426117
-3.854,11.253,-1.397,96.698555
-3.87,11.05,-1.389,96.765717
-3.714,11.02,-1.242,96.096176
-3.572,11.057,-1.12,95.505638
-3.607,11.095,-1.083,95.30352
-3.728,11.35,-1.021,94.88485
-3.818,11.676,-1.005,94.677017
-3.654,11.909,-0.872,94.004227
-2.927,11.945,-0.621,92.890663
-2.649,11.869,-0.549,92.584816
-2.723,11.654,-0.613,92.932152
-2.857,11.367,-0.745,93.637032
-2.91,11.146,-0.946,94.694641
-2.796,11.428,-1.047,95.085487
-2.744,11.77,-1.021,94.828911
-2.764,11.819,-0.904,94.259384
-2.716,11.648,-0.745,93.56427
-2.694,11.357,-0.692,93.392891
-2.582,11.107,-0.58,92.911728
-2.29,11.022,-0.48,92.441536
-1.904,11.067,-0.375,91.912621
-1.479,11.099,-0.19,90.972137
-1.098,11.032,-0.066,90.341087
-0.939,10.879,-0.066,90.346306
-0.962,10.66,-0.14,90.74939
-1.047,10.416,-0.295,91.614159
-1.065,10.271,-0.423,92.345772
-1.014,10.201,-0.411,92.295906
-1.004,10.253,-0.307,91.706902
-0.973,10.395,-0.436,92.391319
-0.862,10.413,-0.763,94.176552
-0.567,10.149,-1.506,98.427521
1.364,9.825,-3.935,111.638435
7.357,11.114,-8.018,121.029945
12.931,13.726,-7.787,112.437408
7.838,13.004,-2.359,98.831223
1.949,9.616,1.741,79.93792
-0.458,8.948,2.678,73.35894
-2.226,10.371,1.602,81.41156
-3.673,12.291,0.133,89.405983
-0.9619306931,10.39826734,-1.044128713,
