X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
0.0,0.86687,0.137105,81.012497
0.003874,0.86687,0.174822,78.598213
0.011621,0.847299,0.174822,78.342926
0.011621,0.831702,0.247401,73.435738
0.011621,0.81998,0.247401,73.212212
-0.007747,0.823955,0.323853,68.543694
-0.050765,0.843425,0.323853,69.02916
-0.09368,0.882467,0.319572,70.19548
-0.144444,0.929358,0.319572,71.233078
-0.175637,0.987971,0.235984,76.766243
-0.191335,1.019164,0.235984,77.179504
-0.183486,1.046483,0.48053,65.663422
-0.171763,1.027013,0.48053,65.227562
-0.156167,1.007441,0.500102,63.869778
-0.132722,0.995719,0.500102,63.533623
-0.136595,0.964526,0.496126,63.010643
-0.128848,0.944954,0.496126,62.515953
-0.136595,0.933231,0.492253,62.439476
-0.124873,0.933231,0.492253,62.398899
-0.117125,0.944954,0.519572,61.380356
-0.09368,0.956677,0.519572,61.608093
-0.081957,0.9684,0.500102,62.770485
-0.042915,0.972273,0.500102,62.803036
-0.027319,0.976249,0.476656,63.984749
0.007747,0.9684,0.476656,63.793831
0.007747,0.9684,0.488379,63.238205
0.015596,0.983996,0.488379,63.606632
0.027319,0.999694,0.488379,63.971603
0.039042,0.999694,0.488379,63.980381
0.050765,0.999694,0.457085,65.456856
0.050765,0.991845,0.457085,65.286201
0.062385,0.980122,0.418043,66.942505
0.066361,0.96055,0.418043,66.530632
0.074108,0.944954,0.422018,65.99971
0.078084,0.941081,0.422018,65.919914
0.09368,0.941081,0.394597,67.352135
0.105403,0.937207,0.394597,67.295677
0.097554,0.921509,0.336086,70.06501
0.097554,0.925484,0.336086,70.143066
0.097554,0.909786,0.297044,72.014618
0.089806,0.902039,0.297044,71.856918
0.097554,0.890316,0.187666,78.165939
0.124873,0.870744,0.187666,77.957024
0.144444,0.862997,0.136901,81.107697
0.16789,0.855148,0.136901,81.072273
0.163914,0.86687,0.183792,78.232094
0.16789,0.89419,0.183792,78.579346
0.175637,0.917635,0.23843,75.683762
0.16789,0.933231,0.23843,75.885475
0.163914,0.948828,0.324363,71.383041
0.144444,0.964526,0.324363,71.603714
0.124873,0.964526,0.363405,69.511703
0.09368,0.964526,0.363405,69.443672
0.089806,0.956677,0.328236,71.139893
0.074108,0.933231,0.328236,70.67849
0.070234,0.929358,0.324363,70.810776
0.074108,0.917635,0.324363,70.591118
0.085831,0.905912,0.277472,73.042252
0.089806,0.909786,0.277472,73.116386
0.105403,0.913761,0.258002,74.331627
0.105403,0.898063,0.258002,74.075035
0.11315,0.89419,0.222834,76.113197
0.109276,0.890316,0.222834,76.048882
0.11315,0.886442,0.273598,72.977318
0.120999,0.890316,0.273598,73.064217
0.109276,0.890316,0.273598,73.03746
0.101529,0.905912,0.254027,74.428711
0.089806,0.890316,0.254027,74.151756
0.062385,0.909786,0.246279,74.886894
0.007747,0.902039,0.246279,74.72953
0.007747,0.902039,0.265749,73.585091
0.007747,0.905912,0.265749,73.65152
-0.015596,0.902039,0.254027,74.274284
-0.050765,0.882467,0.254027,73.966171
-0.062385,0.870744,0.261876,73.301788
-0.078084,0.862997,0.261876,73.184418
-0.078084,0.870744,0.064424,85.7854
-0.085831,0.87472,0.064424,85.80777
-0.070234,0.862997,0.23843,74.603981
-0.050765,0.839551,0.23843,74.173065
-0.015596,0.827829,0.258002,72.692665
-0.003874,0.784913,0.258002,71.804443
-0.003874,0.784913,0.23843,73.10318
0.003874,0.788787,0.23843,73.181465
-0.011621,0.80051,0.269725,71.381035
-0.035066,0.843425,0.269725,72.280235
-0.046789,0.902039,0.367278,67.872452
-0.058512,0.96055,0.367278,69.110405
-0.054638,0.991845,0.472783,64.547958
-0.070234,1.011315,0.472783,64.99707
-0.101529,1.01529,0.468807,65.323334
-0.136595,1.03476,0.468807,65.812187
-0.171763,1.050459,0.425892,68.192635
-0.206932,1.069929,0.425892,68.65374
-0.226402,1.073802,0.410296,69.50042
-0.234251,1.069929,0.410296,69.463745
-0.222528,1.062079,0.445362,67.685852
-0.214679,1.050459,0.445362,67.442818
-0.179613,1.019164,0.410296,68.373131
-0.124873,1.01529,0.410296,68.144562
-0.070234,1.019164,0.382875,69.454697
-0.00495450495,0.9304356634,0.3353690693,
