X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
3.217807,9.346964,-2.671929,105.125168
3.524265,9.346964,-2.987964,106.652786
3.983952,8.887277,-3.466804,109.593559
4.29041,8.734048,-4.252102,113.603752
4.29041,8.580819,-4.568137,115.462044
3.524265,8.274361,-4.098873,114.501251
2.298434,8.274361,-2.671929,107.282799
1.37906,8.121132,-1.733402,101.88343
0.459687,7.814674,-1.570596,101.344833
-0.153229,7.508216,-1.886631,104.102188
-0.612916,7.201759,-1.886631,104.629181
-1.225831,7.04853,-1.254562,99.946091
-1.991976,6.742072,-0.153229,91.248611
-2.298434,6.435614,0.622492,84.795227
-2.451663,6.435614,0.785298,83.494675
-2.451663,6.129156,0.785298,83.215912
-2.298434,5.975927,0.622492,84.446953
-2.145205,5.975927,0.785298,82.94931
-1.838747,5.822699,0.785298,82.671524
-1.532289,5.822699,1.101333,79.634216
-0.919373,5.975927,1.733402,74.002869
-0.306458,5.822699,2.049437,70.634079
0.459687,5.822699,2.202666,69.337738
0.766145,5.66947,2.202666,68.942596
1.37906,5.516241,2.355895,67.494225
1.225831,5.363012,2.671929,64.094688
1.225831,5.209783,2.671929,63.470062
1.225831,5.209783,2.834735,62.091915
0.766145,4.903325,2.834735,60.265228
0.612916,5.056554,2.834735,60.902637
0.306458,5.056554,2.671929,62.190983
0.306458,5.363012,2.5187,64.879158
0.0,5.66947,1.886631,71.594093
0.0,6.129156,1.570596,75.62722
0.153229,6.588843,0.938527,81.895378
0.306458,7.201759,0.306458,87.565552
0.612916,7.814674,-0.306458,92.238876
1.225831,8.274361,-0.469264,93.210968
1.532289,8.42759,-0.785298,95.238167
2.298434,9.040505,-1.417367,98.639771
2.451663,9.346964,-1.886631,101.047447
2.911349,9.500193,-2.671929,105.051163
3.217807,9.653421,-3.303998,107.988518
3.524265,9.80665,-3.303998,107.591805
3.830723,9.80665,-3.466804,108.225922
3.983952,9.959879,-3.620033,108.647766
4.13718,10.113108,-3.620033,108.330231
3.983952,10.419566,-3.620033,107.978989
3.524265,10.572795,-3.466804,107.279449
3.217807,10.879252,-3.150769,105.521011
2.75812,11.032481,-2.987964,104.721542
2.451663,11.18571,-2.671929,103.133904
1.838747,11.33894,-2.5187,102.367195
1.37906,11.645397,-2.671929,102.83564
1.072602,11.798626,-2.834735,103.456345
0.919373,11.951855,-2.834735,103.304932
0.919373,12.105083,-2.834735,103.143333
1.072602,12.411542,-2.834735,102.819206
1.532289,12.411542,-2.671929,102.060242
1.838747,12.564771,-2.671929,101.882347
2.451663,12.717999,-2.671929,101.656166
2.911349,12.564771,-2.671929,101.704063
3.371036,12.717999,-2.5187,100.837112
3.371036,12.564771,-2.671929,101.606506
3.217807,12.564771,-2.671929,101.640335
3.064578,12.564771,-2.671929,101.672867
3.064578,12.564771,-2.834735,102.362846
2.911349,12.411542,-2.987964,103.190834
3.217807,12.564771,-2.834735,102.328506
3.217807,12.564771,-2.987964,102.972916
3.524265,12.717999,-2.671929,101.445435
3.524265,12.717999,-2.671929,101.445435
3.524265,12.717999,-2.671929,101.445435
3.371036,12.717999,-2.987964,102.794724
3.371036,12.717999,-2.834735,102.158607
2.911349,12.717999,-2.834735,102.258217
2.75812,12.871228,-2.671929,101.474083
2.451663,12.871228,-2.5187,100.881149
2.298434,12.564771,-2.202666,99.784058
1.991976,12.564771,-1.886631,98.435501
1.838747,12.411542,-1.733402,97.865776
1.838747,12.105083,-1.733402,98.057945
1.991976,11.951855,-1.733402,98.141418
2.298434,11.645397,-1.570596,97.537361
