X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
-0.070234,1.019164,0.382875,69.454697
-0.074108,1.03476,0.382875,69.742531
-0.097554,1.054332,0.418043,68.455215
-0.081957,1.066055,0.418043,68.645187
-0.085831,1.062079,0.468807,66.251907
-0.074108,1.081651,0.468807,66.616127
-0.081957,1.112844,0.38685,70.879387
-0.078084,1.140265,0.38685,71.300545
-0.054638,1.179307,0.324363,74.637032
-0.015596,1.202752,0.324363,74.908516
0.023344,1.198777,0.269725,77.321945
0.050765,1.151988,0.269725,76.834564
0.066361,1.093374,0.203262,79.487656
0.085831,1.030887,0.203262,78.883453
0.105403,0.972273,0.195515,78.694527
0.140571,0.96055,0.195515,78.612999
0.203058,0.956677,0.230581,76.73362
0.273293,0.9684,0.230581,77.093239
0.339653,0.964526,0.160347,81.088272
0.402141,0.937207,0.160347,81.064697
0.449032,0.909786,0.109684,83.829742
0.449032,0.86687,0.109684,83.589668
0.413863,0.816106,0.179817,78.882431
0.370948,0.788787,0.179817,78.343819
0.339653,0.784913,0.234557,74.663445
0.308461,0.777064,0.234557,74.328331
0.304587,0.796534,0.207237,76.341148
0.304587,0.835678,0.207237,76.884438
0.304587,0.870744,0.175943,79.201767
0.308461,0.917635,0.175943,79.699387
0.288889,0.952803,0.214985,77.815361
0.257696,0.983996,0.214985,78.065956
0.222528,0.987971,0.214985,78.014946
0.18736,0.991845,0.214985,77.976479
0.16789,0.991845,0.261876,75.40831
0.136595,0.987971,0.261876,75.288147
0.109276,0.987971,0.265749,75.031807
0.066361,0.983996,0.265749,74.919296
0.046789,0.976249,0.300917,72.887177
0.023344,0.972273,0.300917,72.807426
0.003874,0.964526,0.297044,72.882935
-0.023344,0.964526,0.297044,72.88752
-0.027319,0.9684,0.285321,73.589539
-0.035066,0.972273,0.285321,73.655327
-0.031193,0.964526,0.31264,72.049271
-0.031193,0.964526,0.31264,72.049271
-0.023344,0.980122,0.324363,71.693336
-0.035066,0.964526,0.324363,71.424019
-0.031193,0.948828,0.33211,70.718506
-0.046789,0.948828,0.33211,70.730537
-0.081957,0.948828,0.343833,70.148788
-0.074108,0.941081,0.343833,69.986755
-0.074108,0.929358,0.33211,70.392899
-0.050765,0.909786,0.33211,69.974464
-0.01947,0.905912,0.316514,70.745384
-0.011621,0.905912,0.316514,70.742729
-0.007747,0.886442,0.324363,69.902359
-0.007747,0.862997,0.324363,69.401711
-0.039042,0.835678,0.324363,68.807663
-0.050765,0.827829,0.324363,68.640076
-0.039042,0.808257,0.371254,65.354744
-0.035066,0.780938,0.371254,64.596191
-0.042915,0.761468,0.355556,65.005318
-0.046789,0.757492,0.355556,64.897278
-0.058512,0.796534,0.33211,67.42131
-0.054638,0.808257,0.33211,67.708282
-0.050765,0.831702,0.304791,69.908203
-0.023344,0.855148,0.304791,70.389709
0.023344,0.855148,0.320489,69.462196
0.042915,0.859021,0.320489,69.563507
0.066361,0.847299,0.328236,68.882988
0.070234,0.835678,0.328236,68.62468
0.039042,0.851274,0.351682,67.574532
-0.01947,0.87472,0.351682,68.102264
-0.070234,0.905912,0.394597,66.52581
-0.124873,0.913761,0.394597,66.83577
-0.175637,0.941081,0.414169,66.60527
-0.218654,0.937207,0.414169,66.714821
-0.238124,0.956677,0.275637,74.379623
-0.234251,0.987971,0.275637,74.812126
-0.226402,1.007441,0.379001,69.844482
-0.214679,0.999694,0.379001,69.661942
-0.195209,0.983996,0.363405,70.0868
-0.206932,0.956677,0.363405,69.631279
-0.18736,0.941081,0.363405,69.257118
-0.171763,0.921509,0.429766,65.369713
-0.144444,0.890316,0.433639,64.322884
-0.11315,0.882467,0.433639,64.015205
-0.120999,0.847299,0.398573,65.029556
-0.136595,0.835678,0.398573,64.793678
-0.109276,0.890316,0.308767,71.005386
-0.058512,0.987971,0.308767,72.673164
-0.01947,1.112844,0.336086,73.197792
0.054638,1.245668,0.336086,74.914757
0.16789,1.315902,0.367278,74.524544
0.273293,1.27686,0.367278,74.290237
0.316208,1.144139,0.320489,74.890823
0.331906,0.972273,0.320489,72.67453
0.312334,0.855148,0.304791,71.490097
0.300612,0.753619,0.304791,69.41114
0.265443,0.722426,0.320489,67.392685
