X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
-1.27124,7.88501,2.229752,74.401405
-1.232941,7.887405,2.22496,74.426544
-1.242508,7.880219,2.212997,74.495857
-1.217377,7.898178,2.229752,74.409981
-1.204208,7.919724,2.208206,74.588844
-1.21138,7.971207,2.22377,74.580681
-1.19223,7.978378,2.222565,74.596352
-1.119217,7.998734,2.270447,74.298676
-1.055771,7.986755,2.270447,74.260849
-1.062943,7.979584,2.311157,73.981339
-1.027039,7.96521,2.369812,73.559853
-1.085693,7.941269,2.355453,73.62323
-1.077316,7.876633,2.371017,73.393181
-1.141953,7.828751,2.405731,73.086716
-1.206604,7.784454,2.40094,73.049416
-1.241318,7.717407,2.422485,72.780983
-1.206604,7.640793,2.459595,72.361267
-1.133575,7.583344,2.454803,72.247391
-1.024643,7.54982,2.494308,71.872665
-0.854645,7.53186,2.536209,71.500603
-0.691849,7.535461,2.700211,70.361923
-0.507492,7.53067,2.813934,69.553658
-0.318344,7.582138,2.908508,69.030052
-0.131607,7.625244,2.953995,68.826668
0.03479,7.700653,2.970764,68.904541
0.194016,7.730576,2.934845,69.217155
0.288574,7.765305,2.89415,69.572372
0.38913,7.772476,2.861816,69.809593
0.413071,7.782059,2.779221,70.372253
0.41188,7.752136,2.665497,71.049782
0.419067,7.753326,2.532623,71.935028
0.365189,7.754517,2.406921,72.774162
0.349625,7.735367,2.259674,73.731461
0.312515,7.734177,2.105255,74.78476
0.216751,7.782059,2.047791,75.262726
0.219147,7.790436,2.019058,75.475761
0.202393,7.785645,2.042999,75.301491
0.164078,7.778473,2.132782,74.670135
0.118591,7.816772,2.254898,73.910538
0.103027,7.86705,2.390167,73.10154
0.073105,7.899368,2.615219,71.682739
0.073105,7.901764,2.792389,70.537971
0.105423,7.922119,3.013855,69.173096
0.088669,7.938873,3.220947,67.917946
0.122177,7.973587,3.404114,66.883644
0.168869,7.995148,3.544174,66.097473
0.179642,8.013092,3.576492,65.95266
0.233521,8.02626,3.675858,65.402397
0.280197,8.001129,3.726135,65.041985
0.334076,8.013092,3.655502,65.496727
0.324493,8.038239,3.600433,65.88916
0.322098,8.070557,3.56572,66.18013
0.354416,8.083725,3.484314,66.702583
0.386749,8.069366,3.35144,67.468758
0.413071,8.092102,3.270035,68.022156
0.453781,8.136398,3.121597,69.040009
0.420258,8.20224,3.027023,69.767883
0.399918,8.309982,2.903717,70.759926
0.348434,8.384201,2.800766,71.542809
0.310135,8.525452,2.687042,72.517113
0.234711,8.69545,2.622406,73.223312
0.167679,8.797195,2.590073,73.597321
0.13295,8.831909,2.496704,74.21656
0.058731,8.932465,2.406921,74.919701
-0.022659,8.97197,2.320724,75.497559
-0.098083,8.967194,2.312347,75.541122
-0.174698,8.973175,2.284821,75.717064
-0.250122,9.007889,2.269257,75.865562
-0.308777,8.987534,2.272842,75.816139
-0.367432,8.95282,2.289612,75.666107
-0.448837,8.974365,2.354248,75.318344
-0.466797,8.977966,2.40094,75.047272
-0.493134,8.986343,2.483536,74.573021
-0.495514,9.006699,2.451218,74.797333
-0.535019,9.056976,2.515854,74.50145
-0.582916,9.07373,2.551773,74.323334
-0.588898,9.101257,2.588882,74.152893
-0.63678,9.10965,2.623596,73.970596
-0.666702,9.141968,2.584091,74.256126
-0.739731,9.1707,2.5793,74.339485
-0.81514,9.220978,2.646347,74.045975
-0.904922,9.218582,2.618805,74.213341
-1.023438,9.236542,2.517059,74.844864
-1.134766,9.304764,2.49791,75.078537
-1.236526,9.311951,2.40094,75.662674
-1.419678,9.307159,2.276443,76.407127
-1.626785,9.273651,2.221375,76.72477
-1.705795,9.262878,2.190247,76.908875
-1.777618,9.102463,2.14595,76.971947
-1.794373,9.03064,2.133987,76.950729
-1.867401,8.987534,2.199829,76.52343
-1.983521,8.932465,2.211792,76.410866
-2.087662,8.89296,2.230942,76.275505
-2.201385,8.797195,2.264465,75.979492
-2.358215,8.660736,2.186661,76.30883
-2.453979,8.525452,2.147156,76.394577
-2.479111,8.391388,2.165115,76.101692
-2.583267,8.160339,2.080109,76.340843
-2.65509,7.937683,1.878998,77.347275
-2.765228,7.704239,1.722183,78.11853
-2.815506,7.422928,1.559372,78.887405
-2.538971,6.87825,1.501907,78.423355
-2.797546,6.728607,1.310379,79.805786
-3.162659,6.64122,0.985962,82.365677
-3.493057,6.423355,0.911743,82.892105
-3.745651,6.231812,0.947662,82.574097
-3.903671,6.116898,1.014694,82.03968
-3.95874,5.976822,1.111664,81.185562
-4.040131,5.876266,1.211014,80.361954
-3.998245,5.818817,1.245743,79.993217
-3.89888,5.744598,1.325943,79.187706
-3.754028,5.834381,1.491135,77.869965
-3.532562,5.926544,1.700638,76.15332
-3.282379,6.077393,1.820343,75.23571
-2.944794,6.388626,2.054977,73.715752
-2.590454,6.763321,2.236938,72.835899
-2.249268,7.161957,2.362625,72.529694
-1.965561,7.61087,2.427277,72.83979
-1.679459,8.113647,2.432068,73.641556
-1.408905,8.590103,2.436844,74.360939
-1.22934,9.034225,2.435654,75.043213
-1.086884,9.358643,2.40094,75.703323
-1.03183,9.52623,2.329117,76.337883
-1.080902,9.58609,2.353058,76.292084
-1.115616,9.60524,2.360229,76.28331
-1.272446,9.503494,2.392563,75.989136
-1.457993,9.305969,2.446426,75.440834
-1.601639,9.039017,2.429672,75.175148
-1.726135,8.755295,2.517059,74.248344
-1.836273,8.430893,2.654724,72.898567
-1.866196,8.10527,2.682251,72.126053
-1.935638,7.833527,2.678665,71.635658
-1.994293,7.539047,2.610428,71.492516
-2.056534,7.299622,2.598465,71.086784
-2.075699,7.185898,2.62001,70.695473
-2.024216,7.111679,2.581696,70.753159
-1.84465,7.15358,2.585297,70.712433
-1.711777,7.272095,2.592468,70.862648
-1.596848,7.325958,2.588882,70.951347
-1.544174,7.389404,2.573318,71.176735
-1.478348,7.477997,2.586487,71.257278
-1.393341,7.577347,2.582901,71.46624
-1.277222,7.664734,2.59726,71.517822
-1.225754,7.76889,2.603241,71.685928
-1.199417,7.789246,2.56015,72.00367
-1.134766,7.774872,2.556564,71.976318
-1.140762,7.72699,2.554169,71.891884
-1.17189,7.676712,2.584091,71.59465
-1.181458,7.606079,2.641556,71.058807
-1.159912,7.55101,2.724152,70.37458
-1.134766,7.477997,2.743301,70.064415
-1.143158,7.359482,2.809143,69.334488
-1.162308,7.219421,2.843872,68.748367
-1.179062,7.096115,2.908508,67.985039
-1.186249,7.027878,2.89534,67.891388
-1.187439,6.965637,2.922867,67.527817
-1.193436,6.863876,2.971954,66.897644
-1.225754,6.754944,3.011459,66.315239
-1.280823,6.665161,2.970764,66.36068
-1.250885,6.58136,3.0354,65.624702
-1.283218,6.473633,3.090469,64.90715
-1.299973,6.338348,3.089264,64.477669
-1.226944,6.270126,3.128769,63.908615
-1.182663,6.204285,3.171875,63.334339
-1.167099,6.137238,3.13237,63.370728
-1.146744,6.078583,3.106033,63.337734
-1.083298,6.000778,3.128769,62.837639
-1.043793,5.937332,3.101242,62.776897
-1.036606,5.875076,3.127579,62.334267
-0.97316,5.834381,3.162292,61.869972
-0.974365,5.79248,3.204193,61.387508
-0.95401,5.735016,3.205383,61.130371
-0.95401,5.723038,3.243698,60.791985
-0.939651,5.729034,3.253281,60.734985
-0.931259,5.679947,3.316727,60.047626
-0.913315,5.609314,3.37059,59.328598
-0.847473,5.489609,3.456787,58.104988
-0.818741,5.439331,3.456787,57.853203
-0.830704,5.41539,3.474731,57.616241
-0.786423,5.341171,3.422058,57.631008
-0.804367,5.260956,3.438828,57.131798
-0.871414,5.217865,3.426849,57.065575
-0.908524,5.235825,3.392136,57.448616
-0.895355,5.215469,3.364609,57.550991
-0.955215,5.244202,3.191025,59.093712
-0.943237,5.307648,3.156311,59.651085
-0.962387,5.399826,3.119202,60.373665
-0.97197,5.457291,3.089264,60.868645
-0.811554,5.581787,3.15033,60.815681
-0.608047,5.790085,3.188629,61.290775
-0.388977,5.963654,3.228134,61.624138
-0.22139,6.120483,3.271225,61.89233
-0.013092,6.426941,3.383759,62.233425
0.228729,6.692688,3.643524,61.450008
0.451385,6.953659,3.806335,61.35503
0.736298,7.299622,3.930832,61.818512
1.005646,7.761703,4.066101,62.547012
1.136124,8.20224,4.165466,63.295677
1.193588,8.620026,4.203766,64.216415
1.213943,9.033035,4.124756,65.650314
1.16246,9.371811,4.0242,66.919762
1.085846,9.673477,3.8638,68.350426
