X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
2.833538,8.816648,-0.48722,93.01162
3.733757,9.07163,-0.888249,95.173767
4.481946,8.969876,-1.242591,97.064133
4.88896,8.445546,-1.62686,99.464813
5.420473,7.845799,-2.176329,102.855804
6.484695,7.384915,-2.177526,102.49292
7.704541,6.924031,-2.115277,101.541321
8.995016,6.54455,-2.767697,103.97184
10.417171,6.574478,-2.472013,101.34726
11.265916,6.70975,-3.116054,103.367661
12.002133,7.145495,-3.495534,104.049736
12.028469,7.398083,-3.73256,104.805725
11.449073,7.419631,-4.066552,106.597641
10.904391,7.483078,-4.106056,107.248283
9.986216,7.322666,-4.766856,111.053833
9.355343,7.162254,-4.874595,112.476112
8.6299,6.82946,-4.976348,114.331406
7.973889,6.548141,-5.038598,116.027687
7.674613,6.528988,-4.990714,116.349358
7.354988,6.482301,-5.12,117.575462
7.455544,6.317101,-4.947618,116.853477
7.740454,6.032191,-4.559757,114.921844
8.141483,5.753267,-4.119224,112.450287
8.379706,5.523423,-4.24492,112.926216
8.951921,5.617994,-3.700239,109.295708
9.224859,5.62398,-3.730166,109.047577
9.746795,5.704185,-3.404555,106.776367
9.973047,5.609614,-3.379416,106.454002
10.09994,5.57011,-3.075352,104.929558
9.639056,5.477933,-3.052607,105.394089
9.216479,5.566519,-2.498349,103.063522
9.216479,5.566519,-2.498349,103.063522
8.497022,5.681441,-2.239776,102.359589
7.826645,5.872977,-1.881842,100.886047
7.188591,6.064513,-1.896208,101.398979
6.676231,6.175843,-1.764527,100.979973
6.064513,6.228516,-1.710657,101.132416
5.62398,6.458359,-1.211466,98.051796
4.744111,6.557718,-1.291672,99.067207
4.168305,6.773197,-0.752976,95.408508
3.687071,6.951565,0.099359,89.276566
2.953248,7.07726,0.582988,85.652649
2.551022,7.443573,1.655591,78.117981
2.000355,7.778761,2.304419,73.991272
1.077391,7.850587,2.486378,72.579636
0.232238,7.788338,2.822764,70.085884
-0.893037,7.540538,2.53546,71.535309
-1.929727,7.497443,2.511518,72.026421
-2.993949,7.608773,2.346318,73.988937
-3.384204,7.808689,2.357092,74.519234
-3.586514,7.94875,1.886631,77.792412
-3.35308,8.200141,1.713051,79.056114
-2.851494,8.452729,1.622072,79.69442
-2.552219,8.549694,1.19351,82.381119
-2.364274,8.482656,0.677559,85.600159
-1.902193,8.453926,0.616507,85.93045
-1.255759,8.337808,0.517148,86.490295
-0.35913,8.160637,0.550666,86.143349
0.624887,7.941567,0.526724,86.217072
1.704672,7.730877,0.588974,85.745178
2.637213,7.466318,0.599748,85.668625
3.579332,7.208941,0.493206,86.493401
4.406528,6.896498,0.402226,87.186325
5.130774,6.56131,-0.122104,90.839882
5.807136,6.751649,1.036689,83.360069
6.245275,10.229227,5.627571,64.847565
6.75524,17.272968,6.194997,71.529785
4.841076,20.044256,4.24492,78.367683
0.181959,16.89229,3.713407,77.602654
-4.381389,11.835736,1.968034,81.136826
-6.867768,7.642292,1.217452,83.242561
-6.859388,5.710171,0.940921,83.981865
-4.317943,6.149507,0.220267,88.320915
-0.531513,7.447165,-1.376666,100.44735
3.939659,8.91481,-2.378639,103.714943
7.751228,10.188525,-2.553416,101.279999
9.522937,10.904391,-1.631648,96.430328
9.157822,10.685322,0.186748,89.239716
7.82066,9.868899,0.737414,86.64846
5.906496,8.889671,-0.150835,90.809669
4.114436,8.222886,-0.942118,95.850227
2.761712,8.10557,-0.729034,94.866219
2.761712,8.10557,-0.729034,94.866219
1.912967,8.617929,-0.459687,92.980888
1.46166,9.479841,-0.687136,94.097519
1.756147,10.263943,-0.690727,93.795013
2.365471,10.353725,-0.958878,95.158989
3.174711,9.994595,-1.034295,95.632828
3.737349,9.350554,-1.061828,96.019424
4.261679,8.846576,-0.822408,94.787468
4.698621,8.716091,-0.68115,93.935173
4.871003,8.941146,-0.790087,94.437103
4.667496,9.305065,-0.616507,93.389221
4.090494,9.562442,-0.1652,90.909988
3.280056,9.563639,-0.227449,91.288727
2.649184,9.539697,-0.125696,90.727364
2.029086,9.417592,-0.497994,92.959152
1.915361,9.43914,-0.489614,92.910103
1.905785,9.473856,-0.360327,92.135391
2.07697,9.536105,-0.213084,91.250748
2.275689,9.597157,-0.025139,90.146034
4.287707089,8.073070267,-0.827125505,
