Ax_RS,Ay_RS,Az_RS,Gx_RS,Gy_RS,Gz_RS,Ax_RA,Ay_RA,Az_RA,Gx_RA,Gy_RA,Gz_RA,Ax_RT,Ay_RT,Az_RT,Gx_RT,Gy_RT,Gz_RT,Ax_LT,Ay_LT,Az_LT,Gx_LT,Gy_LT,Gz_LT,Ax_LA,Ay_LA,Az_LA,Gx_LA,Gy_LA,Gz_LA,Ax_LS,Ay_LS,Az_LS,Gx_LS,Gy_LS,Gz_LS
-0.00,0.01,1.00,0.64,0.01,-0.45,-0.00,0.00,1.01,0.22,-0.10,0.19,0.00,-0.01,0.99,1.20,0.02,-0.66,-0.00,0.00,1.00,-0.59,-0.09,-0.71,0.00,0.01,1.00,-0.28,0.21,-0.55,-0.00,0.01,1.01,-0.05,-0.08,0.12
-0.00,0.01,1.01,0.53,0.05,-0.34,0.00,0.00,1.00,0.25,-0.05,0.04,0.00,-0.01,1.00,0.71,0.02,-0.50,-0.01,-0.00,1.01,-0.55,-0.05,-0.64,0.01,0.01,1.00,-0.15,0.32,-0.38,0.00,0.01,1.00,0.18,0.10,0.05
0.00,0.00,1.00,0.49,0.11,-0.36,0.00,0.00,1.00,0.26,-0.01,0.28,-0.00,-0.01,0.99,0.27,-0.06,-0.60,-0.00,0.00,1.00,-0.68,0.01,-0.63,0.00,0.01,1.01,-0.11,0.22,-0.66,-0.00,0.00,1.00,0.21,0.02,0.10
-0.00,-0.00,1.01,0.47,0.02,-0.53,-0.01,0.01,1.00,0.27,-0.08,0.30,-0.00,-0.00,1.00,-0.07,-0.42,-0.69,-0.00,-0.00,1.00,-0.40,0.01,-0.60,-0.00,0.01,1.00,-0.19,0.21,-0.55,0.00,0.00,1.00,0.54,0.05,0.09
0.00,0.00,1.00,0.26,0.18,-0.56,0.00,0.01,0.99,0.15,-0.11,-0.06,-0.00,-0.01,1.00,-0.20,-0.29,-0.59,-0.01,-0.01,1.00,-0.38,-0.05,-0.55,-0.00,0.01,1.01,-0.24,0.09,-0.51,0.00,-0.00,1.00,0.30,-0.05,0.27
0.01,-0.00,1.00,0.02,0.12,-0.69,0.00,-0.00,0.99,0.24,0.31,-0.19,0.00,-0.00,1.00,-0.26,-0.05,-0.43,-0.01,-0.01,1.01,-0.31,-0.28,-0.60,0.00,0.01,1.00,-0.19,0.31,-0.57,0.00,0.00,1.01,0.21,0.00,0.57
0.01,0.00,0.99,-0.18,0.03,-0.45,-0.00,0.00,0.99,0.35,0.02,0.12,0.01,-0.00,1.00,-0.40,-0.05,-0.27,-0.01,-0.01,1.00,-0.20,-0.24,-0.45,0.00,0.01,1.00,-0.02,0.28,-0.63,0.00,0.00,1.01,0.44,0.05,0.35
0.00,-0.00,0.99,-0.07,0.24,-0.40,0.01,0.00,1.00,-0.09,-0.11,-0.14,-0.00,-0.01,1.00,-0.53,0.24,-0.34,0.00,-0.00,1.00,-0.15,-0.31,-0.58,0.01,0.01,1.00,-0.02,0.20,-0.47,0.00,-0.00,1.00,0.66,-0.01,0.21
-0.00,0.00,1.00,-0.18,0.02,-0.51,0.00,0.00,1.00,-0.23,-0.17,-0.19,0.01,-0.01,1.00,-0.53,0.61,-0.34,0.00,-0.01,1.01,-0.02,-0.21,-0.60,0.00,0.01,1.01,-0.13,0.16,-0.44,0.01,-0.00,1.00,0.56,-0.09,0.32
-0.00,0.00,0.99,-0.21,-0.13,-0.55,-0.01,0.00,1.00,-0.07,0.12,-0.16,-0.01,-0.00,1.00,-0.37,0.48,-0.21,-0.00,-0.01,1.00,0.04,-0.16,-0.69,0.00,0.01,1.00,-0.02,0.19,-0.34,0.00,0.00,1.01,0.67,-0.19,0.37
