Keuwl Accelerometer Data File
2024-04-29 16:03:30
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,0.000000,9.808000,2.950000,10.242039,73.260033,90.000000"
"0.0050356,0.001000,9.809000,2.951000,10.243284,73.256287,89.994156"
"0.0100730,-0.001000,9.805000,2.947000,10.238302,73.271271,90.005844"
"0.0151104,0.000000,9.806000,2.948000,10.239548,73.267525,90.000000"
"0.0201433,0.000000,9.807000,2.949000,10.240793,73.263779,90.000000"
"0.0251762,0.000000,9.808000,2.950000,10.242039,73.260033,90.000000"
"0.0302127,0.001000,9.809000,2.951000,10.243284,73.256287,89.994156"
"0.0352492,-0.001000,9.805000,2.947000,10.238302,73.271271,90.005844"
"0.0402846,0.000000,9.806000,2.948000,10.239548,73.267525,90.000000"
"0.0453200,0.000000,9.807000,2.949000,10.240793,73.263779,90.000000"
"0.0503538,0.000000,9.808000,2.950000,10.242039,73.260033,90.000000"
"0.0553875,0.001000,9.809000,2.951000,10.243284,73.256287,89.994156"
"0.0604222,-0.001000,9.805000,2.947000,10.238302,73.271271,90.005844"
"0.0654569,0.000000,9.806000,2.948000,10.239548,73.267525,90.000000"
"0.0704893,0.000000,9.807000,2.949000,10.240793,73.263779,90.000000"
"0.0755216,0.000000,9.808000,2.950000,10.242039,73.260033,90.000000"
"0.0805567,0.001000,9.809000,2.951000,10.243284,73.256287,89.994156"
"0.0855918,-0.001000,9.805000,2.947000,10.238302,73.271271,90.005844"
"0.0906269,0.000000,9.806000,2.948000,10.239548,73.267525,90.000000"
"0.0956620,0.000000,9.807000,2.949000,10.240793,73.263779,90.000000"
"0.1006953,0.000000,9.808000,2.950000,10.242039,73.260033,90.000000"
"0.1057285,0.001000,9.809000,2.951000,10.243284,73.256287,89.994156"
"0.1107622,-0.001000,9.805000,2.947000,10.238302,73.271271,90.005844"
"0.1157958,0.000000,9.806000,2.948000,10.239548,73.267525,90.000000"
"0.1208327,0.000000,9.807000,2.949000,10.240793,73.263779,90.000000"
"0.1258695,0.000000,9.808000,2.950000,10.242039,73.260033,90.000000"
"0.1309042,0.001000,9.809000,2.951000,10.243284,73.256287,89.994156"
"0.1359390,-0.001000,9.805000,2.947000,10.238302,73.271271,90.005844"
"0.1409765,0.000000,9.806000,2.948000,10.239548,73.267525,90.000000"
"0.1460139,0.000000,9.807000,2.949000,10.240793,73.263779,90.000000"
"0.1510472,0.000000,9.808000,2.950000,10.242039,73.260033,90.000000"
"0.1560805,0.001000,9.809000,2.951000,10.243284,73.256287,89.994156"
"0.1611148,-0.001000,9.805000,2.947000,10.238302,73.271271,90.005844"
"0.1661492,0.000000,9.806000,2.948000,10.239548,73.267525,90.000000"
"0.1711837,0.000000,9.807000,2.949000,10.240793,73.263779,90.000000"
"0.1762182,0.000000,9.808000,2.950000,10.242039,73.260033,90.000000"
"0.1812542,0.001000,9.809000,2.951000,10.243284,73.256287,89.994156"
"0.1862902,-0.001000,9.805000,2.947000,10.238302,73.271271,90.005844"
"0.1913255,0.000000,9.806000,2.948000,10.239548,73.267525,90.000000"
"0.1963608,0.000000,9.807000,2.968000,10.246281,73.162033,90.000000"
"0.2013951,0.000000,9.808000,2.989000,10.253340,73.051331,90.000000"
"0.2064295,0.001000,9.809000,3.009000,10.260144,72.946129,89.994156"
"0.2114628,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.2164963,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.2215301,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.2265640,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.2316015,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.2366389,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.2416745,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.2467100,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.2517416,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.2567732,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.2618057,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.2668383,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.2718752,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.2769122,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.2819446,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.2869771,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.2920073,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.2970375,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.3020699,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.3071024,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.3121370,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.3171716,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.3222063,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.3272410,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.3322758,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.3373107,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.3423409,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.3473711,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.3524042,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.3574373,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.3624710,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.3675047,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.3725391,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.3775735,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.3826072,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.3876410,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.3926744,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.3977079,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.4027420,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.4077761,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.4128107,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.4178452,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.4228787,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.4279122,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.4329459,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.4379795,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.4430135,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.4480475,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.4530835,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.4581196,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.4631535,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.4681875,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.4732220,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.4782565,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.4832909,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.4883253,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.4933601,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.4983948,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.5034287,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.5084626,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.5134971,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.5185316,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.5235649,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.5285983,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.5336323,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.5386664,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.5437000,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.5487337,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.5537692,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.5588047,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.5638358,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.5688668,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.5739019,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.5789369,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.5839720,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.5890071,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.5940421,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.5990770,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.6041102,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.6091435,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.6141756,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.6192077,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.6242403,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.6292729,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
"0.6343068,0.001000,9.809000,3.028000,10.265733,72.844749,89.994156"
"0.6393408,-0.001000,9.805000,3.024000,10.260732,72.859505,90.005844"
"0.6443743,0.000000,9.806000,3.025000,10.261981,72.855812,90.000000"
"0.6494078,0.000000,9.807000,3.026000,10.263232,72.852119,90.000000"
"0.6544418,0.000000,9.808000,3.027000,10.264482,72.848434,90.000000"
