Keuwl Accelerometer Data File
2024-04-22 15:53:16
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-3.234000,9.294001,1.801950,10.004210,79.623299,109.186180"
"0.0046498,-3.133950,9.306001,1.795050,9.982259,79.640488,108.611809"
"0.0092990,-3.064050,9.343950,1.759050,9.989598,79.858009,108.155251"
"0.0139489,-3.022950,9.402000,1.699050,10.021109,80.238510,107.823738"
"0.0185997,-3.004050,9.438001,1.702050,10.049734,80.249229,107.655914"
"0.0232495,-3.022950,9.475950,1.702050,10.091027,80.289520,107.693352"
"0.0278990,-3.073950,9.469050,1.666050,10.093949,80.499611,107.985054"
"0.0325486,-3.094950,9.462001,1.651950,10.091437,80.578384,108.112534"
"0.0371996,-3.094950,9.445050,1.680000,10.080183,80.406105,108.142914"
"0.0418494,-3.073950,9.427951,1.702050,10.061432,80.260681,108.058372"
"0.0464986,-3.061950,9.403951,1.702050,10.035278,80.235046,108.035378"
"0.0511485,-3.070950,9.390000,1.728000,10.029398,80.078804,108.110062"
"0.0557990,-3.082950,9.379951,1.716000,10.021612,80.140663,108.194374"
"0.0604491,-3.126000,9.390000,1.738050,10.048124,80.039307,108.412979"
"0.0650981,-3.174000,9.430950,1.755000,10.104312,79.997673,108.600739"
"0.0697482,-3.222000,9.439950,1.752000,10.127361,80.037903,108.845566"
"0.0743987,-3.313050,9.246000,1.771050,9.980052,79.778214,109.713745"
"0.0790488,-3.328050,9.174001,1.780950,9.920181,79.657730,109.939240"
"0.0836978,-3.250950,9.214951,1.780950,9.932562,79.670769,109.432373"
"0.0883479,-3.157950,9.265051,1.768950,9.947010,79.756180,108.821442"
"0.0929987,-3.165000,9.331950,1.719000,10.002874,80.104568,108.734749"
"0.0976485,-3.178950,9.388050,1.716000,10.059118,80.177788,108.706955"
"0.1022977,-3.214950,9.378000,1.743000,10.065825,80.028389,108.922653"
"0.1069476,-3.268050,9.370951,1.776000,10.082115,79.854210,109.225845"
"0.1115983,-3.301050,9.364051,1.798050,10.090361,79.735367,109.418762"
"0.1162482,-3.427950,9.505051,1.824000,10.267610,79.767319,109.831589"
"0.1208974,-3.414000,9.478050,1.759050,10.226587,80.095436,109.809052"
"0.1255473,-3.363000,9.430950,1.747050,10.163896,80.102402,109.625824"
"0.1301981,-3.298950,9.391951,1.798050,10.115572,79.761230,109.353973"
"0.1348479,-3.249000,9.346951,1.795050,10.057022,79.718338,109.167450"
"0.1394971,-3.160050,9.319950,1.789950,10.002565,79.691444,108.729897"
"0.1441470,-3.081000,9.307950,1.750050,9.959577,79.879715,108.314926"
"0.1487978,-3.016050,9.340051,1.735050,9.967121,79.975029,107.896088"
"0.1534476,-3.009000,9.390000,1.747050,10.013908,79.952629,107.767914"
"0.1580969,-3.025950,9.394951,1.711050,10.017443,80.165253,107.852844"
"0.1627467,-3.049950,9.415951,1.687050,10.040341,80.326866,107.947823"
"0.1673975,-3.081000,9.414001,1.699050,10.050012,80.266861,108.122162"
"0.1720473,-3.082950,9.421050,1.707000,10.058559,80.229263,108.120201"
"0.1766965,-3.085950,9.447001,1.726050,10.087029,80.147301,108.090103"
"0.1813465,-3.124050,9.411000,1.765950,10.072001,79.901985,108.363960"
"0.1859971,-3.186000,9.388050,1.816950,10.079057,79.614525,108.745544"
"0.1906471,-3.256050,9.373051,1.824000,10.088752,79.583908,109.156418"
"0.1952962,-3.286950,9.367950,1.798050,10.089376,79.734360,109.334534"
"0.1999461,-3.310950,9.364051,1.798050,10.093603,79.738701,109.472626"
"0.2045968,-3.261000,9.342000,1.783050,10.054172,79.784889,109.242500"
"0.2092467,-3.250950,9.358951,1.777950,10.065771,79.826279,109.155319"
"0.2138959,-3.258000,9.376050,1.788000,10.085724,79.788612,109.161377"
