Keuwl Accelerometer Data File
2024-04-29 16:03:07
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-3.188436,9.369696,-0.682553,9.920847,93.945053,108.793053"
"0.0024690,-3.219543,9.374481,-0.830908,9.946696,94.791847,108.954361"
"0.0049372,-3.226721,9.460623,-0.797408,10.027511,94.561096,108.832893"
"0.0074046,-3.272185,9.503694,-0.811765,10.083965,94.617340,108.998924"
"0.0098729,-3.310470,9.541979,-0.811765,10.132500,94.595177,109.133575"
"0.0123419,-3.339184,9.539586,-0.816551,10.140050,94.618874,109.291809"
"0.0148101,-3.346362,9.513265,-0.792623,10.115760,94.494026,109.379707"
"0.0172776,-3.348755,9.484550,-0.754337,10.086619,94.288925,109.446838"
"0.0197458,-3.312863,9.429516,-0.739980,10.021896,94.234367,109.357857"
"0.0222149,-3.286542,9.357731,-0.720838,9.944249,94.156898,109.351860"
"0.0246831,-3.224329,9.293125,-0.682553,9.860241,93.969345,109.134651"
"0.0271505,-3.157330,9.240483,-0.677767,9.788494,93.970406,108.864502"
"0.0296188,-3.059224,9.226126,-0.646660,9.741582,93.806175,108.344627"
"0.0320878,-2.973082,9.206984,-0.646660,9.696697,93.823822,107.896095"
"0.0345560,-2.874976,9.223733,-0.658624,9.683827,93.899857,107.311913"
"0.0370234,-2.788835,9.238090,-0.684945,9.674144,94.060036,106.798241"
"0.0394917,-2.740978,9.211769,-0.689731,9.635631,94.104820,106.570465"
"0.0419608,-2.724229,9.211769,-0.689731,9.630879,94.106850,106.474716"
"0.0444289,-2.683551,9.197412,-0.680160,9.605022,94.060684,106.265785"
"0.0468964,-2.642873,9.233304,-0.687338,9.628661,94.093521,105.972847"
"0.0493646,-2.659622,9.228518,-0.694517,9.629200,94.136116,106.076775"
"0.0518337,-2.666801,9.269197,-0.725623,9.672454,94.302345,106.050827"
"0.0543019,-2.733800,9.302696,-0.730409,9.723544,94.307976,106.376572"
"0.0567693,-2.757728,9.314660,-0.754337,9.743561,94.440231,106.492081"
"0.0592376,-2.796013,9.319446,-0.761516,9.759593,94.475189,106.700256"
"0.0617066,-2.860620,9.319446,-0.723231,9.775392,94.242897,107.063957"
"0.0641748,-2.894119,9.326625,-0.732802,9.792796,94.291496,107.239494"
"0.0666422,-2.932404,9.324232,-0.742373,9.802623,94.343292,107.457985"
"0.0691105,-2.980261,9.324232,-0.701695,9.814053,94.100090,107.725197"
"0.0715796,-3.018546,9.317053,-0.694517,9.818423,94.056267,107.951324"
"0.0740478,-3.020939,9.300303,-0.668196,9.801438,93.909073,107.994911"
"0.0765152,-3.047260,9.281160,-0.637089,9.789362,93.731430,108.176430"
"0.0789834,-3.073581,9.252447,-0.603590,9.768265,93.542610,108.376030"
"0.0814525,-3.071188,9.262018,-0.574876,9.774848,93.371613,108.344978"
"0.0839207,-3.080759,9.228518,-0.574876,9.746133,93.381554,108.460571"
"0.0863881,-3.087938,9.218947,-0.550947,9.737962,93.243370,108.518562"
"0.0888564,-3.087938,9.199805,-0.512662,9.717747,93.024055,108.554459"
"0.0913254,-3.071188,9.226126,-0.505484,9.736997,92.975777,108.411545"
