Keuwl Accelerometer Data File
2024-04-29 16:30:57
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-2.631000,9.463950,0.337050,9.828637,88.034790,105.536057"
"0.0046625,-2.626050,9.388050,0.397050,9.756499,87.667648,105.627510"
"0.0093256,-2.662050,9.364051,0.426000,9.744405,87.494377,105.869606"
"0.0139872,-2.736000,9.391951,0.435000,9.792020,87.453857,106.241547"
"0.0186496,-2.788950,9.433050,0.469050,9.847878,87.269997,106.470695"
"0.0233123,-2.803050,9.529051,0.478050,9.944266,87.244560,106.391685"
"0.0279729,-2.779050,9.610050,0.462000,10.014471,87.355820,106.128899"
"0.0326348,-2.782050,9.679951,0.457050,10.082170,87.401749,106.034828"
"0.0372970,-2.770050,9.688951,0.409050,10.085448,87.675537,105.955116"
"0.0419586,-2.734050,9.700951,0.421050,10.087654,87.607826,105.739601"
"0.0466222,-2.680950,9.747001,0.457050,10.119308,87.411293,105.379120"
"0.0512822,-2.643000,9.783000,0.505050,10.146311,87.146828,105.118256"
"0.0559438,-2.596950,9.835051,0.507000,10.184764,87.146622,104.791382"
"0.0606069,-2.524950,9.868951,0.507000,10.199442,87.150734,104.351158"
"0.0652689,-2.458050,9.865951,0.526050,10.181145,87.038261,103.990112"
"0.0699312,-2.395950,9.925950,0.520950,10.224307,87.079391,103.570602"
"0.0745929,-2.314950,9.943050,0.507000,10.221560,87.156906,103.106178"
"0.0792545,-2.272050,9.880951,0.486000,10.150448,87.255646,102.949631"
"0.0839163,-2.218950,9.732000,0.505050,9.994531,87.103462,102.844185"
"0.0885788,-2.193000,9.556951,0.559950,9.821308,86.731575,102.923729"
"0.0932410,-2.188050,9.478050,0.598050,9.745700,86.481804,102.999252"
"0.0979047,-2.242950,9.510000,0.559950,9.786954,86.720093,103.270790"
"0.1025668,-2.355000,9.547951,0.556950,9.849852,86.758537,103.855438"
"0.1072287,-2.545050,9.603001,0.508950,9.947559,87.067276,104.843651"
"0.1118905,-2.784000,9.672001,0.411000,10.073092,87.661583,106.057999"
"0.1165505,-3.040050,9.667951,0.304050,10.139212,88.281586,107.455551"
"0.1212139,-3.475950,9.354000,0.331950,9.984475,88.094757,110.385086"
"0.1258752,-3.577050,9.378000,0.367950,10.043782,87.900520,110.878349"
"0.1305370,-3.567000,9.421050,0.330000,10.079116,88.123749,110.737679"
"0.1351991,-3.562050,9.438001,0.313050,10.092673,88.222542,110.677299"
"0.1398610,-3.601050,9.517051,0.307950,10.180209,88.266548,110.725578"
"0.1445237,-3.624000,9.607950,0.270000,10.272243,88.493843,110.665855"
"0.1491865,-3.574050,9.655951,0.237000,10.298902,88.681381,110.311508"
"0.1538499,-3.487950,9.639001,0.196050,10.252540,88.904320,109.893066"
"0.1585126,-3.397050,9.601050,0.198000,10.186232,88.886215,109.484833"
"0.1631739,-3.330000,9.567000,0.220050,10.132365,88.755577,109.191551"
"0.1678355,-3.238950,9.517051,0.232050,10.055790,88.677711,108.795044"
"0.1724988,-3.162000,9.474000,0.265050,9.991255,88.479866,108.456718"
"0.1771616,-3.046950,9.481050,0.256050,9.961917,88.527168,107.815987"
"0.1818238,-2.956050,9.483001,0.295950,9.937461,88.293411,107.313354"
"0.1864861,-2.889000,9.523951,0.294000,9.956826,88.307953,106.874680"
"0.1911474,-2.853000,9.567000,0.289050,9.987525,88.341568,106.605247"
"0.1958095,-2.818050,9.595950,0.271950,10.004880,88.442406,106.365974"
