Keuwl Accelerometer Data File
2024-04-30 16:55:22
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-1.278000,9.739051,-2.044050,10.032972,101.755356,97.475883"
"0.0046676,-1.156050,9.658051,-2.020050,9.934535,101.732117,96.825722"
"0.0093334,-1.039050,9.627001,-1.993950,9.886082,101.635956,96.160133"
"0.0140005,-0.913950,9.634050,-1.989000,9.879593,101.614395,95.419243"
"0.0186670,-0.829950,9.703951,-2.005950,9.943808,101.638062,94.888443"
"0.0233338,-0.742050,9.742050,-1.993950,9.971661,101.534721,94.355797"
"0.0280015,-0.660000,9.756001,-2.011050,9.982959,101.621666,93.870201"
"0.0326673,-0.604950,9.783000,-2.014950,10.006652,101.616562,93.538483"
"0.0373344,-0.598050,9.783000,-2.029950,10.009269,101.701157,93.498230"
"0.0420012,-0.619950,9.792001,-2.026950,10.018789,101.672363,93.622665"
"0.0466676,-0.660000,9.775050,-2.025000,10.004391,101.677994,93.862679"
"0.0513337,-0.700950,9.763050,-2.014950,9.993423,101.632156,94.106575"
"0.0560003,-0.724950,9.748950,-2.049000,9.988292,101.837708,94.252792"
"0.0606655,-0.688950,9.759001,-2.065950,9.999045,101.924042,94.038177"
"0.0653317,-0.646050,9.754050,-2.068050,9.991782,101.945145,93.789398"
"0.0699969,-0.616950,9.759001,-2.073000,9.995802,101.969269,93.617340"
"0.0746630,-0.615000,9.784950,-2.053950,10.017095,101.832100,93.596405"
"0.0793304,-0.624000,9.802051,-2.013000,10.026052,101.582397,93.642540"
"0.0839959,-0.648000,9.820951,-2.014950,10.046442,101.569916,93.774986"
"0.0886624,-0.688950,9.840000,-2.029950,10.070797,101.628662,94.005043"
"0.0933280,-0.751050,9.871051,-2.041950,10.107982,101.654732,94.351028"
"0.0979935,-0.817950,9.889951,-2.085000,10.140385,101.865417,94.727898"
"0.1026590,-0.873000,9.883051,-2.098950,10.141126,101.945084,95.048012"
"0.1073237,-0.876000,9.874050,-2.097000,10.132209,101.944481,95.069862"
"0.1119898,-0.835050,9.876000,-2.065950,10.124270,101.774429,94.833061"
"0.1166556,-0.814050,9.865951,-2.068050,10.113184,101.799675,94.716850"
