"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-3.107678,8.918648,-0.726820,9.472497,94.400604,109.210754"
"0.0023442,-3.193820,8.794222,-0.669392,9.380134,94.092262,109.959633"
"0.0046884,-3.327818,8.813364,-0.698106,9.446539,94.238060,110.685921"
"0.0070326,-3.390032,8.942576,-0.678963,9.587647,94.060883,110.761162"
"0.0093770,-3.447459,9.057432,-0.645464,9.712811,93.810394,110.837929"
"0.0117209,-3.466602,9.205787,-0.626321,9.856780,93.643150,110.634750"
"0.0140656,-3.423531,9.272786,-0.573679,9.901224,93.321594,110.264244"
"0.0164101,-3.413960,9.301499,-0.540180,9.922943,93.120575,110.154816"
"0.0187544,-3.366103,9.354142,-0.487538,9.953307,92.807610,109.791351"
"0.0210989,-3.390032,9.248857,-0.487538,9.862625,92.833450,110.129662"
"0.0234432,-3.394817,9.191430,-0.511466,9.811665,92.988091,110.271500"
"0.0257880,-3.380460,9.129216,-0.568894,9.751602,93.344444,110.319107"
"0.0281322,-3.332604,9.100503,-0.621536,9.711421,93.669464,110.112724"
"0.0304764,-3.342175,9.062218,-0.640678,9.680103,93.794899,110.244133"
"0.0328210,-3.279962,9.062218,-0.669392,9.660747,93.973206,109.897118"
"0.0351656,-3.246462,9.033504,-0.698106,9.624503,94.159561,109.767433"
"0.0375104,-3.236891,9.033504,-0.698106,9.621279,94.160957,109.713654"
"0.0398545,-3.193820,9.038289,-0.678963,9.610003,94.051422,109.461655"
"0.0421989,-3.236891,9.023932,-0.635893,9.607975,93.794830,109.732948"
"0.0445432,-3.174677,9.028718,-0.635893,9.591699,93.801277,109.372696"
"0.0468876,-3.208177,9.071789,-0.640678,9.643661,93.809258,109.475800"
"0.0492320,-3.193820,9.124431,-0.592822,9.685410,93.509140,109.291550"
"0.0515766,-3.222534,9.215358,-0.525823,9.776709,93.083038,109.274307"
"0.0539213,-3.131607,9.210572,-0.544965,9.743644,93.206245,108.778099"
"0.0562658,-3.059822,9.062218,-0.631107,9.585645,93.775017,108.657051"
"0.0586104,-3.093322,8.971291,-0.626321,9.510256,93.776085,109.024307"
"0.0609545,-3.165106,8.947362,-0.640678,9.512289,93.861946,109.481102"
"0.0632986,-3.232105,9.000004,-0.635893,9.583889,93.804382,109.754364"
"0.0656430,-3.342175,9.071789,-0.626321,9.688125,93.706665,110.224510"
"0.0679876,-3.342175,9.191430,-0.607179,9.799040,93.552498,109.982208"
"0.0703323,-3.351746,9.239286,-0.578465,9.845469,93.368324,109.939308"
"0.0726764,-3.332604,9.287143,-0.549751,9.882281,93.189011,109.740044"
"0.0750203,-3.356532,9.325428,-0.554537,9.926601,93.202423,109.795494"
"0.0773646,-3.275176,9.354142,-0.568894,9.927255,93.285202,109.296738"
"0.0797086,-3.212963,9.315857,-0.568894,9.870763,93.304031,109.028893"
"0.0820527,-3.193820,9.282357,-0.568894,9.832918,93.316757,108.987022"
"0.0843967,-3.145964,9.229715,-0.559322,9.767168,93.282867,108.821762"
"0.0867405,-3.117250,9.224930,-0.607179,9.756292,93.568085,108.670921"
"0.0890843,-3.102893,9.234501,-0.592822,9.759887,93.482323,108.572906"
"0.0914289,-3.035894,9.215358,-0.578465,9.719779,93.411926,108.233871"
"0.0937732,-3.031108,9.181859,-0.635893,9.690125,93.762611,108.269051"
"0.0961173,-2.997609,9.215358,-0.616750,9.710245,93.641617,108.018883"
"0.0984613,-2.988037,9.210572,-0.621536,9.703057,93.672630,107.973778"
"0.1008055,-2.988037,9.224930,-0.640678,9.717930,93.780106,107.947601"
"0.1031500,-2.968895,9.253643,-0.607179,9.737192,93.575096,107.788071"
"0.1054944,-2.954538,9.282357,-0.583251,9.758670,93.426460,107.656067"
"0.1078387,-2.940181,9.263215,-0.540180,9.733633,93.181335,107.609642"
"0.1101831,-2.925824,9.282357,-0.530608,9.747007,93.120613,107.494987"
"0.1125273,-2.820540,9.263215,-0.511466,9.696608,93.023575,106.934875"
"0.1148718,-2.830111,9.287143,-0.497109,9.721505,92.931099,106.947777"
"0.1172161,-2.815754,9.277572,-0.511466,9.708934,93.019737,106.883102"
"0.1195600,-2.791826,9.291928,-0.549751,9.717841,93.243027,106.723267"
"0.1219050,-2.758326,9.282357,-0.540180,9.698573,93.192848,106.549736"
"0.1242492,-2.743969,9.282357,-0.544965,9.694767,93.222427,106.468277"
"0.1265935,-2.729612,9.258429,-0.568894,9.669173,93.372993,106.426811"
"0.1289378,-2.748755,9.301499,-0.573679,9.716103,93.384949,106.463326"
"0.1312820,-2.772683,9.330214,-0.597607,9.751810,93.513382,106.550499"
"0.1336261,-2.777469,9.368499,-0.607179,9.790392,93.555641,106.513451"
"0.1359703,-2.777469,9.373284,-0.592822,9.794092,93.470146,106.505486"
"0.1383147,-2.787040,9.387642,-0.568894,9.809132,93.324814,106.535309"
"0.1406593,-2.796612,9.378070,-0.602393,9.804698,93.522430,106.604980"
"0.1430033,-2.810968,9.397213,-0.583251,9.825952,93.402969,106.653389"
"0.1453477,-2.782254,9.397213,-0.535394,9.815049,93.126938,106.492561"
"0.1476918,-2.772683,9.387642,-0.535394,9.803175,93.130730,106.454750"
"0.1500361,-2.772683,9.411570,-0.554537,9.827152,93.234863,106.415169"
"0.1523804,-2.753541,9.373284,-0.549751,9.784819,93.220810,106.370934"
"0.1547245,-2.691327,9.363713,-0.525823,9.756989,93.089272,106.035759"
