Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.972000,10.056001,1.015050,10.153731,84.262665,84.479012
0.0046637,1.024050,9.996000,1.045950,10.102609,84.057365,84.150688
0.0093282,1.125000,9.933001,1.098000,10.056626,83.731850,83.538284
0.0139919,1.240050,9.871051,1.173000,10.017550,83.275551,82.839729
0.0186556,1.342950,9.820951,1.233000,9.988737,82.909378,82.213470
0.0233206,1.417050,9.802051,1.258950,9.983645,82.755646,81.773926
0.0279833,1.486050,9.807000,1.261050,9.998793,82.754547,81.383545
0.0326480,1.531950,9.841950,1.300050,10.044949,82.563736,81.152618
0.0373132,1.540950,9.862050,1.291950,10.064974,82.625107,81.119316
0.0419763,1.528950,9.871051,1.290000,10.071714,82.641258,81.195290
0.0466394,1.540950,9.868951,1.300050,10.072778,82.584396,81.125427
0.0513040,1.489050,9.852000,1.294950,10.047689,82.595100,81.405258
0.0559674,1.482000,9.808950,1.278000,10.002255,82.659180,81.408363
0.0606319,1.467000,9.778050,1.249050,9.966066,82.800171,81.467560
0.0652950,1.467000,9.763050,1.261050,9.952864,82.720932,81.454643
0.0699591,1.491000,9.739051,1.306950,9.938828,82.443756,81.295883
0.0746239,1.506000,9.736951,1.339950,9.943425,82.255409,81.207817
0.0792862,1.525050,9.744000,1.357050,9.955546,82.165565,81.104706
0.0839498,1.513050,9.700951,1.383000,9.915163,81.982048,81.135040
0.0886132,1.551000,9.720000,1.455000,9.949926,81.591354,80.933861
0.0932769,1.612950,9.744000,1.543950,9.996546,81.115196,80.600906
0.0979427,1.675950,9.775050,1.642050,10.052698,80.598938,80.271126
0.1026061,1.744950,9.795000,1.732950,10.099010,80.119370,79.898895
0.1072701,1.795050,9.784950,1.813950,10.112264,79.666283,79.604668
0.1119342,1.848000,9.780001,1.888950,10.130728,79.253883,79.299721
0.1165978,1.867050,9.730050,1.941000,10.095901,78.915512,79.137833
0.1212622,1.825950,9.667951,1.960050,10.032206,78.733322,79.304741
0.1259253,1.764000,9.640950,1.965000,9.996041,78.663086,79.631310
0.1305896,1.683000,9.619950,1.975050,9.963772,78.566925,80.076591
0.1352544,1.594050,9.637051,1.956000,9.961911,78.676529,80.607834
0.1399169,1.467000,9.694051,1.885950,9.984163,79.111748,81.394722
0.1445801,1.363950,9.795000,1.800000,10.051984,79.684456,82.072563
0.1492447,1.266000,9.919050,1.726050,10.147391,80.206490,82.726479
0.1539077,1.221000,10.063050,1.522050,10.250486,81.460823,83.081833
0.1585714,1.126950,10.117950,1.458000,10.284391,81.849823,83.644516
0.1632351,1.042950,10.111051,1.345050,10.253304,82.462090,84.110794
0.1678991,0.972000,10.101001,1.198950,10.218243,83.261719,84.503464
0.1725650,0.907050,10.102950,1.069950,10.199860,83.978683,84.869698
0.1772287,0.856950,10.177951,0.937950,10.256939,84.753235,85.187233
0.1818939,0.711000,10.369050,0.775050,10.422256,85.735268,86.077400
0.1865582,0.663000,10.032001,0.912000,10.095164,84.816818,86.218903
0.1912213,0.672000,9.802051,0.933000,9.869259,84.575386,86.078102
0.1958853,0.768000,9.700951,0.921000,9.774790,84.593460,85.473480
0.2005487,0.895050,9.682051,0.916950,9.766474,84.612709,84.718346
0.2052121,1.041000,9.718050,0.931050,9.817893,84.558350,83.885780
0.2098760,1.189050,9.799050,0.997950,9.921247,84.227020,83.081360
0.2145388,1.327950,9.888000,1.042950,10.031139,84.032104,82.350990
0.2192029,1.422000,9.969001,1.113000,10.131230,83.692848,81.881966
0.2238677,1.494000,9.969001,1.180050,10.149163,83.323082,81.476822
0.2285312,1.522050,9.925950,1.206000,10.114126,83.151802,81.282143
0.2331951,1.549050,9.877951,1.264050,10.078259,82.794792,81.087524
0.2378585,1.527000,9.814051,1.338000,10.021854,82.327629,81.156075
0.2425213,1.516950,9.795000,1.371000,10.006138,82.124794,81.196548
0.2471853,1.495950,9.751050,1.423950,9.967371,81.786560,81.278015
0.2518483,1.471950,9.754050,1.467000,9.972975,81.541237,81.418442
0.2565124,1.470000,9.772950,1.486050,9.993988,81.448730,81.445969
0.2611773,1.441050,9.796950,1.498050,10.015039,81.397408,81.632271
0.2658406,1.410000,9.823050,1.498050,10.036163,81.415649,81.831566
0.2705037,1.366950,9.823050,1.491000,10.029156,81.450340,82.077744
0.2751665,1.326000,9.811050,1.483950,10.010849,81.475388,82.302902
0.2798302,1.326000,9.807000,1.446000,10.001323,81.686989,82.299759
0.2844941,1.285050,9.828000,1.443000,10.016147,81.716721,82.550613
0.2891579,1.246950,9.844951,1.419000,10.024545,81.862305,82.781418
0.2938222,1.242000,9.844951,1.387950,10.019582,82.037567,82.809776
0.2984874,1.228050,9.862050,1.375950,10.033014,82.117485,82.901909
0.3031508,1.221000,9.871051,1.350000,10.037479,82.270531,82.948616
0.3078148,1.228050,9.862050,1.324050,10.026029,82.411278,82.901909
0.3124785,1.245000,9.838051,1.324050,10.004518,82.394867,82.787590
0.3171422,1.267950,9.838051,1.342950,10.009918,82.289841,82.656075
0.3218056,1.242000,9.838051,1.333050,10.005341,82.343498,82.804787
