"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,0.554832,9.694056,0.247398,9.713072,88.540482,86.724289"
"0.0049641,0.427633,9.561052,0.224375,9.573240,88.656998,87.439064"
"0.0099266,0.303230,9.500633,0.382450,9.513162,87.695961,88.171921"
"0.0148906,0.338119,9.519882,0.480784,9.538011,87.110657,87.965874"
"0.0198531,0.470394,9.600548,0.576591,9.629343,86.567162,87.194946"
"0.0248156,0.501624,9.635695,0.591492,9.666856,86.492012,87.019936"
"0.0297797,0.549622,9.559578,0.484328,9.587605,87.104408,86.709435"
"0.0347422,0.448654,9.597378,0.493110,9.620504,87.061951,87.323509"
"0.0397062,0.422883,9.606294,0.545782,9.631074,86.751373,87.479385"
"0.0446687,0.370642,9.669491,0.381703,9.684117,87.741081,87.804871"
"0.0496328,0.256084,9.752187,0.275295,9.759433,88.383583,88.495811"
"0.0545953,0.194122,9.773017,0.251611,9.778183,88.525505,88.862083"
"0.0595578,0.246430,9.707991,0.244486,9.714195,88.557831,88.545898"
"0.0645219,0.288702,9.718064,0.260633,9.725844,88.464409,88.298370"
"0.0694844,0.440734,9.708134,0.243854,9.721191,88.562599,87.400642"
"0.0744484,0.654220,9.717959,0.148527,9.741088,89.126350,86.148613"
"0.0794109,0.677703,9.759197,0.103506,9.783247,89.393806,86.027618"
"0.0843750,0.712601,9.754830,0.138433,9.781803,89.189117,85.821907"
"0.0893375,0.617551,9.694487,0.272795,9.717966,88.391426,86.355110"
"0.0943000,0.529818,9.622325,0.225926,9.639548,88.657013,86.848404"
"0.0992641,0.589366,9.739900,0.232544,9.760486,88.634796,86.537224"
"0.1042266,0.453950,9.661447,0.282640,9.676234,88.326164,87.309891"
"0.1091906,0.397533,9.709560,0.271397,9.721484,88.400253,87.655479"
"0.1141531,0.507149,9.767835,0.320488,9.786241,88.123299,87.027855"
"0.1191172,0.568709,9.729011,0.286663,9.749834,88.315155,86.654587"
"0.1240797,0.684541,9.767625,0.242791,9.794592,88.579590,85.991119"
"0.1290422,0.662677,9.744037,0.236461,9.769406,88.613068,86.109398"
"0.1340062,0.522434,9.702847,0.281731,9.720984,88.339241,86.917976"
"0.1389688,0.448511,9.668945,0.354955,9.685848,87.899826,87.344139"
"0.1439328,0.433619,9.633636,0.274797,9.647304,88.367744,87.422806"
"0.1488953,0.330457,9.452826,0.332727,9.464451,87.985329,87.997833"
"0.1538578,0.397734,9.593078,0.396135,9.609488,87.637405,87.625847"
"0.1588219,0.334930,9.819952,0.429807,9.835058,87.495293,88.046570"
"0.1637844,0.220065,9.775679,0.297465,9.782680,88.257523,88.710403"
"0.1687484,0.219931,9.759034,0.204666,9.763658,88.798874,88.708992"
"0.1737109,0.177544,9.570132,0.193787,9.573741,88.840172,88.937172"
"0.1786750,0.133941,9.561570,0.146994,9.563638,89.119324,89.197433"
"0.1836375,0.089160,9.617067,0.115314,9.618172,89.313049,89.468826"
"0.1886000,0.100518,9.746105,0.250366,9.749839,88.528542,89.409088"
"0.1935641,0.180935,9.909448,0.428160,9.920343,87.526360,88.953964"
"0.1985266,0.320392,9.878342,0.260508,9.886969,88.490158,88.142334"
"0.2034906,0.409792,9.749505,0.209972,9.760372,88.767319,87.593155"
"0.2084531,0.841811,10.178739,0.278915,10.217298,88.435730,85.272232"
"0.2134156,0.980445,9.820307,0.599345,9.887311,86.524734,84.298569"
"0.2183797,0.367290,9.269794,0.348663,9.283617,87.847649,87.731003"
"0.2233422,-0.068474,9.384514,0.086354,9.385160,89.472809,90.418053"
"0.2283062,-0.244553,9.461244,0.132610,9.465333,89.197258,91.480644"
"0.2332688,-0.192944,9.743769,0.147713,9.746798,89.131653,91.134407"
"0.2382328,0.038930,9.853903,0.263468,9.857501,88.468437,89.773643"
"0.2431953,0.192599,9.821580,0.358508,9.830008,87.909920,88.876587"
"0.2481594,0.432431,9.646957,0.376139,9.663967,87.769386,87.433395"
"0.2531219,0.484337,9.646440,0.343338,9.664691,87.964142,87.125656"
"0.2580844,0.480191,9.580982,0.328417,9.598628,88.039238,87.130783"
"0.2630484,0.406919,9.608391,0.246517,9.620162,88.531639,87.574951"
"0.2680109,0.317174,9.608372,0.371647,9.620787,87.786133,88.109344"
"0.2729750,0.312443,9.680619,0.399927,9.693913,87.635559,88.151413"
"0.2779375,0.271493,9.766916,0.339756,9.776594,88.008453,88.407745"
"0.2829016,0.303259,9.627746,0.397054,9.640700,87.639595,88.195869"
"0.2878641,0.346604,9.476519,0.274002,9.486813,88.344933,87.905342"
"0.2928266,0.264119,9.772280,0.288731,9.780111,88.308250,88.451828"
"0.2977906,0.270736,9.891271,0.404773,9.903251,87.657509,88.432137"
"0.3027531,0.248604,9.801096,0.321130,9.809506,88.124001,88.547005"
"0.3077172,0.199906,9.837057,0.258545,9.842484,88.494766,88.835808"
"0.3126797,0.210067,9.692312,0.251851,9.697860,88.511879,88.758392"
"0.3176437,0.289296,9.617633,0.225179,9.624618,88.659378,88.277077"
"0.3226062,0.308565,9.681931,0.298978,9.691461,88.232162,88.174591"
"0.3275687,0.333982,9.685168,0.284220,9.695092,88.320084,88.025009"
"0.3325328,0.307894,9.657166,0.310538,9.667063,88.159157,88.173889"
"0.3374953,0.306879,9.746872,0.283751,9.755829,88.333298,88.196648"
"0.3424594,0.392639,9.673034,0.264167,9.684603,88.436951,87.675575"
"0.3474219,0.360117,9.668696,0.336721,9.681258,88.006813,87.866966"
"0.3523844,0.313114,9.680572,0.310183,9.690599,88.165726,88.147438"
"0.3573484,0.292208,9.658612,0.324386,9.668474,88.077316,88.267128"
"0.3623109,0.374281,9.686260,0.226271,9.696129,88.662811,87.787170"
"0.3672734,0.376474,9.662691,0.247149,9.673180,88.535942,87.768791"
"0.3722375,0.308919,9.687343,0.364790,9.699129,87.844559,88.173515"
"0.3772000,0.242351,9.748950,0.284153,9.756101,88.330986,88.575966"
"0.3821641,0.249370,9.696918,0.348835,9.706395,87.940422,88.526878"
"0.3871265,0.360768,9.688415,0.328408,9.700689,88.059937,87.867462"
"0.3920906,0.384825,9.637658,0.299639,9.649991,88.220642,87.713432"
"0.3970531,0.400157,9.638788,0.330457,9.652749,88.038124,87.622711"
"0.4020172,0.422261,9.708009,0.251305,9.720437,88.518555,87.509430"
"0.4069797,0.379625,9.724423,0.272326,9.735640,88.397110,87.764404"
"0.4119437,0.374463,9.707444,0.302761,9.719380,88.214935,87.790924"
"0.4169062,0.412463,9.644132,0.319530,9.658235,88.104095,87.551048"
"0.4218703,0.467961,9.655001,0.204551,9.668499,88.787735,87.225143"
"0.4268328,0.376043,9.612576,0.261868,9.623492,88.440712,87.759735"
"0.4317953,0.404859,9.679470,0.259895,9.691419,88.463310,87.604904"
"0.4367594,0.388876,9.706189,0.199811,9.716031,88.821625,87.705688"
"0.4417219,0.303546,9.772576,0.274031,9.781129,88.394577,88.220901"
"0.4466859,0.306008,9.727460,0.316312,9.737411,88.138466,88.198174"
"0.4516484,0.284977,9.679595,0.200672,9.685868,88.812859,88.313644"
"0.4566125,0.297044,9.701852,0.254255,9.709727,88.499504,88.246307"
"0.4615750,0.393913,9.682467,0.259426,9.693949,88.466484,87.670311"
"0.4665375,0.446231,9.718745,0.240550,9.731957,88.583641,87.371140"
"0.4715016,0.586215,9.726722,0.276435,9.748291,88.375031,86.551041"
"0.4764641,0.545619,9.686538,0.136000,9.702845,89.196884,86.776070"
"0.4814281,0.262701,9.745320,0.153583,9.750071,89.097435,88.455872"
"0.4863906,0.099762,9.782584,0.337515,9.788913,88.024086,89.415726"
"0.4913531,-0.005411,9.755807,0.430659,9.765309,87.472382,90.031776"
"0.4963172,0.001810,9.774453,0.315920,9.779557,88.148788,89.989388"
"0.5012797,0.070552,9.742993,0.302953,9.747957,88.219040,89.585106"
"0.5062437,0.102204,9.731280,0.330007,9.737411,88.057838,89.398270"
"0.5112062,0.124393,9.678752,0.362128,9.686322,87.857468,89.263664"
"0.5161703,0.168791,9.708871,0.377575,9.717676,87.773239,89.003998"
"0.5211328,0.204455,9.757741,0.401709,9.768147,87.643082,88.799652"
"0.5260953,0.198029,9.749582,0.387238,9.759279,87.725967,88.836395"
"0.5310593,0.264626,9.696421,0.355970,9.706561,87.898315,88.436722"
"0.5360219,0.325573,9.697293,0.324989,9.708199,88.081627,88.077095"
"0.5409859,0.378150,9.703000,0.306534,9.715203,88.191902,87.768173"
"0.5459484,0.441462,9.677325,0.359092,9.694042,87.877136,87.388084"
"0.5509109,0.413594,9.709982,0.320450,9.724069,88.111519,87.560982"
"0.5558750,0.439461,9.746259,0.284565,9.760311,88.329285,87.418274"
"0.5608375,0.444891,9.707502,0.210422,9.719970,88.759544,87.375999"
"0.5658015,0.468296,9.688703,0.204206,9.702163,88.793976,87.232803"
"0.5707640,0.507504,9.713908,0.166541,9.728582,89.019119,87.009300"
"0.5757266,0.485582,9.711351,0.106532,9.724068,89.372284,87.137505"
"0.5806906,0.491961,9.717586,0.085100,9.730403,89.498901,87.101830"
"0.5856546,0.495514,9.723380,0.129335,9.736857,89.238914,87.082672"
"0.5906172,0.520375,9.704016,0.084391,9.718325,89.502457,86.930473"
"0.5955797,0.494719,9.744525,0.119260,9.757804,89.299713,87.093651"
"0.6005437,0.429644,9.740714,0.168695,9.751644,89.008781,87.474426"
"0.6055062,0.327163,9.724547,0.211073,9.732338,88.757286,88.073128"
"0.6104703,0.249447,9.709475,0.231318,9.715432,88.635696,88.528336"
"0.6154328,0.256620,9.736040,0.173130,9.740960,88.981606,88.490158"
"0.6203953,0.234067,9.783407,0.277737,9.790148,88.374359,88.629471"
"0.6253594,0.294046,9.682928,0.202971,9.689518,88.799713,88.260605"
"0.6303219,0.345244,9.673772,0.252473,9.683223,88.505943,87.956055"
"0.6352859,0.358642,9.748863,0.290560,9.759784,88.293983,87.893150"
"0.6402484,0.356746,9.739478,0.165420,9.747414,89.027603,87.902260"
"0.6452109,0.424080,9.706390,0.232745,9.718437,88.627701,87.498291"
"0.6501750,0.410088,9.732057,0.250625,9.743917,88.526123,87.587105"
"0.6551375,0.344459,9.680285,0.202760,9.688533,88.800835,87.962074"
"0.6601015,0.361371,9.699198,0.163409,9.707303,89.035461,87.866272"
"0.6650640,0.392869,9.735504,0.111081,9.744061,89.346817,87.689125"
"0.6700281,0.423678,9.683971,0.132553,9.694141,89.216545,87.494881"
"0.6749907,0.342419,9.721818,0.135014,9.728784,89.204834,87.982780"
