"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.0050354,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.0100715,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.0151077,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.0201455,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.0251832,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.0302184,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.0352535,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.0402910,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.0453285,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.0503669,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.0554054,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.0604440,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.0654826,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.0705197,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.0755569,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.0805936,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.0856302,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.0906675,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.0957048,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.1007393,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.1057739,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.1108113,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.1158487,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.1208841,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.1259196,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.1309565,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.1359934,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.1410296,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.1460657,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.1511039,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.1561421,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.1611803,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.1662184,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.1712556,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.1762926,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.1813304,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.1863682,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.1914048,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.1964415,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.2014786,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.2065158,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.2115526,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.2165895,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.2216269,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.2266643,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.2317019,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.2367396,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.2417766,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.2468136,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.2518530,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.2568924,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.2619282,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.2669640,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.2719993,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.2770345,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.2820701,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.2871056,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.2921401,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.2971745,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.3022116,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.3072485,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.3122864,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.3173243,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.3223628,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.3274013,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.3324395,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.3374777,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.3425145,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.3475512,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.3525865,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.3576218,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.3626591,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.3676964,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.3727321,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.3777678,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.3828048,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.3878418,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.3928766,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
"0.3979114,1.361000,8.027000,2.606000,8.548468,72.250862,80.376862"
"0.4029489,1.357000,8.023000,2.602000,8.542855,72.266983,80.399925"
"0.4079864,1.358000,8.024000,2.603000,8.544258,72.262947,80.394157"
"0.4130247,1.359000,8.025000,2.604000,8.545660,72.258919,80.388390"
"0.4180630,1.360000,8.026000,2.605000,8.547064,72.254890,80.382622"
