"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-0.327220,9.755260,-0.765158,9.790691,94.482330,91.921150"
"0.0049625,-0.173436,9.757875,-0.619619,9.779066,93.632797,91.018265"
"0.0099266,0.714248,9.785591,-0.279997,9.815618,91.634621,85.825401"
"0.0148891,-1.045031,9.685484,-0.120668,9.742446,90.709671,96.158195"
"0.0198531,-1.509525,9.858738,-0.375976,9.980719,92.158852,98.705261"
"0.0248156,-1.178962,10.009027,-0.173685,10.079720,90.987320,96.717911"
"0.0297797,-1.677560,9.818094,-0.198882,9.962366,91.143890,99.696159"
"0.0347422,-1.246201,9.762252,-0.315297,9.846521,91.834991,97.274750"
"0.0397062,-1.160154,9.724836,-0.244122,9.796836,91.427872,96.803116"
"0.0446687,-0.918856,9.764483,-0.318458,9.812791,91.859764,95.375809"
"0.0496312,-1.089027,9.540405,-0.409504,9.611088,92.441971,96.512062"
"0.0545937,-0.772197,9.618609,-0.493962,9.662190,92.930420,94.589951"
"0.0595578,-0.635555,9.653556,-0.490064,9.686859,92.899864,93.766708"
"0.0645203,-0.573708,9.615832,-0.439978,9.642974,92.615128,93.414383"
"0.0694844,-0.815015,9.659962,-0.279126,9.698300,91.649254,94.822647"
"0.0744469,-1.031489,9.655471,-0.340159,9.716368,92.006271,96.097755"
"0.0794109,-1.065391,9.590981,-0.464897,9.661164,92.758148,96.338577"
"0.0843734,-0.873386,9.539036,-0.455243,9.589747,92.720963,95.231361"
"0.0893375,-0.665416,9.766274,-0.458480,9.799648,92.681580,93.897766"
"0.0943000,-0.563308,9.883179,-0.379500,9.906490,92.195435,93.262138"
"0.0992641,-0.614888,9.792496,-0.411027,9.820388,92.398781,93.592987"
"0.1042250,-0.649231,9.709877,-0.450292,9.741970,92.649261,93.825272"
"0.1091906,-0.701195,9.584889,-0.445322,9.620815,92.653015,94.184090"
"0.1141516,-0.739492,9.552252,-0.483179,9.593009,92.887085,94.426750"
"0.1191156,-0.629062,9.681664,-0.496299,9.714765,92.928345,93.717545"
"0.1240781,-0.383302,9.791605,-0.568968,9.815608,93.323044,92.241753"
"0.1290422,-0.261638,10.035612,-0.550848,10.054123,93.140709,91.493416"
"0.1340047,-0.379385,10.128891,-0.401326,10.143935,92.267387,92.145050"
"0.1389688,-0.421897,10.069284,-0.451451,10.088225,92.564857,92.399254"
"0.1439312,-0.418669,9.879703,-0.497544,9.901078,92.880409,92.426552"
"0.1488953,-0.470030,9.818563,-0.565884,9.846083,93.294777,92.740746"
"0.1538578,-0.523660,9.810759,-0.512876,9.838101,92.988274,93.055321"
"0.1588219,-0.654144,9.576749,-0.271445,9.602901,91.619797,93.907539"
"0.1637844,-0.618786,9.518196,-0.660541,9.561133,93.961494,93.719612"
"0.1687484,-0.767303,9.633721,-0.679522,9.688090,94.022026,94.553864"
"0.1737094,-0.458777,9.737438,-0.669045,9.771173,93.926193,92.697479"
"0.1786750,-0.409169,9.378681,-0.662303,9.410936,94.035576,92.498093"
"0.1836359,-0.602735,9.344665,-0.219271,9.366650,91.341400,93.690491"
"0.1886000,-0.845613,9.708841,-0.178397,9.747230,91.048706,94.977737"
"0.1935625,-1.173465,9.872490,-0.282334,9.945993,91.626656,96.778496"
"0.1985266,-1.012632,9.941003,-0.252694,9.995640,91.448616,95.816330"
"0.2034891,-0.907939,9.807129,-0.375535,9.856225,92.183571,95.289337"
"0.2084531,-0.742710,9.670908,-0.454448,9.710026,92.682533,94.391602"
"0.2134156,-0.720042,9.579000,-0.422979,9.615333,92.521255,94.298767"
"0.2183797,-0.777991,9.603555,-0.336922,9.640905,92.002731,94.631462"
"0.2233422,-0.875378,9.752340,-0.203976,9.793673,91.193405,95.129166"
"0.2283062,-0.878442,9.787765,-0.353844,9.833473,92.062157,95.128502"
"0.2332672,-0.869689,9.724174,-0.473410,9.774459,92.776115,95.110695"
"0.2382328,-0.644912,9.743759,-0.516621,9.778734,93.028404,93.786720"
"0.2431937,-0.409255,9.675448,-0.508595,9.697446,93.006332,92.422073"
"0.2481578,-0.230906,9.645588,-0.485075,9.660538,92.878143,91.371346"
