"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,0.471514,9.529115,-0.247388,9.543980,91.485321,87.167236"
"0.0049641,0.490131,9.676252,-0.383905,9.696260,92.269112,87.100273"
"0.0099266,0.632902,9.738444,-0.301373,9.763641,91.768822,86.281570"
"0.0148906,1.066014,9.751814,-0.167814,9.811341,90.980042,83.761520"
"0.0198531,1.146449,9.809418,-0.271416,9.879913,91.574203,83.333954"
"0.0248156,1.183904,9.805099,-0.388636,9.883958,92.253448,83.115227"
"0.0297781,1.235580,9.810576,-0.386941,9.895645,92.240959,82.821754"
"0.0347422,1.080781,9.721350,-0.275649,9.785127,91.614250,83.656136"
"0.0397047,0.928922,9.694956,-0.234507,9.742179,91.379318,84.526917"
"0.0446687,0.908619,9.713305,-0.315288,9.760802,91.851059,84.655891"
"0.0496328,0.852144,9.754313,-0.295119,9.795911,91.726395,85.007271"
"0.0545953,0.898075,9.743740,-0.223666,9.787596,91.309441,84.733963"
"0.0595578,0.934677,9.777431,-0.225974,9.824604,91.317970,84.539383"
"0.0645203,0.878672,9.770421,-0.279413,9.813830,91.631508,84.861107"
"0.0694844,0.902997,9.731252,-0.348433,9.779267,92.041870,84.698502"
"0.0744484,0.828892,9.674538,-0.454228,9.720600,92.678314,85.102989"
"0.0794109,0.797145,9.680285,-0.452897,9.723603,92.669632,85.292473"
"0.0843734,0.792031,9.677947,-0.456057,9.721005,92.688995,85.321411"
"0.0893375,0.810868,9.690388,-0.387746,9.731982,92.283409,85.216774"
"0.0943016,0.915227,9.704102,-0.275036,9.751044,91.616287,84.612175"
"0.0992641,0.855525,9.752943,-0.419818,9.799391,92.455376,84.986862"
"0.1042266,0.804107,9.706562,-0.428600,9.749238,92.519676,85.264343"
"0.1091891,0.712275,9.619328,-0.394172,9.653714,92.340103,85.765190"
"0.1141531,0.649662,9.631759,-0.325276,9.659122,91.929832,86.141243"
"0.1191172,0.653617,9.653986,-0.183271,9.677822,91.085091,86.126740"
"0.1240781,0.758895,9.772700,-0.076739,9.802423,90.448547,85.559631"
"0.1290422,0.944915,9.795330,-0.220985,9.843282,91.286415,84.489960"
"0.1340062,0.998200,9.835151,-0.406507,9.894031,92.354721,84.204720"
"0.1389688,1.007854,9.795771,-0.632251,9.867758,93.673599,84.125702"
"0.1439312,0.932379,9.734958,-0.444402,9.789598,92.601852,84.529106"
