"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.0050337,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.0100655,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.0150973,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.0201317,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.0251661,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.0301979,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.0352296,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.0402604,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.0452912,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.0503220,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.0553527,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.0603822,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.0654116,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.0704415,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.0754713,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.0805045,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.0855376,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.0905693,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.0956009,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.1006337,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.1056665,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.1106982,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.1157299,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.1207624,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.1257949,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.1308296,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.1358643,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.1408975,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.1459306,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.1509676,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.1560046,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.1610389,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.1660733,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.1711086,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.1761439,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.1811777,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.1862115,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.1912434,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.1962754,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.2013090,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.2063426,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.2113755,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.2164085,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.2214414,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.2264744,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.2315060,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.2365377,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.2415692,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.2466008,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.2516323,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.2566639,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.2616954,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.2667270,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.2717621,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.2767972,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.2818328,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.2868684,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.2919026,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.2969368,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.3019708,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.3070049,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.3120362,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.3170675,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.3221012,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.3271348,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.3321685,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.3372021,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.3422383,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.3472745,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.3523072,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.3573399,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.3623708,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.3674017,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.3724338,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.3774659,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.3824974,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.3875289,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.3925611,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.3975934,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.4026259,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.4076585,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.4126917,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.4177249,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.4227574,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.4277900,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.4328223,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.4378547,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.4428853,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.4479159,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.4529480,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.4579801,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.4630128,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.4680455,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.4730783,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.4781111,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.4831452,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.4881794,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.4932112,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.4982430,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.5032769,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.5083109,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.5133435,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.5183762,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.5234101,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.5284439,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.5334768,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.5385097,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.5435426,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.5485755,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.5536091,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.5586426,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.5636761,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.5687096,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.5737410,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.5787725,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.5838081,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.5888437,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.5938770,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.5989105,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.6039453,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.6089801,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.6140152,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.6190503,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.6240843,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.6291183,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.6341521,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.6391858,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.6442193,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.6492528,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.6542855,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.6593182,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.6643494,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.6693808,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.6744145,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.6794483,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.6844831,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.6895180,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.6945503,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.6995827,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.7046165,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.7096503,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.7146811,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.7197119,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.7247434,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.7297749,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.7348116,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.7398484,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.7448820,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.7499155,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.7549514,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.7599872,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.7650208,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.7700544,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.7750880,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.7801216,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.7851554,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.7901890,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.7952224,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.8002557,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.8052911,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
"0.8103265,0.001000,9.809000,4.292000,10.706902,66.367867,89.994156"
"0.8153614,-0.001000,9.805000,4.288000,10.701634,66.378899,90.005844"
"0.8203963,0.000000,9.806000,4.289000,10.702950,66.376137,90.000000"
"0.8254279,0.000000,9.807000,4.290000,10.704268,66.373383,90.000000"
"0.8304594,0.000000,9.808000,4.291000,10.705585,66.370621,90.000000"
