"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.0050327,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.0100655,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.0150984,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.0201333,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.0251683,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.0302013,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.0352343,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.0402682,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.0453022,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.0503337,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.0553651,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.0603966,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.0654280,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.0704621,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.0754962,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.0805298,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.0855634,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.0905980,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.0956326,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.1006689,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.1057051,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.1107408,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.1157765,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.1208096,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.1258427,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.1308764,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.1359100,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.1409453,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.1459806,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.1510133,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.1560460,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.1610827,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.1661194,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.1711539,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.1761884,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.1812215,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.1862547,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.1912883,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.1963220,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.2013559,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.2063897,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.2114257,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
