"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-2.137950,9.856951,-0.217050,10.088480,91.232796,102.237770"
"0.0046640,-2.521050,10.210951,-0.232050,10.520126,91.263916,103.868774"
"0.0093292,-2.848950,10.419001,-0.346950,10.807056,91.839745,105.293015"
"0.0139947,-3.093000,10.486051,-0.457050,10.942248,92.393898,106.434128"
"0.0186597,-3.220050,10.458000,-0.520950,10.954902,92.725677,107.113762"
"0.0233261,-3.202950,10.395000,-0.526050,10.889979,92.768799,107.125328"
"0.0279904,-3.076050,10.357051,-0.483000,10.814983,92.559692,106.541451"
"0.0326557,-2.821950,10.306951,-0.439950,10.695335,92.357513,105.311829"
"0.0373212,-2.514000,10.269000,-0.414000,10.580357,92.242508,103.756271"
"0.0419854,-2.152050,10.246950,-0.366000,10.476892,92.001976,101.860802"
"0.0466501,-1.834050,10.209001,-0.271950,10.376000,91.501869,100.184563"
"0.0513151,-1.591950,10.213950,-0.186000,10.338940,91.030823,98.858864"
"0.0559793,-1.494000,10.180051,-0.130950,10.289928,90.729164,98.348991"
"0.0606440,-1.534050,10.089001,-0.141000,10.205935,90.791595,98.645699"
"0.0653083,-1.714050,10.003051,-0.138000,10.149780,90.779037,99.723358"
"0.0699725,-1.927050,9.964951,-0.142950,10.150576,90.806923,100.944916"
"0.0746368,-2.128050,9.924001,-0.145950,10.150650,90.823853,102.102921"
"0.0793002,-2.241000,9.883051,-0.136050,10.134855,90.769157,102.775887"
"0.0839642,-2.326950,9.888000,-0.142950,10.159118,90.806244,103.242508"
"0.0886282,-2.391000,9.919050,-0.112050,10.203773,90.629189,103.552673"
"0.0932932,-2.434050,9.900001,-0.136050,10.195740,90.764565,103.812973"
"0.0979593,-2.419950,9.871051,-0.162000,10.164647,90.913193,103.774750"
"0.1026236,-2.403000,9.829950,-0.201000,10.121400,91.137909,103.736946"
"0.1072888,-2.367000,9.820951,-0.232050,10.104831,91.315872,103.550728"
"0.1119547,-2.353050,9.816001,-0.280050,10.097978,91.589203,103.480331"
"0.1166180,-2.310000,9.723001,-0.394950,10.001441,92.263161,103.364609"
"0.1212817,-2.266950,9.648001,-0.307950,9.915534,91.779739,103.222694"
"0.1259454,-2.310000,9.510000,-0.265050,9.790120,91.551369,103.652855"
"0.1306098,-2.395950,9.331950,-0.406950,9.643209,92.418640,104.399498"
"0.1352756,-2.533050,9.136050,-0.435000,9.490679,92.627037,105.496498"
"0.1399394,-2.590050,9.013950,-0.280050,9.382862,91.710358,106.031364"
"0.1446045,-2.545050,9.088051,-0.325050,9.443284,91.972588,105.644562"
"0.1492704,-2.439000,9.343950,-0.394950,9.665098,92.341957,104.629189"
"0.1539341,-2.410950,9.637051,-0.379950,9.941318,92.190338,104.045685"
"0.1585991,-2.362950,9.886050,-0.325050,10.169719,91.831627,103.442558"
"0.1632637,-2.320050,10.056001,-0.241050,10.322979,91.338028,102.991554"
"0.1679277,-2.272050,10.126950,-0.196050,10.380548,91.082169,102.645302"
"0.1725934,-2.262000,10.129951,-0.162000,10.380693,90.894188,102.587547"
"0.1772578,-2.253000,10.066951,-0.106950,10.316538,90.593987,102.615013"
"0.1819227,-2.275950,9.945001,-0.093000,10.202531,90.522278,102.890373"
"0.1865877,-2.274000,9.852000,-0.040050,10.111112,90.226952,102.997162"
"0.1912522,-2.314950,9.742050,-0.040050,10.013398,90.229164,103.366974"
"0.1959168,-2.310000,9.663000,-0.007050,9.935277,90.040657,103.444595"
"0.2005812,-2.305050,9.622050,-0.013950,9.894307,90.080780,103.471848"
"0.2052455,-2.299950,9.577050,-0.033000,9.849404,90.191971,103.503983"
"0.2099110,-2.260050,9.559951,-0.028050,9.823506,90.163605,103.300987"
"0.2145746,-2.286000,9.601050,-0.045000,9.869549,90.261238,103.392700"
"0.2192381,-2.284050,9.664950,-0.067050,9.931396,90.386826,103.296364"
"0.2239029,-2.323950,9.735001,-0.112050,10.009172,90.641426,103.426430"
"0.2285670,-2.323950,9.787050,-0.145950,10.060239,90.831253,103.357590"
"0.2332331,-2.323950,9.841950,-0.222000,10.115039,91.257599,103.285728"
"0.2378981,-2.290950,9.859051,-0.280050,10.125600,91.584869,103.081680"
"0.2425633,-2.248050,9.852000,-0.295950,10.109561,91.677528,102.853798"
"0.2472292,-2.188050,9.871051,-0.282000,10.114580,91.597641,102.498291"
"0.2518931,-2.130000,9.859051,-0.259950,10.089864,91.476303,102.191101"
"0.2565580,-2.050950,9.868951,-0.213000,10.082062,91.210556,101.740013"
"0.2612240,-1.989000,9.859051,-0.214950,10.059980,91.224319,101.405960"
"0.2658885,-1.915050,9.876000,-0.136050,10.060881,90.774818,100.974007"
"0.2705541,-1.869000,9.874050,-0.138000,10.050327,90.786751,100.718369"
"0.2752190,-1.867050,9.892950,-0.145950,10.068646,90.830559,100.687462"
"0.2798842,-1.864950,9.871051,-0.217050,10.048024,91.237755,100.698853"
"0.2845497,-1.891050,9.865951,-0.225000,10.048069,91.283096,100.850533"
"0.2892137,-1.963050,9.871051,-0.190950,10.066165,91.086937,101.247635"
"0.2938790,-2.008050,9.852000,-0.184050,10.056244,91.048691,101.520317"
"0.2985454,-2.065950,9.826051,-0.177000,10.042448,91.009903,101.873627"
"0.3032094,-2.110950,9.787050,-0.198000,10.014073,91.132935,102.171555"
"0.3078737,-2.109000,9.756001,-0.220050,9.983779,91.262947,102.198196"
"0.3125386,-2.095050,9.771001,-0.280050,9.997005,91.605263,102.101845"
"0.3172030,-2.038950,9.795000,-0.316050,10.009956,91.809334,101.758896"
"0.3218685,-2.023050,9.784950,-0.298950,9.996367,91.713737,101.681381"
"0.3265328,-2.004000,9.766050,-0.234000,9.972287,91.344574,101.596161"
"0.3311975,-2.032050,9.783000,-0.153000,9.992984,90.877274,101.734184"
"0.3358624,-2.089950,9.759001,-0.082950,9.980625,90.476196,102.087662"
"0.3405270,-2.233050,9.730050,-0.031050,9.983053,90.178207,102.925575"
"0.3451931,-2.403000,9.708000,0.025950,10.001018,89.851334,103.902855"
"0.3498593,-2.473050,9.445050,0.117000,9.764151,89.313431,104.672684"
"0.3545249,-2.734050,9.546000,0.190950,9.931647,88.898338,105.982132"
"0.3591910,-2.971050,9.619950,0.165000,10.069648,89.061119,107.162910"
"0.3638555,-3.106950,9.712951,0.073950,10.198040,89.584518,107.738281"
"0.3685203,-3.150000,9.814051,0.009000,10.307191,89.949974,107.794991"
"0.3731863,-3.081000,9.907050,-0.064050,10.375274,90.353706,107.275208"
"0.3778503,-2.923050,9.961950,-0.117000,10.382599,90.645668,106.352821"
"0.3825158,-2.692950,9.952950,-0.181050,10.312419,91.005966,105.139908"
"0.3871814,-2.509050,9.897000,-0.178950,10.211658,91.004105,104.225700"
"0.3918470,-2.310000,9.828000,-0.178950,10.097411,91.015472,103.226875"
"0.3965140,-2.178000,9.766050,-0.153000,10.007139,90.876038,102.572220"
"0.4011781,-2.080050,9.720000,-0.141000,9.941072,90.812683,102.078934"
"0.4058423,-2.025000,9.700951,-0.154950,9.911261,90.895782,101.790749"
"0.4105079,-2.020050,9.691951,-0.169050,9.901671,90.978249,101.773354"
"0.4151722,-2.071050,9.699000,-0.184050,9.919361,91.063164,102.053482"
"0.4198371,-2.118000,9.735001,-0.201000,9.964766,91.155792,102.274300"
"0.4245023,-2.181000,9.787050,-0.172050,10.028595,90.983009,102.562836"
