X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
1.090950,9.549001,1.000050,9.663006,84.059669,83.482353,1.173081,9.332008,2.110170,9.639259,77.354736,82.835205,0.000000,9.806000,1.358000,9.899586,82.115448,90.000000,-4.008000,9.459001,-0.450000,10.282960,92.508163,112.963509,1.215096,9.396609,0.151189,9.476053,89.085815,82.631844,-1.619343,9.736994,-0.554537,9.886295,93.215492,99.442345
1.098000,9.550950,0.954000,9.661075,84.332993,83.441933,1.228116,9.437292,2.076372,9.740743,77.692184,82.585518,0.000000,9.807000,1.359000,9.900714,82.110512,90.000000,-4.161000,9.411000,-0.430050,10.298824,92.393204,113.852242,1.266619,9.252153,0.112058,9.339123,89.312500,82.204674,-1.518844,9.669994,-0.592822,9.806483,93.465759,98.926392
1.096050,9.532050,0.921000,9.638960,84.517036,83.440605,1.208974,9.492328,2.076372,9.791692,77.757225,82.741699,0.000000,9.808000,1.360000,9.901841,82.105576,90.000000,-4.254000,9.421050,-0.391950,10.344386,92.171463,114.301178,1.377490,9.308972,0.119049,9.411090,89.275192,81.582771,-1.456631,9.540782,-0.597607,9.669820,93.543213,98.680550
1.086000,9.565950,0.945000,9.673667,84.393959,83.523071,1.185045,9.562018,2.081157,9.857370,77.811592,82.935211,0.001000,9.809000,1.361000,9.902969,82.100639,89.994156,-4.276050,9.483001,-0.339000,10.408018,91.866516,114.271446,1.348845,9.298887,0.107260,9.396818,89.345978,81.746552,-1.389632,9.425926,-0.578465,9.545354,93.474350,98.386505
1.045050,9.565950,0.964050,9.671036,84.279015,83.765343,1.141975,9.662517,2.026123,9.938486,78.236855,83.259705,-0.001000,9.805000,1.357000,9.898458,82.120392,90.005844,-4.161000,9.522000,-0.355950,10.397553,91.961845,113.604752,1.324329,9.529776,0.279978,9.625427,88.333183,82.088417,-1.423131,9.325428,-0.559322,9.449961,93.393196,98.676826
0.997050,9.583051,1.005000,9.687053,84.045036,84.060143,1.141975,9.741480,1.983052,10.006649,78.569832,83.313843,0.000000,9.806000,1.358000,9.899586,82.115448,90.000000,-3.955050,9.507001,-0.394950,10.304440,92.196579,112.588020,1.481436,9.652358,0.343568,9.771423,87.985039,81.274376,-1.461416,9.344570,-0.573679,9.475539,93.470993,98.888603
0.966000,9.597000,1.005000,9.697711,84.051605,84.252167,1.060320,9.813564,1.999802,10.071222,78.546890,83.833321,0.000000,9.807000,1.340000,9.898124,82.219452,90.000000,-3.708000,9.499950,-0.411000,10.206236,92.307899,111.321587,1.393569,9.659245,0.353729,9.765662,87.924194,81.790405,-1.466202,9.492926,-0.588036,9.623470,93.503204,98.780075
0.976050,9.646951,0.997050,9.747330,84.128975,84.222641,0.943071,9.870992,1.968695,10.109482,78.770615,84.542542,0.000000,9.808000,1.322000,9.896693,82.323486,90.000000,-3.520950,9.462001,-0.402000,10.103868,92.280212,110.410973,1.291777,9.645405,0.226884,9.734166,88.664429,82.371956,-1.432703,9.622138,-0.540180,9.743201,93.178207,98.468918
1.002000,9.669001,0.954000,9.767482,84.394928,84.083549,0.878465,9.921241,1.985445,10.156018,78.726395,84.940010,0.001000,9.809000,1.304000,9.895297,82.427551,89.994156,-3.337050,9.438001,-0.378000,10.017716,92.162460,109.472366,1.251765,9.579661,0.248796,9.664302,88.524826,82.555397,-1.327418,9.808778,-0.487538,9.910190,92.819839,97.706993
1.066950,9.642000,0.897000,9.742236,84.717102,83.685539,0.854238,9.942777,2.004587,10.178747,78.642014,85.089470,-0.001000,9.805000,1.281000,9.888326,82.556602,90.005844,-3.249000,9.421050,-0.334950,9.971177,91.925034,109.027573,1.261553,9.609406,0.301899,9.696564,88.215828,82.520805,-1.250848,9.923634,-0.463609,10.012895,92.653816,97.184097
