X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
1.142573,9.659226,1.243670,9.805756,82.713516,83.253929,0.641276,8.680264,4.278068,9.698458,63.825401,85.774803,0.000000,9.001000,3.101000,9.520200,70.990288,90.000000,-3.760950,9.415951,-1.486050,10.247596,98.338120,111.772919,0.471514,9.529115,-0.247388,9.543980,91.485321,87.167236,-3.348456,9.591928,-0.338285,10.165219,91.907082,109.243637
1.209572,9.592228,1.260419,9.750003,82.572372,82.812981,0.643669,8.730812,4.313960,9.759695,63.767296,85.783562,0.000000,9.002000,3.102000,9.521471,70.986557,90.000000,-3.790050,9.244050,-1.417050,10.090837,98.072693,112.293579,0.490131,9.676252,-0.383905,9.696260,92.269112,87.100273,-3.307479,9.623035,-0.343071,10.181352,91.931007,108.968071
1.228714,9.577870,1.241277,9.735816,82.675087,82.689636,0.643669,8.745169,4.335495,9.782065,63.691216,85.790459,0.000000,9.003000,3.103000,9.522742,70.982826,90.000000,-3.766050,9.079050,-1.371000,9.924310,97.940559,112.528999,0.632902,9.738444,-0.301373,9.763641,91.768822,86.281570,-3.206980,9.651750,-0.225823,10.173101,91.271957,108.380066
1.259821,9.589835,1.258026,9.753703,82.589378,82.515884,0.643669,8.769096,4.376173,9.821520,63.540195,85.801903,0.001000,9.004000,3.104000,9.524014,70.979103,89.993637,-3.694050,9.025950,-1.366950,9.847961,97.978722,112.257813,1.066014,9.751814,-0.167814,9.811341,90.980042,83.761520,-3.281158,9.771689,1.667797,10.441909,80.809265,108.561127
1.207179,9.623335,1.260419,9.780313,82.595520,82.849998,0.650848,8.802596,4.419244,9.871120,63.404152,85.771347,-0.001000,9.000000,3.100000,9.518929,70.994019,90.006363,-3.598050,9.055051,-1.338000,9.835149,97.818916,111.670540,1.146449,9.809418,-0.271416,9.879913,91.574203,83.333954,-3.393920,9.625428,3.197708,10.695461,72.603767,109.422615
1.209572,9.683155,1.238884,9.836737,82.764694,82.879776,0.612563,8.850452,4.404887,9.904987,63.594955,86.040726,0.000000,9.001000,3.101000,9.520200,70.990288,90.000000,-3.481050,9.129001,-1.314000,9.858142,97.659798,110.872734,1.183904,9.805099,-0.388636,9.883958,92.253448,83.115227,-3.178267,9.148957,0.255434,9.688656,88.489265,109.156776
1.185644,9.719048,1.258026,9.871589,82.678368,83.044754,0.557229,8.824132,4.385745,9.869678,63.617249,86.386673,0.000000,9.002000,3.102000,9.521471,70.986557,90.000000,-3.325050,9.256050,-1.303950,9.921226,97.552254,109.759804,1.235580,9.810576,-0.386941,9.895645,92.240959,82.821754,-3.025126,9.072387,-1.520938,9.683639,99.036446,108.440613
1.173679,9.766904,1.219741,9.912502,82.931793,83.147682,0.545264,8.809774,4.385745,9.856175,63.578308,86.458305,0.000000,9.003000,3.103000,9.522742,70.982826,90.000000,-3.193050,9.361051,-1.309050,9.976896,97.539413,108.834488,1.080781,9.721350,-0.275649,9.785127,91.614250,83.656136,-2.931806,9.326325,-2.332703,10.050738,103.420311,107.450966
1.109073,9.728619,1.183849,9.862939,83.106163,83.496292,0.569193,8.740383,4.400102,9.801998,63.326969,86.274033,0.001000,9.004000,3.104000,9.524014,70.979103,89.993637,-3.094950,9.426001,-1.333050,10.010256,97.652725,108.177170,0.928922,9.694956,-0.234507,9.742179,91.379318,84.526917,-2.720938,9.658928,-2.854637,10.432993,105.879578,105.732628
1.094716,9.716655,1.179063,9.848958,83.124374,83.571938,0.578764,8.656335,4.412066,9.733109,63.044079,86.174889,-0.001000,9.000000,3.100000,9.518929,70.994019,90.006363,-3.016050,9.433050,-1.327950,9.992119,97.637192,107.730751,0.908619,9.713305,-0.315288,9.760802,91.851059,84.655891,-2.335694,9.881760,-2.397309,10.433204,103.283936,103.298599
