X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-1.463211,9.812367,-0.69691,9.945312,94.01825,98.4814,-0.903889,9.660124,0.531506,9.716867,86.864395,95.345551,1.357,8.023,2.602,8.542855,72.266983,80.399925,-1.278,9.739051,-2.04405,10.032972,101.755356,97.475883,0.554832,9.694056,0.247398,9.713072,88.540482,86.724289,-3.867699,9.175279,0.284148,9.961204,88.365395,112.857117
-1.525424,9.800404,-0.802194,9.950796,94.623978,98.847054,-0.860818,9.593125,0.565005,9.648227,86.642807,95.127579,1.358,8.024,2.603,8.544258,72.262947,80.394157,-1.15605,9.658051,-2.02005,9.934535,101.732117,96.825722,0.427633,9.561052,0.224375,9.57324,88.656998,87.439064,-3.939782,9.11785,0.449252,9.942781,87.410278,113.368958
-1.604388,9.809975,-0.852443,9.976789,94.901474,99.2883,-0.906282,9.638589,0.548256,9.696614,86.758713,95.371521,1.359,8.025,2.604,8.54566,72.258919,80.38839,-1.03905,9.627001,-1.99395,9.886082,101.635956,96.160133,0.30323,9.500633,0.38245,9.513162,87.695961,88.171921,-4.073781,9.158528,0.308076,10.028421,88.239578,113.979851
-1.685744,9.805189,-0.857229,9.985905,94.924553,99.755127,-0.925424,9.631411,0.550648,9.691423,86.742805,95.488358,1.36,8.026,2.605,8.547064,72.25489,80.382622,-0.91395,9.63405,-1.989,9.879593,101.614395,95.419243,0.338119,9.519882,0.480784,9.538011,87.110657,87.965874,-4.147958,9.187542,0.19322,10.082352,88.901901,114.29805
-1.802992,9.833903,-0.933799,10.041335,95.33596,100.389473,-0.918246,9.629018,0.557827,9.688774,86.699394,95.447388,1.361,8.027,2.606,8.548468,72.250862,80.376862,-0.82995,9.703951,-2.00595,9.943808,101.638062,94.888443,0.470394,9.600548,0.576591,9.629343,86.567162,87.194946,-4.205386,9.252148,0.073579,10.163313,89.58519,114.44326
-1.82692,9.891331,-1.005584,10.108771,95.709015,100.464546,-0.89671,9.643374,0.519542,9.698901,86.929367,95.3125,1.357,8.023,2.602,8.542855,72.266983,80.399925,-0.74205,9.74205,-1.99395,9.971661,101.534721,94.355797,0.501624,9.635695,0.591492,9.666856,86.492012,87.019936,-4.207778,9.331111,-0.048754,10.236084,90.272896,114.272552
-1.886741,9.786046,-1.074976,10.024074,96.156204,100.912674,-0.91346,9.643374,0.459422,9.69743,87.284561,95.411148,1.358,8.024,2.603,8.544258,72.262947,80.394157,-0.66,9.756001,-2.01105,9.982959,101.621666,93.870201,0.549622,9.559578,0.484328,9.587605,87.104408,86.709435,-4.171886,9.35504,-0.149252,10.244203,90.834801,114.034515
-1.901098,9.778868,-1.125225,10.025295,96.444374,101.001572,-0.877568,9.715159,0.404387,9.763093,87.626129,95.161507,1.359,8.025,2.604,8.54566,72.258919,80.38839,-0.60495,9.783,-2.01495,10.006652,101.616562,93.538483,0.448654,9.597378,0.49311,9.620504,87.061951,87.323509,-4.049852,9.316754,-0.175573,10.160416,90.990128,113.493858
-1.960918,9.798011,-1.118046,10.054663,96.384308,101.317329,-0.846461,9.712767,0.334995,9.755335,88.032097,94.980705,1.36,8.026,2.605,8.547064,72.25489,80.382622,-0.59805,9.783,-2.02995,10.009269,101.701157,93.49823,0.422883,9.606294,0.545782,9.631074,86.751373,87.479385,-3.930211,9.28804,-0.161216,10.086637,90.91581,112.935532
-1.929811,9.75494,-1.091725,10.003744,96.265266,101.190285,-0.858425,9.727123,0.272782,9.768738,88.399864,95.043327,1.361,8.027,2.606,8.548468,72.250862,80.376862,-0.61995,9.792001,-2.02695,10.018789,101.672363,93.622665,0.370642,9.669491,0.381703,9.684117,87.741081,87.804871,-3.827021,9.259326,-0.175573,10.02058,91.003944,112.456055
-1.891526,9.652048,-1.08694,9.895521,96.306183,101.087822,-0.824926,9.7681,0.277567,9.8068,88.378105,94.827232,1.357,8.023,2.602,8.542855,72.266983,80.399925,-0.66,9.77505,-2.025,10.004391,101.677994,93.862679,0.256084,9.752187,0.275295,9.759433,88.383583,88.495811,-3.688237,9.221041,-0.154038,9.932493,90.888603,111.800446
-1.874776,9.625728,-1.003191,9.85778,95.840897,101.021362,-0.796212,9.815957,0.195912,9.850144,88.860352,94.637337,1.358,8.024,2.603,8.544258,72.262947,80.394157,-0.70095,9.76305,-2.01495,9.993423,101.632156,94.106575,0.194122,9.773017,0.251611,9.778183,88.525505,88.862083,-3.604488,9.187542,-0.13011,9.870167,90.755302,111.421242
