X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-1.077,9.48705,2.14395,9.785733,77.344444,96.476669,0.078365,9.712767,1.302892,9.800076,82.360069,89.537735,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.234,9.294001,1.80195,10.00421,79.623299,109.18618,-0.228972,9.68762,-0.109166,9.690941,90.645439,91.353966,-1.805983,9.617352,-0.439681,9.795323,92.572693,100.635361
-0.97905,9.457951,2.214,9.762846,76.89254,95.909988,0.121436,9.655338,1.281057,9.740709,82.442802,89.279427,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.13395,9.306001,1.79505,9.982259,79.640488,108.611809,-0.45147,9.784863,-0.123598,9.796053,90.722931,92.641731,-1.762912,9.607781,-0.449252,9.778504,92.633263,100.39743
-0.90495,9.453,2.226,9.753626,76.807533,95.468346,0.159721,9.64816,1.324427,9.739949,82.184776,89.051582,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.06405,9.34395,1.75905,9.989598,79.858009,108.155251,-0.514686,9.841146,-0.148517,9.855714,90.863434,92.993813,-1.719841,9.579067,-0.425324,9.741524,92.50238,100.178535
-0.852,9.463051,2.19705,9.752039,76.979988,95.144722,0.162114,9.617053,1.329213,9.70983,82.131874,89.034264,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.02295,9.402,1.69905,10.021109,80.23851,107.823738,-0.486894,9.77836,-0.101572,9.791001,90.594398,92.850578,-1.609771,9.535996,-0.39661,9.679044,92.348419,99.581764
-0.804,9.444,2.175,9.724515,77.075813,94.866051,0.078365,9.696016,1.295713,9.782522,82.388702,89.536934,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.00405,9.438001,1.70205,10.049734,80.249229,107.655914,-0.353375,9.735705,-0.099742,9.742627,90.586586,92.078735,-1.547558,9.52164,-0.358325,9.653235,92.127289,99.231598
-0.82605,9.468,2.187,9.752351,77.041008,94.986229,0.104686,9.72473,1.32682,9.815385,82.23111,89.38324,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.02295,9.47595,1.70205,10.091027,80.28952,107.693352,-0.29124,9.747552,-0.109654,9.752519,90.644234,91.711388,-1.475773,9.550353,-0.315254,9.668844,91.868469,98.784187
-0.83805,9.489,2.187,9.773763,77.069893,95.047157,0.152542,9.74148,1.300499,9.829089,82.396828,89.102875,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.07395,9.46905,1.66605,10.093949,80.499611,107.985054,-0.239593,9.755366,-0.19756,9.760308,91.159813,91.406906,-1.466202,9.579067,-0.286541,9.694864,91.693672,98.702332
-0.85005,9.48,2.223,9.774186,76.853844,95.123878,0.181256,9.755837,1.290928,9.842546,82.463493,88.935608,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.09495,9.462001,1.65195,10.091437,80.578384,108.112534,-0.113954,9.793922,-0.154876,9.79581,90.905907,90.666618,-1.403989,9.626924,-0.291326,9.733125,91.715202,98.297508
-0.81195,9.453,2.21595,9.743146,76.85379,94.909279,0.205185,9.796814,1.31007,9.886149,82.38501,88.800171,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.09495,9.44505,1.68,10.080183,80.406105,108.142914,-0.07332,9.791634,-0.209225,9.794144,91.22406,90.429024,-1.375275,9.607781,-0.372682,9.712865,92.198975,98.14608
-0.816,9.460051,2.20395,9.747605,76.932327,94.929985,0.20997,9.787243,1.281057,9.872959,82.544617,88.770996,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.07395,9.427951,1.70205,10.061432,80.260681,108.058372,-0.038987,9.812521,-0.354016,9.818982,92.066208,90.227646,-1.403989,9.617352,-0.415753,9.728181,92.449394,98.305649
