Keuwl Accelerometer Data File,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-03-20 15-26-56,,,,,,
,,,,,,
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0,0.574,9.27,0.396,9.296192,87.558571,86.456757
0.0110539,0.612,9.308,0.396,9.336499,87.569115,86.23822
0.0199831,0.689,9.27,0.396,9.304002,87.560623,85.74926
0.0301597,0.689,9.308,0.399,9.34199,87.552132,85.766556
0.0400192,0.689,9.308,0.399,9.34199,87.552132,85.766556
0.0499953,0.766,9.462,0.4,9.501379,87.587181,85.371689
0.0600095,0.766,9.577,0.4,9.615908,87.615936,85.427032
0.069979,0.689,9.423,0.392,9.456285,87.624184,85.818031
0.0799906,0.574,9.347,0.392,9.372809,87.603012,86.485878
0.0899834,0.612,9.27,0.388,9.298279,87.608459,86.222847
0.1001097,0.689,9.27,0.388,9.303664,87.60984,85.74926
0.1099814,0.727,9.347,0.386,9.383173,87.642334,85.552551
0.1199811,0.766,9.27,0.386,9.3096,87.623688,85.27626
0.1299786,0.689,9.194,0.384,9.227775,87.615036,85.714256
0.1399805,0.689,9.27,0.384,9.303498,87.634453,85.74926
0.1499879,0.612,9.462,0.384,9.489544,87.680862,86.299278
0.1599808,0.651,9.308,0.384,9.338635,87.643364,85.99926
0.1700063,0.574,9.308,0.386,9.333666,87.629822,86.471184
0.1800104,0.689,9.347,0.386,9.380305,87.641609,85.784157
0.1904787,0.612,9.27,0.409,9.299179,87.479179,86.222847
0.1999999,0.689,9.308,0.409,9.342422,87.49086,85.766556
0.2100437,0.727,9.27,0.392,9.306724,87.585983,85.515755
0.2200519,0.689,9.308,0.392,9.341694,87.595024,85.766556
0.2301011,0.689,9.423,0.378,9.455715,87.708946,85.818031
0.2400021,0.651,9.5,0.378,9.529778,87.726761,86.079857
0.2505311,0.804,9.347,0.393,9.389743,87.601234,85.083694
0.2600123,0.689,9.423,0.393,9.456326,87.618134,85.818031
0.2700719,0.651,9.347,0.372,9.377025,87.726395,86.0159
0.2800283,0.689,9.308,0.372,9.340876,87.71759,85.766556
0.2900797,0.727,9.27,0.376,9.306063,87.684402,85.515755
0.3000358,0.651,9.232,0.376,9.262559,87.673523,85.966431
0.3100601,0.651,9.347,0.382,9.377427,87.665344,86.0159
0.3200298,0.689,9.308,0.382,9.34128,87.656303,85.766556
0.3300083,0.689,9.308,0.383,9.341321,87.650177,85.766556
0.3400867,0.689,9.308,0.383,9.341321,87.650177,85.766556
0.3500938,0.651,9.308,0.383,9.338594,87.64949,85.99926
0.3600458,0.689,9.423,0.383,9.455916,87.678673,85.818031
0.3706177,0.612,9.347,0.382,9.374801,87.664688,86.253876
0.3800331,0.689,9.308,0.382,9.34128,87.656303,85.766556
0.3904331,0.651,9.347,0.373,9.377065,87.720291,86.0159
0.4000232,0.727,9.308,0.373,9.343796,87.712173,85.533989
0.410048,0.689,9.308,0.381,9.341239,87.662437,85.766556
0.4200321,0.689,9.27,0.381,9.303375,87.652916,85.74926
0.4300933,0.651,9.308,0.384,9.338635,87.643364,85.99926
0.4400532,0.689,9.308,0.384,9.341361,87.644051,85.766556
0.4500598,0.689,9.308,0.378,9.341117,87.680824,85.766556
0.4600745,0.612,9.27,0.378,9.297867,87.670029,86.222847
0.4701444,0.651,9.308,0.377,9.33835,87.686272,85.99926
0.4800604,0.766,9.385,0.377,9.423753,87.707253,85.333885
0.4903691,0.727,9.347,0.377,9.382807,87.697243,85.552551
0.5001603,0.727,9.27,0.377,9.306104,87.678253,85.515755
0.5100551,0.689,9.308,0.377,9.341076,87.686951,85.766556
0.5200403,0.651,9.308,0.377,9.33835,87.686272,85.99926
0.5301522,0.727,9.27,0.374,9.305983,87.696709,85.515755
0.5403419,0.689,9.27,0.374,9.303091,87.695992,85.74926
0.5500675,0.727,9.347,0.378,9.382847,87.691139,85.552551
0.5600103,0.727,9.347,0.378,9.382847,87.691139,85.552551
0.5700135,0.612,9.232,0.376,9.2599,87.672852,86.207344
0.580038,0.689,9.308,0.376,9.341036,87.693077,85.766556
0.5900193,0.766,9.308,0.38,9.347193,87.670059,85.295456
0.6000106,0.727,9.308,0.38,9.344077,87.669281,85.533989
0.610078,0.766,9.308,0.376,9.347031,87.694557,85.295456
0.6202296,0.842,9.308,0.376,9.353565,87.696167,84.8311
0.6300689,0.727,9.308,0.368,9.343596,87.742805,85.533989
0.640039,0.689,9.308,0.368,9.340717,87.742111,85.766556
0.6500538,0.766,9.27,0.381,9.309395,87.654434,85.27626
0.6601405,0.612,9.27,0.381,9.29799,87.651558,86.222847
0.6700576,0.766,9.347,0.374,9.385789,87.716301,85.315002
0.6800618,0.766,9.347,0.374,9.385789,87.716301,85.315002
0.6900583,0.766,9.308,0.374,9.346951,87.70681,85.295456
0.7000521,0.651,9.308,0.391,9.338925,87.600449,85.99926
0.7104582,0.612,9.232,0.391,9.260521,87.580124,86.207344
0.7200143,0.727,9.347,0.381,9.382969,87.672836,85.552551
0.7309291,0.689,9.308,0.381,9.341239,87.662437,85.766556
0.7408041,0.727,9.308,0.385,9.344282,87.638649,85.533989
0.7506929,0.651,9.27,0.385,9.300802,87.627602,85.98291
0.7602656,0.766,9.27,0.372,9.309031,87.709785,85.27626
