Keuwl Accelerometer Data File,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-03-20 15-29-22,,,,,,
,,,,,,
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0,-1.473557,8.2202,1.762878,8.535268,78.080307,100.162926
0.0049744,-1.542984,8.107666,1.805984,8.448469,77.656937,100.775208
0.0099792,-1.614807,8.075348,1.73056,8.415087,78.132462,101.308144
0.0149536,-1.647125,8.015488,1.700638,8.357824,78.259552,101.612221
0.019928,-1.58847,7.973587,1.747314,8.315914,77.870796,101.266762
0.0249023,-1.576508,7.992752,1.814362,8.346338,77.444565,101.157913
0.0298767,-1.581299,8.002319,1.840698,8.362164,77.283791,101.177933
0.0348511,-1.537003,8.02626,1.821548,8.37265,77.43428,100.840714
0.0398254,-1.52742,8.008316,1.771255,8.342871,77.742378,100.798286
0.0447998,-1.533401,7.925705,1.779648,8.266515,77.567818,100.949837
0.0497742,-1.562134,7.88501,1.783234,8.233685,77.49189,101.206009
0.0547485,-1.614807,7.922119,1.720978,8.266156,77.983368,101.521065
0.0597229,-1.714172,7.977188,1.682678,8.330985,78.347328,102.127541
0.0646973,-1.769241,8.066971,1.673096,8.426476,78.547691,102.370209
0.0696716,-1.845856,8.125626,1.641983,8.492885,78.852448,102.798386
0.0746765,-1.885361,8.167526,1.579727,8.529866,79.327232,102.99826
0.0796509,-1.795578,8.135208,1.577332,8.479014,79.278946,102.446594
0.0846558,-1.590866,8.074142,1.657532,8.394644,78.612053,101.146339
0.0896301,-1.443619,8.022675,1.606064,8.308235,78.853989,100.200775
0.0946045,-1.201813,8.016693,1.683868,8.27932,78.265175,98.525932
0.0995788,-1.140762,8.037033,1.716202,8.297023,78.062447,98.078499
0.1045532,-1.109634,7.949646,1.712601,8.207384,77.955818,97.946167
0.1095276,-1.053375,7.868256,1.726974,8.12413,77.726791,97.625221
0.1145019,-1.048584,7.823959,1.771255,8.090193,77.353302,97.633415
0.1194763,-1.040207,7.894592,1.802383,8.164264,77.246033,97.506165
0.1244812,-1.109634,7.970001,1.80957,8.247833,77.326233,97.926132
0.1294556,-1.12999,8.019089,1.856262,8.308331,77.089912,98.020882
0.1344299,-1.09288,8.076538,1.859848,8.359659,77.145325,97.7062
0.1394043,-1.079712,8.10408,1.833511,8.378762,77.359772,97.58886
0.1443786,-1.145554,8.179489,1.850266,8.464031,77.372986,97.972534
0.149353,-1.228149,8.278854,1.84668,8.570765,77.557327,98.438156
0.1543579,-1.282013,8.679886,1.755707,8.947988,78.684441,98.401802
0.1593323,-1.44722,8.359055,1.84668,8.682077,77.71936,99.822365
0.1643066,-1.503479,7.876633,1.911316,8.243478,76.593521,100.806534
0.169281,-1.563339,7.82515,1.783234,8.176608,77.403145,101.298027
0.1742554,-1.58847,7.806,1.765274,8.159232,77.505081,101.502266
0.1792297,-1.610016,7.874237,1.839493,8.244967,77.108536,101.555779
0.1842041,-1.58847,7.94725,1.938858,8.333138,76.545776,101.303139
0.189209,-1.548965,7.975983,1.928085,8.350636,76.650475,100.99025
0.1941833,-1.54657,7.986755,1.898163,8.353631,76.866188,100.959221
0.1991577,-1.559738,8.02507,1.862244,8.384658,77.167519,100.998779
0.2041321,-1.54538,8.074142,1.876602,8.432178,77.140999,100.835289
0.2091064,-1.450806,8.058594,1.867035,8.398309,77.155205,100.205757
0.2140808,-1.359833,8.06218,1.899353,8.393773,76.921768,99.57386
0.2190857,-1.282013,8.015488,1.896957,8.336069,76.846527,99.087036
0.2240601,-1.25209,7.950851,1.911316,8.272659,76.641685,98.949371
0.2290344,-1.260468,7.985565,1.952026,8.316756,76.425468,98.969749
0.2340088,-1.274841,8.015488,1.984344,8.35529,76.261223,99.037041
0.2389831,-1.278427,8.019089,1.992722,8.361286,76.212173,99.058037
0.2439575,-1.27005,8.023865,1.999908,8.366305,76.169922,98.994392
0.2489624,-1.272446,8.039429,1.972382,8.375072,76.378532,98.993919
0.2539368,-1.337082,8.054993,1.962799,8.397814,76.483383,99.424828
0.2589111,-1.316727,8.00592,1.959213,8.346679,76.424309,99.339775
0.2638855,-1.304764,7.962814,2.009491,8.31546,76.015633,99.305626
0.2688599,-1.304764,7.94606,1.98793,8.294224,76.132553,99.324905
0.2738342,-1.310745,7.943665,1.974777,8.289729,76.218506,99.369667
0.2788391,-1.334686,7.940079,1.941254,8.282192,76.444397,99.541924
0.2838135,-1.335892,7.956833,1.934067,8.296771,76.519714,99.53064
0.2887878,-1.361023,7.973587,1.946045,8.31971,76.472748,99.686546
0.2937622,-1.384964,7.936478,1.952026,8.289524,76.380013,99.898788
0.2987366,-1.431656,7.936478,1.966385,8.300842,76.296951,100.225578
0.3037414,-1.382568,7.943665,1.924484,8.289568,76.57588200000001,99.873238
0.3087158,-1.432846,7.950851,1.92688,8.305537,76.585182,100.21579
0.3136902,-1.474747,8.011902,1.932877,8.372663,76.65255,100.429657
0.3186645,-1.463974,7.995148,1.940048,8.356399,76.575539,100.376358
0.3236389,-1.48912,8.008316,1.937653,8.372879,76.619308,100.533661
0.3286438,-1.531021,8.015488,1.917313,8.38261,76.777977,100.81369
0.3336182,-1.564529,7.999924,1.937653,8.378606,76.628624,101.065559
0.3385925,-1.580093,7.997528,1.911316,8.373188,76.804985,101.176147
0.3435669,-1.571716,7.990356,1.931671,8.369435,76.655785,101.128105
0.3485412,-1.547775,7.950851,1.942444,8.32975,76.514839,101.015877
0.3535156,-1.544174,7.972397,1.930481,8.346876,76.627449,100.961891
0.35849,-1.556152,7.934082,1.971176,8.322067,76.29863,101.096855
0.3634644,-1.521439,7.919724,1.959213,8.299115,76.345001,100.874466
0.3684387,-1.522629,7.924515,1.989136,8.311016,76.152573,100.87635
0.3734436,-1.534607,7.938873,1.98555,8.326051,76.203484,100.940506
0.378418,-1.515457,7.975983,1.975967,8.355679,76.321007,100.75811
0.3833923,-1.440033,7.971207,1.958008,8.333524,76.410995,100.24028
0.3883667,-1.46756,7.973587,1.977158,8.345117,76.294945,100.428726
0.393341,-1.46637,7.954437,1.984344,8.328321,76.215858,100.444992
0.3983154,-1.416092,7.993942,1.969986,8.353997,76.360413,100.045486
0.4032898,-1.456787,7.981979,1.928085,8.339768,76.632759,100.343185
0.4082947,-1.463974,7.981979,1.962799,8.349119,76.403038,100.393105
0.413269,-1.453201,7.980774,1.950821,8.343276,76.477951,100.319801
0.4182434,-1.44841,7.967606,1.950821,8.329845,76.455734,100.303139
0.4232177,-1.404114,7.989151,1.96759,8.346825,76.365387,99.968079
0.4282227,-1.441238,7.978378,1.971176,8.343694,76.334831,100.239655
0.433197,-1.380173,7.950851,1.989136,8.311292,76.153038,99.847733
0.4381714,-1.401733,7.973587,1.954422,8.328427,76.427902,99.970551
0.4431458,-1.394547,8.007111,1.954422,8.359327,76.479027,99.879738
0.4481201,-1.404114,7.989151,1.940048,8.340375,76.549263,99.968079
0.4530945,-1.411301,7.949646,1.971176,8.311088,76.280174,100.066833
0.4580688,-1.442429,7.931702,1.969986,8.298996,76.268257,100.306953
0.4630432,-1.437637,7.961624,1.991531,8.331894,76.170998,100.235649
0.4680481,-1.449615,7.94606,2.020264,8.326027,75.957336,100.338882
