Keuwl Accelerometer Data File,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-03-20 15-29-23,,,,,,
,,,,,,
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0,-3.931317,9.042133,0.380668,9.867134,87.789009,113.498322
0.004,-3.995923,9.025384,0.215574,9.872762,88.748833,113.88102
0.008,-3.993538,8.996663,0.30889,9.848031,88.202583,113.936005
0.012,-4.096422,8.958385,0.430918,9.85997,87.495163,114.573311
0.016,-4.266314,9.027768,0.289756,9.989294,88.337807,115.294334
0.02,-4.419457,9.008634,0.284967,10.038341,88.373276,116.131653
0.024,-4.486456,8.865059,0.299323,9.940179,88.274422,116.843201
0.028,-4.534311,8.853097,0.292141,9.951013,88.317673,117.12027
0.032,-4.577378,8.941635,0.182074,10.046809,88.961594,117.108696
0.036,-4.531918,8.92249,0.081575,10.007785,89.532967,116.926956
0.04,-4.295025,9.042133,0.103113,10.010897,89.409836,115.407784
0.044,-4.115566,8.920096,0.220362,9.826219,88.714981,114.767715
0.048,-3.818857,8.991884,0.423735,9.778405,87.51638,113.010948
0.052,-3.529321,8.932057,0.533811,9.618873,86.818665,111.560448
0.056,-3.546071,9.030163,0.217968,9.703916,88.712921,111.439529
0.06,-3.529321,9.159383,0.258641,9.819231,88.490639,111.072823
0.064,-3.522148,9.130662,0.318467,9.791626,88.136162,111.094093
0.068,-3.440794,9.164161,0.428524,9.79819,87.49337,110.579247
0.072,-3.409688,9.156988,0.526629,9.785384,86.91497,110.423271
0.076,-3.464716,9.171344,0.550561,9.819415,86.78582,110.695374
0.08,-3.522148,9.192882,0.473985,9.855926,87.243507,110.963768
0.084,-3.622648,9.307737,0.438101,9.997474,87.488426,111.266396
0.088,-3.598715,9.381909,0.328034,10.053784,88.130226,110.985825
0.092,-3.474293,9.432159,0.35914,10.058098,87.953728,110.221046
0.096,-3.323545,9.453697,0.430918,10.030156,87.537689,109.369652
0.1,-3.313968,9.413014,0.512273,9.992479,87.061394,109.395248
0.104,-3.419255,9.362765,0.440485,9.97731,87.469643,110.06205
0.108,-3.488649,9.365159,0.368717,10.000641,87.887062,110.431046
0.112,-3.565215,9.307737,0.306506,9.971894,88.238625,110.958733
0.116,-3.625042,9.214411,0.251468,9.905025,88.545227,111.475174
0.12,-3.632215,9.188094,0.265823,9.883558,88.458817,111.569756
0.124,-3.514966,9.250304,0.337611,9.901368,88.045982,110.805977
0.128,-3.488649,9.154593,0.258641,9.800211,88.487709,110.860931
0.132,-3.3714,9.192882,0.320861,9.796855,88.123146,110.140022
0.136,-3.304401,9.113913,0.433312,9.704135,87.440758,109.928955
0.14,-3.239795,9.128267,0.507485,9.699437,87.000854,109.540741
0.144,-3.342689,9.125883,0.500312,9.731682,87.053093,110.117104
0.148,-3.426438,9.154593,0.442879,9.784845,87.405807,110.52018
