Keuwl Accelerometer Data File,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-03-20 14-55-17,,,,,,
,,,,,,
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0,-3.25894,9.190488,0.177286,9.752804,88.958427,109.524467
0.004,-3.101008,9.180911,0.160536,9.691809,89.050903,108.663269
0.008,-3.086653,9.221594,0.225141,9.727071,88.673721,108.506432
0.012,-3.043586,9.23595,0.227535,9.727176,88.65963,108.23896
0.0160219,-2.998115,9.26466,0.150969,9.73886,89.111786,107.931984
0.02,-2.947866,9.271843,0.16293,9.730546,89.040581,107.637405
0.024,-2.96701,9.343621,0.191641,9.805261,88.880096,107.616928
0.028,-2.935904,9.360371,0.119863,9.810731,89.299965,107.414169
0.032,-2.890443,9.470448,0.105508,9.902281,89.389511,106.972534
0.036,-2.828232,9.463264,0.122258,9.877612,89.290817,106.639526
0.04,-2.864116,9.513514,0.083969,9.935651,89.51577,106.754822
0.0440016,-2.844982,9.417803,0.098325,9.838628,89.427391,106.808807
0.0480016,-2.885655,9.484803,0.040903,9.91414,89.763618,106.921844
0.052,-2.897616,9.446515,0.139007,9.88191,89.194,107.052826
0.0560016,-2.988548,9.446515,0.06722,9.908208,89.61129,107.555557
0.06,-3.017259,9.451303,0.079181,9.921555,89.542732,107.705307
0.064,-3.043586,9.420197,0.060037,9.899856,89.652534,107.905205
0.068,-3.050759,9.408237,0.045681,9.890609,89.735367,107.966049
0.072,-3.201507,9.422592,0.083969,9.951982,89.516563,108.766182
0.076,-3.187152,9.451303,0.060037,9.9744,89.655128,108.635048
0.08,-3.203902,9.480014,0.074393,10.007056,89.574059,108.673393
0.084,-3.227834,9.42737,0.06722,9.964875,89.613503,108.900673
0.088,-3.215863,9.401053,0.122258,9.936625,89.295029,108.884521
0.092,-3.17519,9.31491,0.129431,9.842059,89.246498,108.8228
0.096,-3.287651,9.307737,0.14618,9.872385,89.151588,109.454086
0.1,-3.294833,9.252699,0.158142,9.823104,89.07756,109.600525
0.104,-3.235007,9.250304,0.220362,9.802141,88.711823,109.275703
0.108,-3.278084,9.283805,0.21318,9.847858,88.759605,109.447975
0.112,-3.220651,9.276632,0.237112,9.822664,88.616783,109.145927
0.116,-3.196719,9.24791,0.263429,9.788374,88.45784,109.068695
0.12,-3.17519,9.355592,0.220362,9.88218,88.72226,108.746674
0.124,-3.127335,9.334054,0.174892,9.845576,88.982178,108.523209
0.128,-3.089047,9.353198,0.186863,9.851875,88.913193,108.276657
0.132,-3.053153,9.396265,0.072008,9.880118,89.582413,108.000671
0.136,-3.065114,9.403447,0.072008,9.890649,89.582863,108.053711
0.14,-3.04598,9.448908,0.119863,9.928455,89.308266,107.867409
0.144,-3.026836,9.448908,0.103113,9.922411,89.404572,107.762192
0.148,-2.971798,9.458486,0.038508,9.914434,89.777458,107.442398
0.152,-2.986154,9.441735,0.055258,9.902855,89.68029,107.55069
0.156,-3.036403,9.403447,-0.026097,9.88156,90.151314,107.895439
0.16,-3.07948,9.403447,0.045681,9.894954,89.735489,108.132797
0.164,-3.127335,9.441735,0.045681,9.94629,89.736855,108.326141
0.168,-3.136902,9.396265,0.081575,9.906392,89.528183,108.461365
0.172,-3.239795,9.453697,0.141392,9.994431,89.189407,108.916656
0.176,-3.251757,9.367554,0.040903,9.915979,89.763657,109.14341
0.18,-3.196719,9.310122,0.076787,9.843946,89.553062,108.950401
0.184,-3.189546,9.350803,0.083969,9.880171,89.513046,108.834435
0.188,-3.146479,9.353198,0.191641,9.870125,88.887459,108.593285
0.192,-3.007692,9.341236,0.103113,9.814048,89.397995,107.847527
0.196,-2.99573,9.374737,0.100719,9.842268,89.413666,107.721466
0.2,-2.962231,9.379515,0.165324,9.837552,89.037071,107.527115
0.204,-2.959837,9.365159,0.093537,9.822199,89.454361,107.539017
0.208,-2.902405,9.355592,0.105508,9.796029,89.382889,107.235565
0.212,-2.976586,9.436947,0.115075,9.895923,89.333717,107.506233
0.216,-2.986154,9.360371,0.177286,9.826754,88.966263,107.693771
0.22,-3.038797,9.429765,0.127036,9.908122,89.265366,107.861839
0.224,-3.026836,9.468053,0.160536,9.941405,89.074738,107.728523
0.228,-3.067509,9.372342,0.107892,9.862152,89.373169,108.122948
0.232,-3.122547,9.372342,0.19643,9.880774,88.860886,108.426323
0.236,-3.086653,9.417803,0.210786,9.912965,88.781593,108.146378
0.24,-3.055547,9.405842,0.110287,9.890318,89.361084,107.996719
0.244,-3.091441,9.413014,0.117469,9.908362,89.320709,108.18132
0.248,-3.09623,9.384304,0.131825,9.882772,89.235718,108.259636
0.252,-3.06273,9.317304,0.139007,9.808761,89.187988,108.196426
0.256,-3.112979,9.41062,0.174892,9.913676,88.989166,108.303917
0.26,-3.117758,9.401053,0.119863,9.905281,89.306648,108.347549
0.264,-3.146479,9.398659,0.103113,9.9119,89.403938,108.509491
0.268,-3.081864,9.355592,0.170113,9.851595,89.010597,108.232613
0.272,-3.069903,9.374737,0.117469,9.865282,89.317741,108.131836
0.276,-3.103403,9.417803,0.112681,9.916593,89.348946,108.23835
0.28,-3.084259,9.396265,0.134219,9.890423,89.222435,108.172066
0.2840016,-3.089047,9.441735,0.115075,9.934879,89.336334,108.116516
0.288,-3.101008,9.386697,0.158142,9.886928,89.083511,108.281593
0.292,-3.108191,9.439342,0.076787,9.938205,89.557304,108.225708
0.296,-3.151258,9.357986,0.060037,9.87451,89.651642,108.61071
0.3,-3.031615,9.424985,0.086364,9.900933,89.500214,107.830765
0.304,-3.067509,9.484803,0.153363,9.969686,89.118591,107.921883
0.308,-2.993336,9.501553,0.095931,9.962367,89.448273,107.486336
0.312,-3.06273,9.530264,0.160536,10.011594,89.081223,107.815788
0.316,-3.038797,9.463264,0.112681,9.939837,89.350464,107.802612
0.3200016,-2.971798,9.465658,0.105508,9.921763,89.390709,107.429985
0.3240016,-2.955048,9.322093,0.081575,9.77959,89.522072,107.58831
0.328,-2.964616,9.319698,0.122258,9.780627,89.283783,107.645973
0.332,-2.986154,9.310122,0.117469,9.778,89.311653,107.783264
0.336,-3.060336,9.300554,0.081575,9.791456,89.522652,108.213722
0.34,-3.089047,9.360371,0.14618,9.857998,89.150352,108.26358
0.3440016,-3.129729,9.367554,0.153363,9.877742,89.110382,108.47464
0.348,-3.15844,9.391486,0.139007,9.909344,89.196236,108.588249
0.3520015,-3.17519,9.41062,0.153363,9.933031,89.115334,108.644653
0.3560016,-3.148864,9.453697,0.069614,9.964566,89.599724,108.422028
0.36,-3.189546,9.432159,0.119863,9.95757,89.310287,108.683296
0.364,-3.199113,9.381909,0.136613,9.913284,89.210396,108.828728
0.3680016,-3.203902,9.424985,0.100719,9.955173,89.420311,108.774803
0.372,-3.215863,9.398659,0.081575,9.933943,89.529495,108.888992
0.3760016,-3.168008,9.355592,0.064825,9.87763,89.62397,108.707222
0.38,-3.189546,9.34841,0.076787,9.877847,89.554596,108.838921
0.384,-3.132114,9.317304,0.127036,9.830484,89.259567,108.580635
0.3880016,-3.127335,9.336449,0.127036,9.847114,89.260811,108.518776
0.3920016,-3.120152,9.346016,0.091142,9.853511,89.470024,108.461502
0.396,-3.127335,9.33166,0.136613,9.842701,89.204727,108.527634
0.4,-3.170402,9.415409,0.131825,9.935731,89.239792,108.609657
0.404,-3.15844,9.439342,0.055258,9.953892,89.681923,108.500443
0.408,-3.144085,9.310122,0.136613,9.827629,89.203506,108.660141
0.4120016,-3.163219,9.429765,0.055258,9.94633,89.681686,108.544052
0.416,-3.120152,9.362765,0.122258,9.869736,89.290253,108.43071
0.42,-3.110585,9.403447,0.119863,9.905298,89.306648,108.303802
0.424,-3.165613,9.415409,0.112681,9.933969,89.350082,108.583481
0.428,-3.141691,9.362765,0.091142,9.876229,89.471237,108.549263
0.432,-3.156046,9.355592,0.150969,9.874742,89.124008,108.641479
0.436,-3.101008,9.381909,0.131825,9.881996,89.235657,108.290298
0.44,-3.101008,9.379515,0.160536,9.880148,89.069,108.294662
0.444,-3.084259,9.432159,0.191641,9.925472,88.893661,108.10743
0.448,-3.067509,9.408237,0.119863,9.896408,89.30603,108.058296
0.452,-3.048365,9.422592,0.074393,9.903701,89.569611,107.927254
0.456,-3.017259,9.468053,0.122258,9.937949,89.295128,107.675934
0.46,-3.017259,9.365159,0.134219,9.840126,89.21846,107.857857
0.4640016,-3.034009,9.381909,0.177286,9.86189,88.969948,107.920654
0.4680015,-3.069903,9.391486,0.119863,9.881228,89.304962,108.101608
0.472,-3.017259,9.396265,0.093537,9.869266,89.45697,107.802483
0.476,-3.105797,9.353198,0.093537,9.855812,89.456223,108.369118
0.48,-3.093835,9.384304,0.093537,9.881585,89.457642,108.246452
0.484,-3.093835,9.319698,0.095931,9.820274,89.440285,108.364479
0.4880016,-3.122547,9.401053,0.086364,9.906441,89.500496,108.373833
0.492,-3.211084,9.417803,0.107892,9.950765,89.378754,108.827271
0.496,-3.25894,9.436947,0.043287,9.983913,89.751579,109.051758
0.5,-3.251757,9.379515,0.100719,9.927707,89.418709,109.120773
0.504,-3.213469,9.389091,0.055258,9.923934,89.680969,108.893799
0.508,-3.218257,9.398659,0.06722,9.93461,89.61232,108.902061
0.512,-3.239795,9.424985,0.088758,9.966669,89.489746,108.970177
0.516,-3.254151,9.489591,0.093537,10.032476,89.465805,108.927765
0.52,-3.256545,9.49437,0.139007,10.038301,89.206558,108.931839
0.524,-3.38815,9.573339,0.153363,10.156373,89.134789,109.489639
0.528,-3.479072,9.547013,0.105508,10.161719,89.405098,110.022484
0.532,-3.61307,9.532659,0.17968,10.195987,88.990242,110.757721
0.536,-3.689647,9.506341,0.107892,10.197826,89.393806,111.212471
0.54,-3.735108,9.46087,0.153363,10.172641,89.136177,111.543877
0.544,-3.687253,9.413014,0.136613,10.110358,89.225784,111.391205
0.548,-3.615465,9.353198,0.134219,10.028555,89.233147,111.133934
