X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
-0.459687,8.580819,0.766145,84.905106
0.0001,8.734048,1.072602,82.998734
0.306458,8.580819,1.225831,81.875008
0.306458,8.42759,1.532289,79.701813
0.919373,8.580819,1.838747,77.972061
2.145205,9.959879,2.604892,75.658127
3.217807,10.266336,2.75812,75.621346
3.524265,10.113108,3.064578,74.031387
3.677494,9.959879,3.217807,73.139137
3.983952,9.80665,3.217807,73.090897
4.13718,10.113108,3.217807,73.590706
4.443638,10.419566,3.217807,74.141785
4.596867,10.572795,2.75812,76.545685
3.830723,10.572795,2.604892,76.957962
3.371036,10.113108,2.604892,76.268417
2.298434,9.959879,2.604892,75.703011
1.838747,9.653421,2.451663,75.991646
1.37906,9.500193,2.298434,76.535362
1.225831,9.346964,1.991976,78.068611
0.919373,9.500193,1.991976,78.211449
0.766145,9.346964,1.991976,78.008446
0.306458,9.346964,1.532289,80.694969
-1.072602,9.500193,2.145205,77.353386
-1.838747,13.024457,3.371036,75.625488
-1.991976,14.250289,0.766145,86.952118
1.072602,13.177686,1.991976,81.431999
1.838747,9.193734,3.371036,70.224144
2.451663,8.734048,3.371036,69.614807
2.911349,9.500193,2.75812,74.486366
2.298434,11.032481,2.451663,77.726479
1.225831,10.726024,1.225831,83.522003
-2.451663,10.113108,0.306458,88.313126
-3.524265,9.500193,0.0001,89.999435
-3.983952,8.121132,-0.459687,92.909172
-3.830723,7.661446,-0.306458,92.049004
-2.298434,7.661446,0.0001,89.999283
-1.225831,9.346964,0.0001,89.99939
0.0001,10.113108,-0.306458,91.735703
1.072602,10.726024,-0.459687,92.441864
1.225831,10.726024,-0.766145,94.05928
0.766145,10.113108,-0.919373,95.179665
0.459687,9.500193,-1.072602,96.434135
0.612916,9.653421,-1.685518,99.884674
0.919373,9.959879,-1.838747,100.416603
1.225831,10.113108,-1.838747,100.23156
1.072602,10.113108,-1.685518,99.410492
0.766145,9.80665,-1.37906,97.980728
-0.919373,9.346964,-1.37906,98.353188
-1.838747,8.887277,-1.532289,99.583328
-2.451663,8.887277,-0.612916,93.803558
-3.524265,9.040505,-0.459687,92.712357
-3.983952,9.346964,-0.306458,91.7276
-4.29041,9.500193,-0.306458,91.68396
-4.29041,9.500193,0.0001,89.999451
-3.830723,9.500193,-0.306458,91.713631
-3.217807,9.500193,-0.306458,91.750015
-2.75812,9.653421,-0.459687,92.621559
-1.991976,9.653421,-0.459687,92.670143
-1.838747,9.80665,-0.459687,92.637871
-1.685518,9.653421,-1.37906,98.010521
-1.532289,9.80665,-1.838747,100.495193
-1.225831,9.959879,-1.991976,101.227394
-0.919373,9.80665,-2.298434,103.135025
-0.766145,9.80665,-2.145205,102.30275
-0.766145,9.80665,-1.991976,101.448036
-0.766145,9.80665,-1.37906,97.980728
-0.919373,9.80665,-1.225831,97.094231
-1.072602,9.653421,-0.919373,95.407257
-1.225831,9.653421,-0.766145,94.50177
-1.532289,9.653421,-0.919373,95.373459
-1.532289,9.80665,-1.072602,96.167664
-1.685518,9.80665,-1.225831,97.023087
-2.145205,9.653421,-1.37906,97.938995
-2.145205,9.653421,-1.532289,98.807953
-1.991976,9.80665,-1.532289,98.705681
-1.991976,9.80665,-1.532289,98.705681
-1.838747,9.653421,-1.37906,97.98838
-1.532289,9.80665,-1.225831,97.040466
-1.225831,9.653421,-0.919373,95.397247
-1.225831,9.346964,-0.919373,95.570183
-1.072602,9.346964,-0.612916,93.727341
-1.072602,9.346964,-0.459687,92.797226
-0.766145,9.653421,-0.459687,92.717781
-0.612916,9.653421,-0.612916,93.625671
-0.766145,9.500193,-0.612916,93.679474
-0.766145,9.346964,-0.459687,92.80616
-0.459687,9.346964,-0.306458,91.87561
0.0001,9.500193,-0.306458,91.84761
0.459687,9.346964,-0.306458,91.87561
0.459687,9.346964,-0.459687,92.812164
-0.306458,9.346964,-0.459687,92.814049
-0.919373,9.193734,-0.612916,93.795204
-1.838747,9.040505,-0.766145,94.747261
-3.524265,9.500193,-1.532289,98.599136
-3.677494,9.346964,-1.991976,101.217201
-3.371036,9.193734,-2.145205,102.356644
-2.911349,9.193734,-1.991976,101.670738
-2.298434,9.193734,-1.37906,98.27964
