X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
-1.198227,7.953247,2.18187,74.822334
-1.19223,7.973587,2.239334,74.477036
-1.186249,7.985565,2.203415,74.734077
-1.163498,8.015488,2.189056,74.875961
-1.167099,8.029861,2.196228,74.854996
-1.156326,8.02507,2.187851,74.898956
-1.139557,8.019089,2.212997,74.718536
-1.140762,8.007111,2.220169,74.650238
-1.086884,8.011902,2.222565,74.629608
-1.056961,7.973587,2.220169,74.569115
-1.056961,7.942474,2.232147,74.433052
-1.009079,7.948456,2.214188,74.551849
-0.987534,7.953247,2.234543,74.420532
-0.962387,7.94725,2.226166,74.459488
-0.896545,7.942474,2.240524,74.34108
-0.861832,7.967606,2.26207,74.237648
-0.85585,7.986755,2.287216,74.105911
-0.830704,8.008316,2.284821,74.156944
-0.798386,8.034653,2.305176,74.066055
-0.817535,8.088516,2.330307,74.005569
-0.786423,8.130417,2.337494,74.030769
-0.807968,8.14119,2.325516,74.132111
-0.835495,8.198654,2.327911,74.226326
-0.891754,8.223785,2.318344,74.343712
-0.959991,8.2202,2.290802,74.527992
-1.007874,8.268082,2.330307,74.369827
-1.054565,8.288437,2.315948,74.507446
-1.109634,8.295609,2.297989,74.646797
-1.19223,8.309982,2.308762,74.623009
-1.240112,8.283646,2.284821,74.741898
-1.329895,8.259705,2.286011,74.71714
-1.411301,8.269272,2.311157,74.596916
-1.449615,8.278854,2.294403,74.731033
-1.502289,8.265686,2.306366,74.648705
-1.564529,8.278854,2.295593,74.759064
-1.651917,8.226181,2.297989,74.683266
-1.718964,8.199844,2.236938,75.050819
-1.801559,8.162735,2.175888,75.409721
-1.910492,8.06337,2.131592,75.574371
-1.983521,7.966415,2.080109,75.781952
-2.135544,7.849091,2.056168,75.814278
-2.256454,7.712631,2.009491,75.96035
-2.335464,7.636017,1.974777,76.109169
-2.406097,7.570175,1.843094,76.936836
-2.523407,7.477997,1.765274,77.392105
-2.651505,7.354691,1.658737,78.021324
-2.852615,7.296036,1.586914,78.548508
-3.014221,7.166748,1.506699,79.032478
-3.089645,7.070984,1.440857,79.423325
-3.169846,6.971619,1.41333,79.543938
-3.32666,6.871063,1.312775,80.24263
-3.399689,6.786072,1.182281,81.146324
-3.478699,6.814804,1.136795,81.54911
-3.540939,6.844727,1.104477,81.843941
-3.531372,6.999161,1.110458,81.937805
-3.443985,7.158371,1.149963,81.762909
-3.368561,7.300827,1.250519,81.159729
-3.348206,7.414551,1.293625,80.965027
-3.309906,7.442078,1.292419,80.983612
-3.151886,7.395401,1.361847,80.385147
-2.955566,7.337936,1.407349,79.912483
-2.701782,7.29364,1.457626,79.385635
-2.426437,7.207443,1.634796,77.868004
-2.210968,7.110489,1.80838,76.34964
-2.054153,7.179916,1.969986,75.222519
-1.997879,7.15239,2.123215,74.044273
-1.930847,7.049438,2.147156,73.629044
-1.826691,7.064987,2.190247,73.293182
-1.675858,7.13562,2.313553,72.482338
-1.432846,7.256531,2.372208,72.218216
-1.185059,7.285263,2.422485,71.829918
-0.912109,7.424118,2.453613,71.839172
-0.588898,7.560593,2.538605,71.491821
-0.277649,7.606079,2.536209,71.57074
-0.002319,7.765305,2.687042,70.91275
0.298157,7.990356,2.869003,70.261581
0.502853,8.198654,3.047379,69.645378
0.617783,8.520676,3.165878,69.666313
0.726715,9.004303,3.281998,70.033371
0.772202,9.407715,3.285599,70.808296
0.815308,9.711777,3.365799,70.947441
0.741089,9.881775,3.357422,71.283234
0.580673,9.930847,3.289185,71.703835
0.423859,9.960785,3.23053,72.046036
0.255066,9.936844,3.097656,72.691307
0.086273,9.787201,3.024628,72.827431
-0.080124,9.687836,3.003082,72.777908
-0.242935,9.50827,3.011459,72.431343
-0.429688,9.338287,3.006668,72.170555
-0.622421,9.131195,2.995895,71.874916
-0.710999,8.949234,2.940826,71.862244
-0.829514,8.754105,2.938431,71.52211
-0.950424,8.548203,2.85704,71.624535
-0.987534,8.327942,2.795975,71.561699
-1.047379,8.160339,2.81514,71.110519
