X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
4.407725,7.935582,-0.147243,90.929291
4.416105,7.788338,-0.262165,91.677238
4.298789,7.807492,-0.015562,90.100044
4.314352,9.060856,2.261323,77.301582
4.036624,13.164518,4.809951,70.744698
2.602497,17.181988,4.894945,74.268776
-0.320823,16.983271,5.057751,73.418854
-3.979163,13.63857,4.584896,72.11425
-6.443994,10.002975,4.163517,70.714714
-7.179014,7.668628,4.040215,68.962517
-5.546168,7.363368,3.41054,69.697014
-2.110489,7.762002,1.808819,77.326653
2.240973,8.192958,0.229843,88.449966
6.260838,9.106346,0.336385,88.256485
7.981071,9.636662,0.290895,88.668205
8.040926,9.728839,-0.069432,90.315178
7.116765,9.43076,-0.402226,91.949852
5.622783,8.905233,-0.770933,94.186615
4.07134,8.7125,-0.593762,93.533066
2.505532,8.883685,-0.319626,91.983253
1.229423,9.324219,-0.319626,91.946449
0.488417,9.709685,-0.577003,93.396545
0.957681,9.956287,-0.32202,91.843987
1.912967,9.819818,-0.336385,91.925774
2.698265,9.483433,-0.502782,92.919159
3.563769,9.317036,-0.166397,90.95565
4.059369,9.234436,0.035913,89.796013
4.048595,9.101558,-0.35913,92.064743
3.758897,9.075222,-0.537498,93.132042
3.758897,9.075222,-0.537498,93.132042
3.527856,9.269152,-0.260968,91.507278
3.124433,9.500193,-0.104148,90.596657
2.632425,9.718064,-0.04549,90.258865
2.124854,9.797073,0.160412,89.083267
1.340753,9.694122,-0.23104,91.352409
0.804452,9.690532,-0.384269,92.263046
0.442927,9.613917,-0.503979,92.997627
0.519542,9.661801,-0.253785,91.502464
0.386664,9.5385,-0.517148,93.100815
0.562637,9.482236,-0.357933,92.157967
1.010353,9.436746,0.089783,89.457993
1.359907,9.320627,0.331597,87.983795
1.805228,9.211691,0.599748,86.344231
2.003947,9.095572,0.482432,87.034843
2.613271,9.283517,1.276109,82.462563
2.707842,9.300277,1.18513,83.024582
2.432509,9.271546,0.760159,85.465683
2.024297,9.295488,0.282516,88.299004
1.711854,9.374496,0.039504,89.762482
1.514333,9.443929,-0.281319,91.684731
1.316811,9.448717,-0.742203,94.448578
1.58137,9.645041,-0.372298,92.181419
1.727417,9.756371,-0.185551,91.072861
1.702277,9.724051,-0.389058,92.256889
2.059013,9.781511,0.014365,89.917656
2.33315,9.690532,0.198719,88.857857
2.384625,9.522937,0.093374,89.455048
2.73777,9.508572,0.641646,86.289772
2.974796,9.471462,0.970849,84.414658
2.905364,9.460688,0.995988,84.253227
2.958036,9.49301,1.255759,82.80204
2.61806,9.397242,0.894234,84.762436
2.337938,9.3733,1.018733,83.980194
1.999158,9.25359,0.752976,85.452477
1.968034,9.338584,1.036689,83.800529
1.740585,9.343372,0.837971,84.961304
1.482011,9.321824,0.646434,86.082146
1.448492,9.39365,0.596156,86.410973
1.448492,9.470264,0.642843,86.161217
1.315614,9.544485,0.670376,86.019821
0.979228,9.5385,0.324414,88.062241
0.985214,9.660604,0.502782,87.036095
1.092953,9.751583,0.718261,85.81356
0.902614,9.652225,0.486023,87.129898
1.015141,9.674969,0.632069,86.282509
0.927753,9.526528,0.263362,88.423904
0.979228,9.436746,0.208296,88.742279
1.323994,9.56723,0.762553,85.485733
1.553837,9.619903,1.069011,83.73951
1.553837,9.619903,1.383849,81.917358
1.713051,9.65821,1.383849,81.969704
1.719037,9.639056,1.383849,81.955284
1.607706,9.561244,1.098939,83.533371
1.619677,9.563639,1.198298,82.957466
1.383849,9.496601,0.899023,84.648239
1.389834,9.5385,1.175553,83.046822
1.309628,9.555259,1.211466,82.840523
1.219846,9.488221,1.082179,83.545914
1.312023,9.533711,1.371878,81.886925
1.11091,9.435549,1.080982,83.508858
0.915782,9.385271,0.705092,85.723816
0.797269,9.31943,0.484826,87.032799
0.885855,9.385271,0.521936,86.830986
0.76375,9.363723,0.29329,88.211906
0.684742,9.36492,0.308852,88.116112
0.556652,9.325416,0.080206,89.508102
0.571017,9.41041,0.411803,87.498909
0.857124,9.619903,1.052252,83.782082
0.934936,9.700109,1.187524,83.052246
0.68953,9.576807,0.677559,85.963478
0.617704,9.508572,0.54109,86.749908
