X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
-3.763,10.606,0.007,89.964363
-3.319,10.784,-0.116,90.589027
-3.325,10.987,-0.182,90.90834
-3.508,11.175,-0.297,91.452545
-3.355,11.57,-0.221,91.050995
-3.151,11.842,-0.281,91.313629
-3.048,12.002,-0.51,92.358429
-3.008,12.282,-0.72,93.258881
-2.952,12.451,-1.122,95.011024
-2.802,12.608,-1.315,95.81353
-2.629,12.819,-1.078,94.709351
-2.517,13.034,-0.83,93.577728
-2.214,13.226,-0.52,92.220642
-1.916,13.442,-0.189,90.797493
-1.575,13.82,-0.299,91.231453
-1.061,14.382,-0.478,91.898422
-0.313,14.758,-0.552,92.141579
0.26,14.739,-0.77,92.990082
0.58,14.359,-1.122,94.46434
1.017,13.774,-1.386,95.730515
1.451,12.929,-1.689,97.396858
1.355,11.815,-2.186,100.415512
0.204,10.276,-1.835,100.122719
-1.303,8.729,-1.208,97.7938
-2.938,7.588,-0.054,90.380234
-3.976,6.9,-0.768,95.508514
-3.842,6.978,-2.006,104.134758
-0.055,7.082,-3.316,115.089706
-0.055,7.082,-2.244,107.580811
0.808,6.232,-1.645,104.669128
0.111,5.435,-1.384,104.283638
-0.755,5.867,-1.311,102.496231
-1.595,6.109,-1.086,99.759636
-1.805,6.062,-0.86,97.742905
-1.739,5.815,-0.693,96.513718
-1.662,5.623,-0.63,96.132607
-1.673,5.66,-0.557,95.391235
-1.8,5.882,-0.428,93.980186
-1.98,6.317,-0.376,93.250748
-2.199,6.913,-0.436,93.439461
-2.524,7.593,-0.553,93.953537
-2.981,8.324,-0.727,94.700523
-3.452,9.064,-0.964,95.676025
-3.868,9.657,-1.181,96.476868
-4.426,10.038,-1.472,97.64222
-5.0,10.232,-1.749,98.731178
-5.451,10.29,-1.895,99.243057
-5.664,10.416,-1.978,99.47142
-5.505,10.742,-1.85,98.713737
-5.103,11.003,-1.652,97.756256
-4.793,10.934,-1.371,96.551125
-4.679,10.811,-1.208,95.85498
-4.598,10.875,-1.143,95.529366
-4.485,11.132,-1.137,95.411934
-4.32,11.598,-1.066,94.922821
-4.16,12.123,-0.9,94.016708
-3.977,12.404,-0.733,93.220764
-3.713,12.468,-0.53,92.332977
-3.499,12.477,-0.398,91.759216
-3.401,12.415,-0.336,91.495216
-3.377,12.207,-0.215,90.972519
-3.46,11.947,-0.162,90.746216
-3.519,11.861,-0.117,90.541817
-3.644,11.963,-0.087,90.39859
-3.807,12.158,0.088,89.604248
-3.907,12.27,0.217,89.034561
-3.964,12.081,0.254,88.85556
-3.985,11.67,0.146,89.321678
-4.106,11.113,-0.038,90.183777
-4.22,10.673,-0.188,90.938454
-4.025,10.508,-0.436,92.218925
-2.582,10.918,0.036,89.816147
-2.582,10.918,0.036,89.816147
-2.034,11.089,0.153,89.222481
-1.599,11.075,0.103,89.472618
-1.202,10.883,-0.249,91.302765
-0.751,10.65,-5.109,115.572517
5.995,11.352,-4.313,108.570404
8.535,17.336,-1.13,93.346794
2.364,12.411,0.321,88.544579
-0.841,8.388,2.513,73.400673
-1.441,8.18,2.262,74.765816
-1.214,10.563,0.149,89.197136
-3.341,12.292,-2.395,100.648476
-5.923,11.915,-4.993,110.568336
-5.168,11.001,-2.806,102.99968
-3.998,9.927,-1.309,96.973518
-2.152,9.401,0.682,85.954987
-0.168,8.951,1.101,82.988892
0.511,8.666,-0.196,91.293396
0.731,9.269,-1.326,98.116486
0.399,10.508,-1.347,97.299591
-0.936,10.785,-0.707,93.736595
-2.106,10.094,-0.404,92.243706
-1.922,9.396,-0.339,92.024406
-0.734,9.221,-0.603,93.729721
0.254,9.706,-1.128,96.626747
0.878,10.398,-1.258,96.874161
1.022,10.613,-1.299,96.946312
0.587,10.181,-1.632,99.09211
-0.195,9.663,-1.741,100.211472
