X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
-3.983952,8.887277,-2.145205,102.421677
-3.983952,8.887277,-2.145205,102.421677
-3.983952,8.734048,-2.145205,102.596611
-3.983952,8.734048,-2.145205,102.596611
-4.13718,8.734048,-1.991976,101.646454
-4.29041,8.734048,-1.991976,101.568924
-4.29041,8.734048,-1.838747,100.700378
-4.443638,8.580819,-1.991976,101.647881
-4.443638,8.580819,-1.991976,101.647881
-4.443638,8.734048,-1.838747,100.627266
-4.13718,8.887277,-1.838747,100.623459
-4.13718,8.887277,-1.991976,101.486084
-3.983952,8.887277,-1.838747,100.691322
-3.830723,8.887277,-1.838747,100.757858
-3.677494,8.734048,-1.838747,100.980576
-3.830723,8.734048,-1.991976,101.797424
-3.983952,8.734048,-1.991976,101.722664
-4.13718,8.734048,-1.991976,101.646454
-4.13718,8.887277,-1.991976,101.486084
-4.13718,9.040505,-1.991976,101.329544
-3.983952,9.193734,-1.991976,101.244011
-3.983952,9.193734,-1.838747,100.398712
-3.830723,9.193734,-1.838747,100.459908
-3.830723,9.346964,-1.838747,100.316437
-3.830723,9.193734,-1.991976,101.309929
-3.677494,9.346964,-2.145205,102.055679
-3.524265,9.346964,-1.991976,101.277473
-3.371036,9.653421,-1.991976,101.023865
-3.064578,9.80665,-1.838747,100.146523
-2.911349,10.113108,-1.685518,99.099335
-2.75812,10.266336,-1.685518,99.009628
-2.75812,10.572795,-0.766145,94.010857
-2.604892,10.572795,-0.612916,93.221657
-2.298434,10.879252,-0.459687,92.367317
-0.766145,11.18571,-0.306458,91.565689
-0.306458,11.492168,0.0001,89.999504
0.0001,11.645397,0.0001,89.999512
0.0001,11.798626,0.459687,87.768822
0.0001,11.951855,0.919373,85.601295
0.0001,11.951855,1.225831,84.14399
0.0001,11.951855,1.37906,83.418053
0.0001,12.105083,1.685518,82.073074
0.0001,12.258312,1.991976,80.770111
0.0001,12.411542,2.298434,79.508522
0.459687,12.717999,2.451663,79.095825
1.072602,13.177686,2.145205,80.783844
1.37906,13.177686,2.451663,79.516785
0.766145,12.871228,2.298434,79.892845
-1.225831,10.726024,0.0001,89.999466
-3.064578,10.113108,-1.072602,95.795822
-4.596867,7.967903,-1.838747,101.303818
-5.66947,7.814674,-2.911349,106.780647
-7.354988,7.967903,-3.524265,108.004639
-7.661446,8.274361,-4.13718,110.147095
-8.121132,9.653421,-4.750096,110.633354
-8.121132,10.572795,-5.66947,113.038071
-8.121132,11.33894,-5.822699,112.659637
-8.42759,10.879252,-5.975927,113.472687
-8.887277,9.80665,-5.66947,113.189476
-9.653421,8.274361,-5.66947,114.032692
-9.193734,6.895301,-5.363012,115.016891
-8.42759,6.742072,-5.056554,115.104088
-7.661446,6.435614,-4.750096,115.395424
-7.508216,6.129156,-4.443638,114.630173
-7.354988,6.282385,-4.29041,113.919746
-7.201759,6.435614,-4.443638,114.706482
-7.354988,6.129156,-4.596867,115.647446
-7.201759,5.822699,-4.29041,114.856827
-6.895301,5.822699,-4.13718,114.627571
-6.895301,6.129156,-3.830723,112.549568
-6.895301,5.975927,-3.371036,110.276649
-6.435614,5.975927,-3.064578,109.236397
-6.129156,5.975927,-2.604892,106.925011
-5.975927,5.822699,-2.604892,107.338501
-5.975927,5.66947,-2.604892,107.548401
-5.975927,5.975927,-2.451663,106.177185
-5.975927,6.129156,-1.991976,103.099609
-5.209783,6.282385,-1.838747,102.696472
-4.750096,6.282385,-1.685518,102.079445
-4.443638,5.975927,-0.919373,97.03788
-4.443638,5.975927,-0.612916,94.705055
-4.29041,5.975927,-0.459687,93.575562
-3.524265,6.895301,-0.612916,94.525513
-3.371036,7.508216,-0.459687,93.196831
-2.604892,7.814674,-0.306458,92.130608
-1.991976,8.121132,0.0001,89.999313
-1.072602,8.121132,0.919373,83.596329
0.459687,7.661446,1.37906,79.813957
1.37906,7.967903,1.838747,77.189423
1.991976,8.121132,3.064578,69.872383
2.451663,8.42759,3.371036,68.989311
3.217807,9.500193,3.524265,70.640556
4.750096,10.113108,3.677494,71.781662
4.903325,10.113108,3.983952,70.481995
4.596867,9.959879,4.443638,67.947647
3.677494,9.653421,4.29041,67.445526
3.217807,9.500193,3.371036,71.423347
2.911349,9.653421,2.604892,75.514481
