Keuwl Accelerometer Data File
2024-04-22 15:56:04
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-1.805983,9.617352,-0.439681,9.795323,92.572693,100.635361"
"0.0023481,-1.762912,9.607781,-0.449252,9.778504,92.633263,100.397430"
"0.0046961,-1.719841,9.579067,-0.425324,9.741524,92.502380,100.178535"
"0.0070442,-1.609771,9.535996,-0.396610,9.679044,92.348419,99.581764"
"0.0093923,-1.547558,9.521640,-0.358325,9.653235,92.127289,99.231598"
"0.0117404,-1.475773,9.550353,-0.315254,9.668844,91.868469,98.784187"
"0.0140884,-1.466202,9.579067,-0.286541,9.694864,91.693672,98.702332"
"0.0164365,-1.403989,9.626924,-0.291326,9.733125,91.715202,98.297508"
"0.0187845,-1.375275,9.607781,-0.372682,9.712865,92.198975,98.146080"
"0.0211326,-1.403989,9.617352,-0.415753,9.728181,92.449394,98.305649"
"0.0234807,-1.418346,9.622138,-0.348754,9.732362,92.053604,98.385269"
"0.0258287,-1.485345,9.617352,-0.248255,9.734544,91.461342,98.779633"
"0.0281768,-1.480559,9.588638,-0.171685,9.703789,91.013763,98.777588"
"0.0305249,-1.485345,9.583853,-0.181256,9.699965,91.070709,98.809845"
"0.0328730,-1.427917,9.593424,-0.195613,9.701082,91.155396,98.465942"
"0.0352210,-1.413560,9.574282,-0.200399,9.680144,91.186226,98.398552"
"0.0375691,-1.394417,9.555139,-0.190828,9.658235,91.132126,98.302780"
"0.0399172,-1.470988,9.588638,-0.224327,9.703407,91.324707,98.721718"
"0.0422653,-1.523630,9.559925,-0.248255,9.683762,91.469009,99.055458"
"0.0446133,-1.581058,9.564711,-0.324826,9.699945,91.919044,99.386177"
"0.0469614,-1.710270,9.602996,-0.367896,9.761040,92.160004,100.098358"
"0.0493094,-1.719841,9.617352,-0.367896,9.776844,92.156509,100.138855"
"0.0516575,-1.829911,9.612567,-0.382253,9.792657,92.237091,100.778236"
"0.0540056,-1.815554,9.612567,-0.406182,9.790948,92.377625,100.695633"
"0.0563536,-1.839482,9.607781,-0.401396,9.790520,92.349693,100.838547"
