Keuwl Accelerometer Data File
2024-04-30 17:10:56
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,0.641276,8.680264,4.278068,9.698458,63.825401,85.774803"
"0.0025166,0.643669,8.730812,4.313960,9.759695,63.767296,85.783562"
"0.0050331,0.643669,8.745169,4.335495,9.782065,63.691216,85.790459"
"0.0075497,0.643669,8.769096,4.376173,9.821520,63.540195,85.801903"
"0.0100663,0.650848,8.802596,4.419244,9.871120,63.404152,85.771347"
"0.0125833,0.612563,8.850452,4.404887,9.904987,63.594955,86.040726"
"0.0150999,0.557229,8.824132,4.385745,9.869678,63.617249,86.386673"
"0.0176165,0.545264,8.809774,4.385745,9.856175,63.578308,86.458305"
"0.0201331,0.569193,8.740383,4.400102,9.801998,63.326969,86.274033"
"0.0226497,0.578764,8.656335,4.412066,9.733109,63.044079,86.174889"
"0.0251662,0.583550,8.620442,4.380959,9.687382,63.112923,86.127342"
"0.0276829,0.583550,8.663513,4.328317,9.702129,63.504963,86.146538"
"0.0301995,0.593121,8.677871,4.364209,9.731575,63.355164,86.089989"
"0.0327151,0.600299,8.692227,4.366602,9.745891,63.381645,86.049332"
"0.0352317,0.600299,8.702098,4.385745,9.763279,63.307106,86.053802"
"0.0377483,0.622134,8.699705,4.373781,9.757145,63.367615,85.909622"
"0.0402648,0.638884,8.685049,4.342674,9.731242,63.495956,85.792824"
"0.0427814,0.775275,8.433803,4.421637,9.554107,62.432091,84.747864"
"0.0452980,0.825524,8.347362,4.309175,9.430213,62.809265,84.352020"
"0.0478145,0.475873,8.924630,4.234997,9.889928,64.645790,86.947807"
"0.0503311,0.365803,9.092427,4.359424,10.090125,64.402367,87.696144"
"0.0528546,0.499801,9.025428,4.500899,10.097834,63.529999,86.830368"
"0.0553714,0.614955,8.950952,4.503292,10.038793,63.346806,86.069794"
"0.0578881,0.653241,8.869596,4.397709,9.921506,63.688560,85.787804"
"0.0604048,0.665205,8.840881,4.376173,9.887092,63.729160,85.697067"
"0.0629216,0.681954,8.843274,4.385745,9.894610,63.688839,85.590332"
"0.0654383,0.655633,8.893523,4.397709,9.943061,63.749966,85.783760"
"0.0679551,0.681954,8.907881,4.402494,9.959787,63.766720,85.622185"
"0.0704718,0.674776,8.910274,4.409673,9.964613,63.734371,85.669250"
