Keuwl Accelerometer Data File
2024-04-22 15:55:23
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,-1.077000,9.487050,2.143950,9.785733,77.344444,96.476669"
"0.0023920,-0.979050,9.457951,2.214000,9.762846,76.892540,95.909988"
"0.0047840,-0.904950,9.453000,2.226000,9.753626,76.807533,95.468346"
"0.0071761,-0.852000,9.463051,2.197050,9.752039,76.979988,95.144722"
"0.0095681,-0.804000,9.444000,2.175000,9.724515,77.075813,94.866051"
"0.0119603,-0.826050,9.468000,2.187000,9.752351,77.041008,94.986229"
"0.0143523,-0.838050,9.489000,2.187000,9.773763,77.069893,95.047157"
"0.0167443,-0.850050,9.480000,2.223000,9.774186,76.853844,95.123878"
"0.0191364,-0.811950,9.453000,2.215950,9.743146,76.853790,94.909279"
"0.0215284,-0.816000,9.460051,2.203950,9.747605,76.932327,94.929985"
"0.0239204,-0.787950,9.456000,2.187000,9.737544,77.020958,94.763344"
"0.0263126,-0.771000,9.444000,2.167950,9.720267,77.112701,94.667229"
"0.0287046,-0.766050,9.433950,2.143950,9.704781,77.237106,94.642311"
"0.0310967,-0.751950,9.429001,2.167950,9.704200,77.090996,94.559608"
"0.0334887,-0.790050,9.393001,2.163000,9.671153,77.076210,94.807861"
"0.0358807,-0.771000,9.388950,2.137050,9.659908,77.218781,94.694473"
"0.0382729,-0.759000,9.343050,2.130000,9.612782,77.198151,94.644333"
"0.0406649,-0.745050,9.322050,2.113050,9.587528,77.267723,94.569557"
"0.0430569,-0.709050,9.298051,2.095950,9.557693,77.332397,94.360817"
"0.0454490,-0.711000,9.252001,2.062950,9.505830,77.465965,94.394440"
"0.0478410,-0.709050,9.274051,2.038950,9.521979,77.635452,94.372055"
"0.0502333,-0.700950,9.250051,2.056050,9.501690,77.503036,94.333473"
"0.0526253,-0.718050,9.310050,2.086950,9.568071,77.401596,94.410286"
"0.0550173,-0.661050,9.286051,2.137050,9.551686,77.071472,94.071869"
"0.0574093,-0.663000,9.331051,2.131950,9.594440,77.161316,94.064209"
