Keuwl Accelerometer Data File
2024-04-24 17:14:38
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.0000000,0.000057,9.767731,-0.551222,9.783272,93.229942,89.999664"
"0.0049641,0.046428,9.833198,-0.539126,9.848075,93.138191,89.729477"
"0.0099266,-0.036277,9.856775,-0.418918,9.865740,92.433624,90.210869"
"0.0148906,-0.165439,9.834231,-0.569514,9.852098,93.313904,90.963783"
"0.0198531,-0.371159,9.798595,-0.490936,9.817904,92.866219,92.169258"
"0.0248172,-0.498377,9.826235,-0.624120,9.858641,93.629646,92.903496"
"0.0297797,-0.614266,9.796308,-0.797001,9.847851,94.642105,93.587967"
"0.0347422,-0.719822,9.702675,-0.983691,9.778941,95.773308,94.242882"
"0.0397062,-0.759039,9.586230,-1.100184,9.678965,96.526772,94.527237"
"0.0446687,-0.701003,9.670180,-0.905726,9.737768,95.336891,94.146187"
"0.0496328,-0.510214,9.707032,-0.992828,9.771003,95.831863,93.008774"
"0.0545953,-0.526495,9.748558,-1.137705,9.828833,96.646996,93.091393"
"0.0595594,-0.545734,9.794948,-1.044447,9.865582,96.077164,93.188988"
"0.0645219,-0.433073,9.788703,-1.016942,9.850910,95.925392,92.533234"
"0.0694844,-0.488590,9.789307,-0.921432,9.844708,95.370560,92.857292"
"0.0744484,-0.437038,9.693241,-0.851043,9.740338,95.012497,92.581535"
"0.0794109,-0.464284,9.689142,-0.586972,9.718002,93.462799,92.743393"
"0.0843750,-0.358173,9.685945,-0.543254,9.707777,93.207985,92.117752"
"0.0893375,-0.249275,9.754284,-0.594164,9.775542,93.484627,91.463898"
"0.0943016,-0.221157,9.835113,-0.461200,9.848404,92.684135,91.288162"
"0.0992641,-0.313075,9.876513,-0.453874,9.891891,92.629845,91.815613"
"0.1042266,-0.379854,9.801909,-0.542411,9.824252,93.164993,92.219276"
"0.1091906,-0.321675,9.772672,-0.520471,9.791807,93.046921,91.885254"
"0.1141531,-0.419914,9.742246,-0.592718,9.769289,93.478363,92.468056"
"0.1191156,-0.670884,9.748855,-0.659890,9.794168,93.863274,93.936699"
"0.1240797,-0.769391,9.709732,-0.626907,9.760322,93.682655,94.530602"
"0.1290422,-0.877801,9.676348,-0.786332,9.747849,94.626923,95.183464"
"0.1340062,-0.940299,9.787219,-0.783766,9.863474,94.557610,95.487801"
"0.1389688,-0.800477,9.824434,-0.923846,9.900190,95.354401,94.658066"
"0.1439328,-0.679484,9.863556,-1.180591,9.957170,96.809402,93.940788"
"0.1488953,-0.854060,9.828964,-1.376589,9.961574,97.943123,94.966080"
"0.1538594,-1.092551,9.832421,-1.128952,9.957144,96.510262,96.340538"
"0.1588219,-0.733354,10.014563,-1.185072,10.111067,96.730850,94.188217"
"0.1637844,-1.390121,9.841424,-1.413470,10.039121,98.093918,98.039955"
"0.1687484,-1.772954,9.302279,-1.189564,9.544150,97.159851,100.790787"
"0.1737109,-1.070237,8.840954,-1.038203,8.965810,96.649521,96.902328"
"0.1786750,-0.368267,8.788779,-0.887942,8.841193,95.764069,92.399399"
"0.1836375,0.219548,9.224400,-0.830300,9.264295,95.141953,88.636574"
"0.1886016,0.250070,9.619424,-0.832512,9.658620,94.944672,88.510857"
"0.1935641,-0.143250,9.924856,-0.747939,9.954029,94.309227,90.826920"
"0.1985266,-0.704910,10.093705,-0.609592,10.136636,93.447708,93.994858"
"0.2034906,-0.942683,9.945734,-0.510827,10.003360,92.927109,95.414474"
"0.2084531,-0.819861,9.707855,-0.710666,9.768299,94.172081,94.827362"
"0.2134172,-0.706941,9.573714,-0.816969,9.634480,94.864311,94.223160"
"0.2183797,-0.607581,9.614032,-0.844971,9.670198,95.012833,93.616135"
"0.2233437,-0.546558,9.684728,-0.838124,9.736279,94.938278,93.230064"
"0.2283062,-0.540774,9.736108,-0.847691,9.787891,94.968391,93.179115"
"0.2332688,-0.500647,9.781234,-0.961368,9.841108,95.606110,92.930092"
"0.2382328,-0.599757,9.741987,-0.968790,9.808393,95.668434,93.522919"
"0.2431953,-0.741695,9.666206,-1.018264,9.747950,95.996010,94.387749"
"0.2481594,-0.818549,9.625132,-1.020256,9.713604,96.029106,94.860901"
"0.2531219,-0.758933,9.671866,-1.050576,9.758314,96.180420,94.486702"
"0.2580844,-0.711700,9.667480,-1.131155,9.759417,96.655769,94.210403"
"0.2630484,-0.623000,9.670880,-1.034659,9.746003,96.094139,93.685913"
"0.2680109,-0.545217,9.710729,-0.907690,9.768286,95.331734,93.213547"
"0.2729750,-0.448348,9.769042,-0.831976,9.814651,94.862724,92.627731"
"0.2779375,-0.449133,9.832163,-0.873711,9.881120,95.072845,92.615456"
"0.2829016,-0.435773,9.736462,-0.800966,9.779066,94.698143,92.562668"
"0.2878641,-0.492870,9.740589,-0.666191,9.775776,93.907570,92.896675"
"0.2928266,-0.639779,9.743769,-0.577414,9.781807,93.384102,93.756668"
"0.2977890,-0.719151,9.669069,-0.614410,9.715224,93.625916,94.253624"
"0.3027531,-0.663960,9.701526,-0.747173,9.752882,94.393761,93.915146"
"0.3077172,-0.689770,9.725209,-0.722790,9.776395,94.239868,94.056961"
"0.3126797,-0.716489,9.747197,-0.777809,9.804397,94.550209,94.204086"
"0.3176437,-0.640535,9.766265,-0.837109,9.822982,94.888641,93.752457"
"0.3226062,-0.576227,9.793961,-0.846350,9.847335,94.930489,93.367111"
"0.3275687,-0.579368,9.757607,-1.070745,9.833263,96.251335,93.398010"
"0.3325312,-0.642795,9.649839,-1.177114,9.742597,96.939507,93.810959"
"0.3374953,-0.691330,9.699437,-1.081863,9.784040,96.348419,94.076881"
"0.3424578,-0.651558,9.688578,-1.121760,9.775041,96.589645,93.847359"
"0.3474219,-0.510319,9.690637,-1.165162,9.773765,96.846703,93.014473"
"0.3523844,-0.473286,9.680552,-1.184603,9.764239,96.968323,92.798981"
"0.3573484,-0.523258,9.620380,-1.018685,9.688304,96.035568,93.113281"
"0.3623109,-0.705437,9.764771,-0.958313,9.837009,95.590569,94.132042"
"0.3672750,-0.676716,9.688893,-0.822437,9.747256,94.840157,93.995308"
"0.3722375,-0.490802,9.692513,-0.823739,9.739828,94.851547,92.898819"
"0.3772016,-0.414072,9.776809,-0.737759,9.813345,94.311516,92.425171"
"0.3821641,-0.327000,9.734795,-0.734340,9.767927,94.311493,91.923889"
"0.3871265,-0.411535,9.845991,-0.766729,9.884370,94.448891,92.393410"
"0.3920890,-0.501049,9.772490,-0.792596,9.817372,94.630760,92.935066"
"0.3970531,-0.620692,9.657415,-0.776784,9.708467,94.589203,93.677399"
"0.4020156,-0.825310,9.593710,-0.801789,9.662467,94.759865,94.916832"
"0.4069797,-0.828049,9.492301,-0.837626,9.565096,95.023888,94.985504"
"0.4119422,-0.838670,9.613447,-0.884188,9.690383,95.235168,94.985817"
"0.4169062,-0.792193,9.615067,-1.041401,9.703690,96.160858,94.710007"
"0.4218687,-0.719908,9.656303,-1.036297,9.738397,96.108612,94.263695"
"0.4268328,-0.640008,9.747542,-1.074250,9.827421,96.275627,93.756561"
"0.4317953,-0.517148,9.723504,-1.055441,9.794280,96.186256,93.044426"
"0.4367594,-0.408508,9.735772,-1.055153,9.801300,96.180122,92.402695"
"0.4417219,-0.431167,9.730515,-1.059616,9.797531,96.208763,92.537163"
"0.4466844,-0.432709,9.787707,-1.060401,9.854486,96.177330,92.531364"
"0.4516484,-0.363536,9.762453,-0.942952,9.814622,95.513268,92.132607"
"0.4566109,-0.374702,9.771417,-0.940586,9.823731,95.494278,92.196030"
"0.4615734,-0.408527,9.832450,-0.810705,9.874269,94.709450,92.379211"
"0.4665375,-0.522501,9.842467,-0.726621,9.883074,94.216293,93.038773"
"0.4715000,-0.644414,9.762473,-0.742988,9.811890,94.342781,93.776573"
"0.4764641,-0.779284,9.735293,-0.728163,9.793541,94.263954,94.576614"
"0.4814265,-0.834006,9.677766,-0.765149,9.743724,94.503922,94.925438"
"0.4863906,-0.840432,9.692648,-0.679101,9.752688,93.992859,94.955620"
"0.4913531,-0.784465,9.657741,-0.703359,9.715042,94.151787,94.643745"
"0.4963172,-0.687663,9.625332,-0.727033,9.677214,94.308594,94.086441"
"0.5012797,-0.541808,9.697197,-0.797892,9.745041,94.696449,93.197937"
"0.5062422,-0.610330,9.717931,-0.908638,9.779382,95.331245,93.593712"
"0.5112062,-0.765369,9.663611,-0.958705,9.741164,95.648079,94.528435"
"0.5161687,-0.785317,9.593154,-0.911377,9.668295,95.408989,94.679924"
"0.5211313,-0.771967,9.643558,-1.011818,9.727174,95.970695,94.576767"
"0.5260953,-0.735585,9.608717,-1.033749,9.692119,96.122742,94.377678"
"0.5310578,-0.714947,9.669730,-0.991247,9.746661,95.837143,94.228561"
"0.5360219,-0.614113,9.652147,-1.043336,9.727777,96.157005,93.640503"
"0.5409844,-0.520241,9.693404,-0.966807,9.755381,95.687637,93.072090"
"0.5459484,-0.416725,9.746374,-1.038921,9.810445,96.078987,92.448303"
"0.5509109,-0.384432,9.698921,-0.987235,9.756613,95.807480,92.269821"
"0.5558734,-0.388244,9.754849,-0.906224,9.804543,95.303360,92.279175"
"0.5608375,-0.353422,9.722087,-0.841600,9.764844,94.944275,92.081932"
"0.5658000,-0.382546,9.768745,-0.855611,9.813602,95.001755,92.242569"
"0.5707640,-0.546903,9.794162,-0.827743,9.844281,94.823334,93.196060"
"0.5757266,-0.585124,9.753202,-0.798380,9.803303,94.671333,93.433228"
"0.5806891,-0.555474,9.778600,-0.816911,9.828372,94.767792,93.251198"
"0.5856531,-0.620960,9.754648,-0.749423,9.803081,94.384415,93.642410"
"0.5906156,-0.948324,9.826340,-0.574455,9.888694,93.330307,95.512451"
"0.5955812,-0.819736,9.609272,-0.875885,9.683866,95.189377,94.875916"
"0.6005422,-0.558318,9.588568,-0.775903,9.636098,94.618484,93.332428"
"0.6055062,-0.548655,9.746967,-0.813090,9.796199,94.761063,93.221771"
"0.6104687,-0.420182,9.745195,-1.062556,9.811953,96.216866,92.468887"
"0.6154328,-0.462474,9.772058,-0.837185,9.818752,94.891205,92.709564"
"0.6203953,-0.544394,9.672613,-0.973760,9.736735,95.739685,93.221321"
"0.6253594,-0.633812,9.669022,-1.093011,9.751225,96.435783,93.750420"
"0.6303219,-0.638811,9.627191,-1.009012,9.700978,95.970215,93.796288"
"0.6352859,-0.607323,9.610775,-0.955200,9.677202,95.664673,93.615822"
"0.6402484,-0.514907,9.750980,-1.050049,9.820863,96.137810,93.022736"
"0.6452125,-0.408135,9.752704,-1.023215,9.814722,95.984131,92.396339"
"0.6501734,-0.410223,9.740752,-0.912315,9.791979,95.345985,92.411530"
