Time,RS_AccelX,RS_AccelY,RS_AccelZ,RS_GyroX,RS_GyroY,RS_GyroZ,RA_AccelX,RA_AccelY,RA_AccelZ,RA_GyroX,RA_GyroY,RA_GyroZ,RT_AccelX,RT_AccelY,RT_AccelZ,RT_GyroX,RT_GyroY,RT_GyroZ,LT_AccelX,LT_AccelY,LT_AccelZ,LT_GyroX,LT_GyroY,LT_GyroZ,LA_AccelX,LA_AccelY,LA_AccelZ,LA_GyroX,LA_GyroY,LA_GyroZ,LS_AccelX,LS_AccelY,LS_AccelZ,LS_GyroX,LS_GyroY,LS_GyroZ,Left_Force,Right_Force,LS_GyroX_filtered,LS_GyroY_filtered,LS_GyroZ_filtered,LT_GyroX_filtered,LT_GyroY_filtered,LT_GyroZ_filtered,LA_GyroX_filtered,LA_GyroY_filtered,LA_GyroZ_filtered,RS_GyroX_filtered,RS_GyroY_filtered,RS_GyroZ_filtered,RT_GyroX_filtered,RT_GyroY_filtered,RT_GyroZ_filtered,RA_GyroX_filtered,RA_GyroY_filtered,RA_GyroZ_filtered,Left_Knee_Angle,Gait_Phase
40083,-0.02,0.14,0.98,0.2,0.06,0.25,0.02,0.14,0.92,-0.21,0.0,0.35,0.03,0.11,1.0,-0.02,-0.27,0.08,0.02,0.02,0.93,1.49,0.72,0.31,0.02,0.11,0.94,0.1,0.36,0.42,0.03,0.13,0.93,0.86,-0.28,0.4,1955.142000038734,948.8498519535992,0.07410707740099604,0.02317154259329419,0.07847932102668671,0.36471936208534483,0.14387297966060014,-0.038198153972615626,0.03616334982625839,0.07822255303325262,0.17349210069433407,0.10067976268434917,-0.07556866501701166,0.1221306731067496,0.24992844145468862,-0.01709587992553023,0.10626953723984281,-0.004974017659045278,-0.0811781670119509,0.14797277217912203,0.04981238986666467,Heel Strike
40088,-0.03,0.15,0.98,0.18,-0.09,0.37,0.03,0.14,0.92,-0.31,-0.24,0.49,0.03,0.11,1.0,0.04,-0.13,-0.07,0.02,0.02,0.94,1.7,1.11,0.6,0.01,0.11,0.95,0.21,0.3,0.44,0.03,0.12,0.91,0.51,-0.37,0.24,2382.776677838807,1277.3231141336323,-0.0442721436132917,0.07729310214700513,0.02897268093826241,0.4093842262083111,0.22396722198523447,0.018625520220879172,-0.024423649034252946,0.06368731311441762,0.11736669268195409,0.05944225578718928,-0.14792255942702706,0.11671904520711658,0.3088675717456263,0.013323488111026207,0.06275317973510575,0.020569825788524974,-0.08991888638126642,0.17055652112733488,0.050626194269689825,Heel Strike
40092,-0.02,0.15,0.98,-0.03,-0.25,0.27,0.02,0.14,0.92,-0.19,0.19,0.31,0.03,0.11,1.0,-0.15,-0.19,-0.11,0.02,0.03,0.93,1.93,1.21,0.62,0.02,0.11,0.95,-0.02,0.39,0.41,0.03,0.12,0.92,0.35,-0.12,0.16,2262.429011283697,1184.98360239538,-0.1567326368161325,0.1295920134953296,-0.018126175857695437,0.44551457509006576,0.29516771697956123,0.07201483801802477,-0.08273924838309003,0.05007944505740434,0.06253308503227803,0.024021433223650336,-0.21422178339640616,0.11086424081938642,0.36994138145649164,0.042324153722128104,0.023244941037000633,0.04698103466758103,-0.09898053103460104,0.19100866659436494,0.05130978322515553,Stance
40097,-0.02,0.14,0.99,-0.16,-0.17,0.34,0.02,0.14,0.92,-0.25,-0.1,0.69,0.03,0.12,1.01,0.14,-0.25,-0.02,0.03,0.03,0.94,1.99,1.3,0.47,0.01,0.12,0.95,-0.14,0.34,0.07,0.03,0.12,0.92,0.4,-0.05,0.21,2332.0795342271745,1237.4254445552808,-0.259251110730379,0.17818607902109376,-0.06113486549625461,0.46612310873207896,0.351011736981542,0.1199923432420964,-0.1367141161080661,0.038227528296215625,0.010110251761361877,-0.0004905540912376779,-0.2703773030385976,0.10491526960564922,0.4341038559348861,0.06904177121270472,-0.009299885593869399,0.07423961755535993,-0.10979958107904708,0.20877065271284406,0.05186025031555326,Stance
40101,-0.02,0.15,0.97,-0.21,-0.53,0.18,0.02,0.14,0.92,-0.15,0.29,0.41,0.03,0.11,1.0,0.11,-0.23,-0.37,0.02,0.03,0.93,1.71,1.08,0.45,0.01,0.12,0.95,-0.23,0.19,0.26,0.03,0.12,0.93,0.44,-0.16,0.18,2283.3893030718505,1200.036595534753,-0.34943383472055944,0.22100153097924763,-0.09935320641259396,0.46708979923006827,0.38810393875522037,0.16183844718756396,-0.18384315678094904,0.029147730096067376,-0.03847571210978365,-0.01034811829689777,-0.31333177777654886,0.0998699203796718,0.5011316811726246,0.09267274897301322,-0.03268080661087191,0.10155886351854428,-0.12352728053502994,0.22386154736376396,0.05222336979825721,Stance
40105,-0.03,0.15,0.98,-0.15,-0.14,0.09,0.02,0.14,0.91,0.0,-0.12,0.24,0.03,0.11,1.01,0.16,-0.02,-0.08,0.01,0.02,0.94,1.69,1.16,0.63,0.01,0.12,0.96,-0.29,0.29,0.12,0.03,0.12,0.92,0.35,-0.05,0.24,2321.5833909261255,1228.9793319436085,-0.4258543945695952,0.2559115943449917,-0.1327675037535241,0.44721757500071213,0.40590331533637264,0.1973281526460465,-0.22186605796170486,0.023847888600777772,-0.08190181216873468,-0.004043304934549502,-0.3413584914228334,0.09706056632610068,0.569571635121678,0.11209688489699544,-0.045681725741456694,0.1274640284614225,-0.1403542764454557,0.23695474234520966,0.05244785617158452,Stance
40109,-0.02,0.15,0.98,0.06,-0.37,0.12,0.03,0.14,0.92,-0.02,-0.17,0.4,0.03,0.11,1.01,0.31,-0.16,-0.06,0.02,0.03,0.94,1.95,1.21,0.67,0.02,0.12,0.95,-0.16,0.4,0.17,0.03,0.13,0.91,0.4,0.06,0.13,2291.5937460708387,1206.55806243178,-0.48713966585957863,0.28056869485890207,-0.16160462997947864,0.40760305083715653,0.406043010800931,0.2263351683823434,-0.2491444430625788,0.023103740842235876,-0.1189185007794924,0.01742158856260518,-0.3540524924668007,0.097502135162886,0.6367722095871892,0.12596660521918115,-0.048211731955980996,0.150182029097836,-0.15942086255431154,0.24867951476206218,0.05251801657458119,Stance
40113,-0.03,0.15,0.97,0.1,-0.4,0.11,0.02,0.14,0.92,0.08,0.06,0.48,0.03,0.11,1.01,0.46,0.03,-0.27,0.02,0.02,0.92,1.66,1.02,0.56,0.01,0.11,0.96,-0.06,0.23,0.06,0.03,0.13,0.92,0.28,0.14,0.05,2316.109548940834,1225.611248807316,-0.5313323614476863,0.29256258336898466,-0.18612190844422716,0.3515827224034912,0.39195282463237363,0.2490277831267119,-0.2644105865400352,0.027651083229376146,-0.14810114499371627,0.05104842313095076,-0.35202507423884405,0.10128832025607512,0.6989573262826038,0.13308496200554307,-0.04097869298924911,0.16817264457798795,-0.1793805391654166,0.2588296810355267,0.05241545785854109,Stance
40117,-0.02,0.15,0.98,0.2,-0.24,0.29,0.03,0.14,0.92,0.18,-0.21,0.49,0.03,0.11,1.01,0.79,-0.05,-0.05,0.02,0.03,0.92,1.11,0.76,0.6,0.02,0.12,0.96,-0.35,0.25,-0.01,0.04,0.13,0.93,0.07,0.21,0.05,2292.401675743207,1209.810778368514,-0.5556981125402695,0.29004040401216924,-0.20678250926459935,0.28481621307502275,0.36844913636808935,0.2659021133682674,-0.2661318435843391,0.038351155580859976,-0.16782408815286273,0.09271821795279207,-0.3368543441251054,0.10746279380353385,0.751808681914722,0.13270671168816836,-0.025257926757056428,0.18057741544873535,-0.19877998779242992,0.2664517770903807,0.05211932380375854,Stance
40121,-0.03,0.15,0.98,0.38,-0.29,0.34,0.02,0.14,0.92,-0.09,-0.34,0.72,0.03,0.11,1.01,0.63,-0.08,-0.04,0.02,0.03,0.94,1.06,0.82,0.7,0.02,0.12,0.95,-0.45,0.28,-0.15,0.04,0.13,0.91,-0.09,0.05,0.11,2311.6233590145844,1220.824675267003,-0.5572744629888459,0.2723067250586329,-0.2244921509732089,0.21397581484900977,0.34069379832308544,0.2774999306770374,-0.2524752441570734,0.055912232100626756,-0.17659126135495096,0.13795568005934256,-0.31116649011617187,0.11445317190836643,0.7915477662174365,0.12474155959958755,-0.00295123803324017,0.1875365906457422,-0.21614131927180238,0.2705125268569992,0.05160638779468883,Stance
40125,-0.03,0.15,0.97,0.37,-0.2,0.21,0.03,0.14,0.93,-0.05,-0.1,0.38,0.03,0.11,1.01,0.8,-0.05,-0.02,0.02,0.03,0.93,1.05,0.63,0.74,0.02,0.11,0.95,-0.26,0.24,-0.18,0.03,0.12,0.93,0.11,0.02,0.09,2294.6027316170826,1213.8708870423673,-0.5339475506112198,0.23995377698256637,-0.24050134347258728,0.1446334376153185,0.3130070408598446,0.28439865639294465,-0.22217714282982495,0.08055006750190473,-0.17370030658177388,0.18258941871210277,-0.2784541208649226,0.1207355683692442,0.8158260454365094,0.10978429104690413,0.023623945784526895,0.19001640830172006,-0.2304211431602535,0.27052923059837314,0.050850556868430596,Stance
40129,-0.02,0.15,0.98,0.46,-0.16,0.26,0.01,0.14,0.92,0.09,-0.21,0.51,0.03,0.11,1.01,0.79,-0.11,-0.09,0.02,0.02,0.93,1.18,0.85,0.7,0.02,0.11,0.96,-0.36,0.38,-0.11,0.03,0.12,0.93,-0.11,0.08,0.08,2310.768213582596,1218.1397118685195,-0.48525701893874934,0.1946099965933639,-0.2560840408959958,0.0802694716138376,0.28823680549688246,0.2875624572397957,-0.17530060880530013,0.11185849253569505,-0.1599374784100722,0.2233055318927913,-0.24286401420749332,0.1251133219867758,0.8240606507054176,0.08902914662344706,0.051994435570071065,0.18920905776372232,-0.24133074962570883,0.2666986285653951,0.04982218127806976,Stance
40133,-0.03,0.15,0.98,0.37,0.22,0.35,0.02,0.14,0.92,-0.08,-0.15,0.53,0.03,0.1,1.01,0.56,-0.14,0.22,0.02,0.03,0.93,1.22,0.75,0.52,0.02,0.11,0.95,-0.43,0.24,0.04,0.03,0.12,0.92,0.11,0.09,0.18,2296.4094383696206,1218.8394675295576,-0.4127954469375341,0.1389310766001182,-0.2722395849873316,0.022817863329065723,0.2677825639884664,0.2884682843058194,-0.11353728115740112,0.14876914909334027,-0.13781635975115467,0.25786332921346483,-0.20884473147367275,0.1265923838024799,0.8174513379761302,0.06422640019445962,0.07954141327589431,0.18627215799883254,-0.24902317747299907,0.2595347374379538,0.048489571860815206,Stance
40137,-0.03,0.15,0.98,0.57,-0.14,0.25,0.02,0.14,0.92,0.07,-0.11,0.48,0.03,0.11,1.01,0.63,-0.23,0.22,0.02,0.03,0.93,1.09,0.77,0.67,0.01,0.1,0.96,-0.15,0.44,0.15,0.02,0.12,0.93,0.31,-0.21,0.01,2309.603561424825,1198.3924297428923,-0.3204061663750054,0.07691780306367568,-0.2894191982100101,-0.026221121099611427,0.25198700061976015,0.28870722941298455,-0.04061754035659783,0.18946629776411675,-0.11113116738836472,0.28502431793276584,-0.18040032101558956,0.12440059112603234,0.7986278990475929,0.03757500758899292,0.1038076524273768,0.18244737872869196,-0.2536987849311586,0.24970099528535616,0.04682510911993135,Stance
40141,-0.03,0.15,0.99,0.39,0.08,0.44,0.03,0.15,0.91,-0.09,-0.23,0.57,0.02,0.11,1.0,0.54,-0.37,-0.04,0.01,0.03,0.93,0.73,0.87,0.64,0.01,0.11,0.96,0.11,0.35,0.18,0.03,0.11,0.93,0.4,-0.4,0.02,2297.3131901421434,1152.3171340594922,-0.21389831268994028,0.013739954285020006,-0.30742557092612066,-0.06527008988864831,0.24050845834598844,0.28955774712931476,0.037573713573394805,0.2312741653203339,-0.08411604975197767,0.3044814907265865,-0.1605820188731261,0.1182299116339974,0.7710183484668999,0.011395898178564453,0.12308260893639929,0.17908686753485228,-0.25540019187195634,0.2381958993600844,0.04481328538575998,Stance
40145,-0.02,0.15,0.98,0.4,0.2,0.24,0.02,0.14,0.92,-0.14,-0.39,0.18,0.03,0.12,1.01,0.5,-0.27,0.17,0.02,0.03,0.93,0.95,0.94,0.69,0.02,0.11,0.96,0.24,0.78,0.14,0.03,0.12,0.93,0.56,-0.5,-0.04,2308.6445499717083,1232.836275884663,-0.10041796154120922,-0.04528755619444762,-0.32563244252638823,-0.09324243612138215,0.23273800506994896,0.2920074169109412,0.11386155431058669,0.2707998043056055,-0.06078016640487162,0.3167262656479982,-0.15150094976211362,0.10849438443628638,0.7384302959069542,-0.012359105967152551,0.13638784622974762,0.17746794442184488,-0.2541339656723994,0.22636883446529676,0.04245496746235341,Stance
